// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 190 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/home/test/json-energy-bench/JsonBench/bin/Release/net10.0/JsonBench-Energy-1/" /p:OutDir="/home/test/json-energy-bench/JsonBench/bin/Release/net10.0/JsonBench-Energy-1/bin/Release/net10.0/" /p:OutputPath="/home/test/json-energy-bench/JsonBench/bin/Release/net10.0/JsonBench-Energy-1/bin/Release/net10.0/" /p:PublishDir="/home/test/json-energy-bench/JsonBench/bin/Release/net10.0/JsonBench-Energy-1/publish/" in /home/test/json-energy-bench/JsonBench/bin/Release/net10.0/JsonBench-Energy-1
// command took 1.63 sec and exited with 0
// start dotnet  build -c Release --no-restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/home/test/json-energy-bench/JsonBench/bin/Release/net10.0/JsonBench-Energy-1/" /p:OutDir="/home/test/json-energy-bench/JsonBench/bin/Release/net10.0/JsonBench-Energy-1/bin/Release/net10.0/" /p:OutputPath="/home/test/json-energy-bench/JsonBench/bin/Release/net10.0/JsonBench-Energy-1/bin/Release/net10.0/" /p:PublishDir="/home/test/json-energy-bench/JsonBench/bin/Release/net10.0/JsonBench-Energy-1/publish/" --output "/home/test/json-energy-bench/JsonBench/bin/Release/net10.0/JsonBench-Energy-1/bin/Release/net10.0/" in /home/test/json-energy-bench/JsonBench/bin/Release/net10.0/JsonBench-Energy-1
// command took 6.79 sec and exited with 0
// ***** Done, took 00:00:08 (8.57 sec)   *****
// Found 70 benchmarks:
//   DepthIsolationByteBench.STJRefGen_Deser_D1: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJSrcGen_Deser_D1: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Newtonsoft_Deser_D1: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.SpanJson_Deser_D1: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Utf8Json_Deser_D1: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJRefGen_Deser_D15: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJSrcGen_Deser_D15: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Newtonsoft_Deser_D15: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.SpanJson_Deser_D15: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Utf8Json_Deser_D15: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJRefGen_Deser_D2: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJSrcGen_Deser_D2: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Newtonsoft_Deser_D2: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.SpanJson_Deser_D2: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Utf8Json_Deser_D2: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJRefGen_Deser_D25: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJSrcGen_Deser_D25: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Newtonsoft_Deser_D25: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.SpanJson_Deser_D25: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Utf8Json_Deser_D25: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJRefGen_Deser_D4: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJSrcGen_Deser_D4: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Newtonsoft_Deser_D4: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.SpanJson_Deser_D4: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Utf8Json_Deser_D4: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJRefGen_Deser_D40: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJSrcGen_Deser_D40: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Newtonsoft_Deser_D40: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.SpanJson_Deser_D40: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Utf8Json_Deser_D40: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJRefGen_Deser_D8: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJSrcGen_Deser_D8: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Newtonsoft_Deser_D8: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.SpanJson_Deser_D8: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Utf8Json_Deser_D8: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJRefGen_Ser_D1: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJSrcGen_Ser_D1: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Newtonsoft_Ser_D1: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.SpanJson_Ser_D1: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Utf8Json_Ser_D1: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJRefGen_Ser_D15: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJSrcGen_Ser_D15: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Newtonsoft_Ser_D15: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.SpanJson_Ser_D15: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Utf8Json_Ser_D15: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJRefGen_Ser_D2: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJSrcGen_Ser_D2: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Newtonsoft_Ser_D2: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.SpanJson_Ser_D2: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Utf8Json_Ser_D2: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJRefGen_Ser_D25: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJSrcGen_Ser_D25: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Newtonsoft_Ser_D25: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.SpanJson_Ser_D25: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Utf8Json_Ser_D25: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJRefGen_Ser_D4: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJSrcGen_Ser_D4: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Newtonsoft_Ser_D4: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.SpanJson_Ser_D4: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Utf8Json_Ser_D4: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJRefGen_Ser_D40: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJSrcGen_Ser_D40: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Newtonsoft_Ser_D40: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.SpanJson_Ser_D40: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Utf8Json_Ser_D40: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJRefGen_Ser_D8: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.STJSrcGen_Ser_D8: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Newtonsoft_Ser_D8: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.SpanJson_Ser_D8: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
//   DepthIsolationByteBench.Utf8Json_Ser_D8: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)

// **************************
// Benchmark: DepthIsolationByteBench.STJRefGen_Deser_D1: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet JsonBench-Energy-1.dll --anonymousPipes 134 136 --benchmarkName JsonBench.Benchmarks.Isolation.DepthIsolationByteBench.STJRefGen_Deser_D1 --job Energy --benchmarkId 0 in /home/test/json-energy-bench/JsonBench/bin/Release/net10.0/JsonBench-Energy-1/bin/Release/net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.5-develop (2026-05-22)
// Runtime=.NET 10.0.7 (10.0.7, 10.0.726.21808), X64 RyuJIT x86-64-v3
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2+BMI1+BMI2+F16C+FMA+LZCNT+MOVBE,AVX,SSE3+SSSE3+SSE4.1+SSE4.2+POPCNT,X86Base+SSE+SSE2,AES+PCLMUL VectorSize=256
// Job: Energy(OutlierMode=DontRemove, Affinity=100, IterationTime=1s)

OverheadJitting  1: 1 op, 241621.00 ns, 241.6210 us/op
WorkloadJitting  1: 1 op, 287676.00 ns, 287.6760 us/op

OverheadJitting  2: 16 op, 658615.00 ns, 41.1634 us/op
WorkloadJitting  2: 16 op, 754100.00 ns, 47.1313 us/op

WorkloadPilot    1: 16 op, 82830.00 ns, 5.1769 us/op
WorkloadPilot    2: 193168 op, 888540316.00 ns, 4.5998 us/op
WorkloadPilot    3: 217408 op, 1049292807.00 ns, 4.8264 us/op
WorkloadPilot    4: 207200 op, 1317404584.00 ns, 6.3581 us/op
WorkloadPilot    5: 157280 op, 932668258.00 ns, 5.9300 us/op
WorkloadPilot    6: 168640 op, 350243494.00 ns, 2.0769 us/op
WorkloadPilot    7: 481504 op, 981840571.00 ns, 2.0391 us/op
WorkloadPilot    8: 490416 op, 989988007.00 ns, 2.0187 us/op
WorkloadPilot    9: 495376 op, 982947657.00 ns, 1.9842 us/op
WorkloadPilot   10: 503984 op, 1000053537.00 ns, 1.9843 us/op

OverheadWarmup   1: 503984 op, 2273147.00 ns, 4.5104 ns/op
OverheadWarmup   2: 503984 op, 2274375.00 ns, 4.5128 ns/op
OverheadWarmup   3: 503984 op, 2266834.00 ns, 4.4978 ns/op
OverheadWarmup   4: 503984 op, 2273654.00 ns, 4.5114 ns/op
OverheadWarmup   5: 503984 op, 2274464.00 ns, 4.5130 ns/op
OverheadWarmup   6: 503984 op, 2264151.00 ns, 4.4925 ns/op

OverheadActual   1: 503984 op, 2261996.00 ns, 4.4882 ns/op
OverheadActual   2: 503984 op, 2273854.00 ns, 4.5118 ns/op
OverheadActual   3: 503984 op, 2270710.00 ns, 4.5055 ns/op
OverheadActual   4: 503984 op, 2268179.00 ns, 4.5005 ns/op
OverheadActual   5: 503984 op, 2277813.00 ns, 4.5196 ns/op
OverheadActual   6: 503984 op, 2273268.00 ns, 4.5106 ns/op
OverheadActual   7: 503984 op, 2275655.00 ns, 4.5153 ns/op
OverheadActual   8: 503984 op, 2274376.00 ns, 4.5128 ns/op
OverheadActual   9: 503984 op, 2275623.00 ns, 4.5153 ns/op
OverheadActual  10: 503984 op, 2276554.00 ns, 4.5171 ns/op
OverheadActual  11: 503984 op, 2268932.00 ns, 4.5020 ns/op
OverheadActual  12: 503984 op, 2267429.00 ns, 4.4990 ns/op
OverheadActual  13: 503984 op, 2261435.00 ns, 4.4871 ns/op
OverheadActual  14: 503984 op, 2276992.00 ns, 4.5180 ns/op
OverheadActual  15: 503984 op, 2270295.00 ns, 4.5047 ns/op

WorkloadWarmup   1: 503984 op, 1003902909.00 ns, 1.9919 us/op
WorkloadWarmup   2: 503984 op, 1059954797.00 ns, 2.1032 us/op
WorkloadWarmup   3: 503984 op, 1029141042.00 ns, 2.0420 us/op
WorkloadWarmup   4: 503984 op, 1005920086.00 ns, 1.9959 us/op
WorkloadWarmup   5: 503984 op, 997031570.00 ns, 1.9783 us/op
WorkloadWarmup   6: 503984 op, 997555931.00 ns, 1.9793 us/op
WorkloadWarmup   7: 503984 op, 998156088.00 ns, 1.9805 us/op
WorkloadWarmup   8: 503984 op, 1013898717.00 ns, 2.0118 us/op
WorkloadWarmup   9: 503984 op, 997243060.00 ns, 1.9787 us/op

// BeforeActualRun
WorkloadActual   1: 503984 op, 1000313549.00 ns, 1.9848 us/op
WorkloadActual   2: 503984 op, 1007541840.00 ns, 1.9992 us/op
WorkloadActual   3: 503984 op, 1001863765.00 ns, 1.9879 us/op
WorkloadActual   4: 503984 op, 1005748426.00 ns, 1.9956 us/op
WorkloadActual   5: 503984 op, 1019410451.00 ns, 2.0227 us/op
WorkloadActual   6: 503984 op, 1001547781.00 ns, 1.9873 us/op
WorkloadActual   7: 503984 op, 1001217354.00 ns, 1.9866 us/op
WorkloadActual   8: 503984 op, 1043008841.00 ns, 2.0695 us/op
WorkloadActual   9: 503984 op, 1003184816.00 ns, 1.9905 us/op
WorkloadActual  10: 503984 op, 1019486084.00 ns, 2.0229 us/op
WorkloadActual  11: 503984 op, 998151513.00 ns, 1.9805 us/op
WorkloadActual  12: 503984 op, 998696758.00 ns, 1.9816 us/op
WorkloadActual  13: 503984 op, 998079848.00 ns, 1.9804 us/op
WorkloadActual  14: 503984 op, 1004036891.00 ns, 1.9922 us/op
WorkloadActual  15: 503984 op, 1013014873.00 ns, 2.0100 us/op

// AfterActualRun
WorkloadResult   1: 503984 op, 998040281.00 ns, 1.9803 us/op
WorkloadResult   2: 503984 op, 1005268572.00 ns, 1.9946 us/op
WorkloadResult   3: 503984 op, 999590497.00 ns, 1.9834 us/op
WorkloadResult   4: 503984 op, 1003475158.00 ns, 1.9911 us/op
WorkloadResult   5: 503984 op, 1017137183.00 ns, 2.0182 us/op
WorkloadResult   6: 503984 op, 999274513.00 ns, 1.9828 us/op
WorkloadResult   7: 503984 op, 998944086.00 ns, 1.9821 us/op
WorkloadResult   8: 503984 op, 1040735573.00 ns, 2.0650 us/op
WorkloadResult   9: 503984 op, 1000911548.00 ns, 1.9860 us/op
WorkloadResult  10: 503984 op, 1017212816.00 ns, 2.0183 us/op
WorkloadResult  11: 503984 op, 995878245.00 ns, 1.9760 us/op
WorkloadResult  12: 503984 op, 996423490.00 ns, 1.9771 us/op
WorkloadResult  13: 503984 op, 995806580.00 ns, 1.9759 us/op
WorkloadResult  14: 503984 op, 1001763623.00 ns, 1.9877 us/op
WorkloadResult  15: 503984 op, 1010741605.00 ns, 2.0055 us/op

// AfterAll
// Benchmark Process 377973 has exited with code 0.

Mean = 1.995 μs, StdErr = 0.006 μs (0.31%), N = 15, StdDev = 0.024 μs
Min = 1.976 μs, Q1 = 1.981 μs, Median = 1.986 μs, Q3 = 2.000 μs, Max = 2.065 μs
IQR = 0.019 μs, LowerFence = 1.953 μs, UpperFence = 2.028 μs
ConfidenceInterval = [1.969 μs; 2.020 μs] (CI 99.9%), Margin = 0.025 μs (1.28% of Mean)
Skewness = 1.68, Kurtosis = 5.2, MValue = 2

// ** Remained 189 (99.5 %) benchmark(s) to run. Estimated finish 2026-05-22 14:49 (2h 27m from now) **
// **************************
// Benchmark: DepthIsolationByteBench.STJSrcGen_Deser_D1: Energy(OutlierMode=DontRemove, Affinity=00000100, IterationTime=1s)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet JsonBench-Energy-1.dll --anonymousPipes 137 138 --benchmarkName JsonBench.Benchmarks.Isolation.DepthIsolationByteBench.STJSrcGen_Deser_D1 --job Energy --benchmarkId 1 in /home/test/json-energy-bench/JsonBench/bin/Release/net10.0/JsonBench-Energy-1/bin/Release/net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.5-develop (2026-05-22)
// Runtime=.NET 10.0.7 (10.0.7, 10.0.726.21808), X64 RyuJIT x86-64-v3
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2+BMI1+BMI2+F16C+FMA+LZCNT+MOVBE,AVX,SSE3+SSSE3+SSE4.1+SSE4.2+POPCNT,X86Base+SSE+SSE2,AES+PCLMUL VectorSize=256
// Job: Energy(OutlierMode=DontRemove, Affinity=100, IterationTime=1s)

OverheadJitting  1: 1 op, 240236.00 ns, 240.2360 us/op
WorkloadJitting  1: 1 op, 10988011.00 ns, 10.9880 ms/op

OverheadJitting  2: 16 op, 666993.00 ns, 41.6871 us/op
WorkloadJitting  2: 16 op, 768220.00 ns, 48.0138 us/op

WorkloadPilot    1: 16 op, 101973.00 ns, 6.3733 us/op
WorkloadPilot    2: 156912 op, 728443278.00 ns, 4.6424 us/op
WorkloadPilot    3: 215408 op, 992616764.00 ns, 4.6081 us/op
WorkloadPilot    4: 217024 op, 1471898321.00 ns, 6.7822 us/op
WorkloadPilot    5: 147456 op, 969069540.00 ns, 6.5719 us/op
WorkloadPilot    6: 152176 op, 316328660.00 ns, 2.0787 us/op
WorkloadPilot    7: 481072 op, 963548530.00 ns, 2.0029 us/op
WorkloadPilot    8: 499280 op, 994711493.00 ns, 1.9923 us/op
WorkloadPilot    9: 501936 op, 981779330.00 ns, 1.9560 us/op
WorkloadPilot   10: 511264 op, 998544573.00 ns, 1.9531 us/op
WorkloadPilot   11: 512016 op, 999692440.00 ns, 1.9525 us/op
WorkloadPilot   12: 512176 op, 1009404920.00 ns, 1.9708 us/op
WorkloadPilot   13: 507408 op, 1005173389.00 ns, 1.9810 us/op

OverheadWarmup   1: 507408 op, 2143288.00 ns, 4.2240 ns/op
OverheadWarmup   2: 507408 op, 2152559.00 ns, 4.2423 ns/op
OverheadWarmup   3: 507408 op, 2143173.00 ns, 4.2238 ns/op
OverheadWarmup   4: 507408 op, 2148899.00 ns, 4.2351 ns/op
OverheadWarmup   5: 507408 op, 2148676.00 ns, 4.2346 ns/op

OverheadActual   1: 507408 op, 2142965.00 ns, 4.2234 ns/op
OverheadActual   2: 507408 op, 2146336.00 ns, 4.2300 ns/op
OverheadActual   3: 507408 op, 2143215.00 ns, 4.2238 ns/op
OverheadActual   4: 507408 op, 2136265.00 ns, 4.2102 ns/op
OverheadActual   5: 507408 op, 2143889.00 ns, 4.2252 ns/op
OverheadActual   6: 507408 op, 2150648.00 ns, 4.2385 ns/op
OverheadActual   7: 507408 op, 2144813.00 ns, 4.2270 ns/op
OverheadActual   8: 507408 op, 2150107.00 ns, 4.2374 ns/op
OverheadActual   9: 507408 op, 2149128.00 ns, 4.2355 ns/op
OverheadActual  10: 507408 op, 2141526.00 ns, 4.2205 ns/op
OverheadActual  11: 507408 op, 2148165.00 ns, 4.2336 ns/op
OverheadActual  12: 507408 op, 2145991.00 ns, 4.2293 ns/op
OverheadActual  13: 507408 op, 2142520.00 ns, 4.2225 ns/op
OverheadActual  14: 507408 op, 2147917.00 ns, 4.2331 ns/op
OverheadActual  15: 507408 op, 2146506.00 ns, 4.2303 ns/op

WorkloadWarmup   1: 507408 op, 1003936711.00 ns, 1.9786 us/op
WorkloadWarmup   2: 507408 op, 1044359119.00 ns, 2.0582 us/op
WorkloadWarmup   3: 507408 op, 1012994816.00 ns, 1.9964 us/op
WorkloadWarmup   4: 507408 op, 989778463.00 ns, 1.9507 us/op
WorkloadWarmup   5: 507408 op, 1003690696.00 ns, 1.9781 us/op
WorkloadWarmup   6: 507408 op, 992764597.00 ns, 1.9565 us/op

// BeforeActualRun
WorkloadActual   1: 507408 op, 991885814.00 ns, 1.9548 us/op
WorkloadActual   2: 507408 op, 995206933.00 ns, 1.9614 us/op
WorkloadActual   3: 507408 op, 993622685.00 ns, 1.9582 us/op
WorkloadActual   4: 507408 op, 996479120.00 ns, 1.9639 us/op
WorkloadActual   5: 507408 op, 1013288347.00 ns, 1.9970 us/op
WorkloadActual   6: 507408 op, 994892904.00 ns, 1.9607 us/op
WorkloadActual   7: 507408 op, 993108133.00 ns, 1.9572 us/op
WorkloadActual   8: 507408 op, 994690723.00 ns, 1.9603 us/op
WorkloadActual   9: 507408 op, 993722026.00 ns, 1.9584 us/op
WorkloadActual  10: 507408 op, 1010573919.00 ns, 1.9916 us/op
WorkloadActual  11: 507408 op, 1033336319.00 ns, 2.0365 us/op
WorkloadActual  12: 507408 op, 994760933.00 ns, 1.9605 us/op
WorkloadActual  13: 507408 op, 993131710.00 ns, 1.9573 us/op
WorkloadActual  14: 507408 op, 993675351.00 ns, 1.9583 us/op
WorkloadActual  15: 507408 op, 1011795622.00 ns, 1.9940 us/op

// AfterActualRun
WorkloadResult   1: 507408 op, 989739823.00 ns, 1.9506 us/op
WorkloadResult   2: 507408 op, 993060942.00 ns, 1.9571 us/op
WorkloadResult   3: 507408 op, 991476694.00 ns, 1.9540 us/op
