Library,Operation,Dimension,Content,FixedOther,from_level,to_level,from_E,to_E,from_per_element,to_per_element,W_ratio,E_ratio,per_element_ratio,Transition
SpanJson,Deserialize,Depth,Textual,W=5,2,5,17.734,41.95733333333334,8.867,8.391466666666668,2.5,2.3659260930040222,0.946370437201609,D2 -> D5
SpanJson,Deserialize,Depth,Textual,W=5,5,10,41.95733333333334,86.63866666666667,8.391466666666668,8.663866666666667,2,2.0649230964789624,1.0324615482394812,D5 -> D10
SpanJson,Deserialize,Depth,Textual,W=5,10,20,86.63866666666667,168.98133333333334,8.663866666666667,8.449066666666667,2,1.9504147493805692,0.9752073746902845,D10 -> D20
SpanJson,Deserialize,Depth,Textual,W=20,2,5,76.64466666666667,192.91066666666666,38.32233333333333,38.58213333333333,2.5,2.5169483416980523,1.006779336679221,D2 -> D5
SpanJson,Deserialize,Depth,Textual,W=20,5,10,192.91066666666666,385.32,38.58213333333333,38.532,2,1.997401215070188,0.9987006075350939,D5 -> D10
SpanJson,Deserialize,Depth,Textual,W=20,10,20,385.32,768.408,38.532,38.4204,2,1.9942074120211772,0.9971037060105887,D10 -> D20
SpanJson,Deserialize,Depth,Textual,W=50,2,5,203.21066666666667,506.1286666666667,101.60533333333333,101.22573333333334,2.5,2.4906599391108077,0.9962639756443231,D2 -> D5
SpanJson,Deserialize,Depth,Textual,W=50,5,10,506.1286666666667,1008.8966666666666,101.22573333333334,100.88966666666667,2,1.9933600546896506,0.9966800273448253,D5 -> D10
SpanJson,Deserialize,Depth,Textual,W=50,10,20,1008.8966666666666,2026.442,100.88966666666667,101.3221,2,2.0085724008735615,1.0042862004367807,D10 -> D20
SpanJson,Deserialize,Depth,Textual,W=100,2,5,612.8673333333334,1531.926,306.4336666666667,306.3852,2.5,2.4996045908793745,0.9998418363517498,D2 -> D5
SpanJson,Deserialize,Depth,Textual,W=100,5,10,1531.926,3090.4206666666664,306.3852,309.04206666666664,2,2.0173433094461917,1.0086716547230958,D5 -> D10
