Operation,Depth,Width,Content,MinEnergy,MaxEnergy,SpreadRatio,WinnerLibrary
Deserialize,2,5,Boolean,8.6,55.2,6.42,SpanJson
Deserialize,2,5,Numeric,10.8,68.9,6.35,SpanJson
Deserialize,5,5,Numeric,25.8,156.5,6.06,SpanJson
Deserialize,2,20,Boolean,31.6,190.6,6.03,SpanJson
Deserialize,2,20,Numeric,42.6,252.1,5.92,SpanJson
Deserialize,10,5,Numeric,51.1,299.4,5.86,SpanJson
Deserialize,20,5,Numeric,102.1,586.3,5.74,SpanJson
Deserialize,5,5,Boolean,21.6,123.1,5.69,SpanJson
Deserialize,5,20,Numeric,105.2,598.2,5.69,SpanJson
Deserialize,10,20,Numeric,210.1,1168.8,5.56,SpanJson
Deserialize,20,20,Numeric,420.2,2305.2,5.49,SpanJson
Deserialize,5,20,Boolean,84,452,5.38,SpanJson
Deserialize,20,20,Boolean,347.4,1862.4,5.36,SpanJson
Deserialize,2,50,Numeric,117.5,621.7,5.29,SpanJson
Deserialize,5,50,Numeric,292,1540.8,5.28,SpanJson
Deserialize,10,20,Boolean,175.2,920.6,5.25,SpanJson
Deserialize,10,5,Boolean,45.8,239.4,5.22,SpanJson
Deserialize,10,50,Numeric,583.3,3040,5.21,SpanJson
Deserialize,20,50,Numeric,1166.6,6028.8,5.17,SpanJson
Deserialize,2,50,Boolean,95.6,471.4,4.93,SpanJson
Deserialize,20,5,Boolean,92.3,446.5,4.84,SpanJson
Deserialize,20,100,Numeric,2589.3,12447.8,4.81,Utf8Json
Deserialize,10,50,Boolean,517.8,2433.2,4.7,SpanJson
Deserialize,20,50,Boolean,1030.8,4774.1,4.63,SpanJson
Deserialize,5,50,Boolean,250.9,1158.5,4.62,SpanJson
Deserialize,5,100,Numeric,691,3195.7,4.62,Utf8Json
Deserialize,2,100,Numeric,280.4,1291.4,4.61,Utf8Json
Deserialize,10,100,Numeric,1401.3,6294.6,4.49,Utf8Json
Deserialize,2,100,Boolean,242.3,994.4,4.1,Utf8Json
Deserialize,5,100,Boolean,608.7,2460.1,4.04,Utf8Json
Deserialize,10,100,Boolean,1280,5063.8,3.96,Utf8Json
Deserialize,20,100,Boolean,2701.3,10449.4,3.87,SpanJson
Deserialize,2,5,Textual,17.7,65.4,3.69,SpanJson
Deserialize,5,5,Textual,42,146.1,3.48,SpanJson
Deserialize,20,5,Textual,169,549.7,3.25,SpanJson
Deserialize,10,5,Textual,86.6,274.8,3.17,SpanJson
Deserialize,2,20,Textual,76.6,227.2,2.96,SpanJson
Deserialize,5,20,Textual,192.9,549.9,2.85,SpanJson
Deserialize,2,50,Textual,203.2,571.3,2.81,SpanJson
Deserialize,10,20,Textual,385.3,1079.3,2.8,SpanJson
Deserialize,20,50,Textual,2026.4,5682.5,2.8,SpanJson
Deserialize,20,20,Textual,768.4,2147.3,2.79,SpanJson
Deserialize,10,50,Textual,1008.9,2782.3,2.76,SpanJson
