Library,Operation,MedianEnergy,MinEnergy,MaxEnergy,MedianRatio,Q1Ratio,Q3Ratio,MaxRatio
SpanJson,Deserialize,252.4,8.6,6174.4,1,1,1,1.73
Utf8Json,Deserialize,276.6,12.8,4615.6,1.26,1.11,1.35,1.6
STJRefGen,Deserialize,627.2,29,11481.4,2.61,2.29,3.26,4.03
STJSrcGen,Deserialize,620.8,27.8,12166.8,2.64,2.24,3.03,4.1
Newtonsoft,Deserialize,1118.9,55.2,12447.8,4.63,3.12,5.36,6.42
SpanJson,Serialize,98.7,3.3,2193.8,1,1,1,1.23
Utf8Json,Serialize,147.9,6.2,2649.2,1.27,1.19,1.68,2.12
STJRefGen,Serialize,240.4,14.6,3791.5,2.22,1.77,3.44,5.46
STJSrcGen,Serialize,143.5,9.6,2219.1,1.34,1.15,2.26,2.96
Newtonsoft,Serialize,595.4,33.6,7026.6,5.09,4.1,8.64,11.5
