Method,Iters,Ops,Mean,Error,StdDev,Pkg (μJ/op),StdDev (μJ/op),DRAM (μJ/op),Temp (°C),Gen0,Gen1,Allocated
Newtonsoft_Deser_D10_W100_B,15,7094,"141,340.80 ns","1,398.944 ns","1,308.574 ns",4851.27 uj,45.79 uj,159.32 uj,49.93,3.947,0.2819,33384 B
Newtonsoft_Deser_D10_W100_N,15,5609,"177,469.17 ns","1,681.539 ns","1,572.913 ns",6094.98 uj,55.95 uj,199.58 uj,50.17,7.1314,0.7131,61112 B
Newtonsoft_Deser_D10_W100_T,15,5765,"164,385.82 ns","1,280.162 ns","1,197.465 ns",5651.57 uj,39.05 uj,185.84 uj,49.9,8.673,1.0408,72952 B
Newtonsoft_Deser_D10_W20_B,15,38768,"25,873.42 ns",151.635 ns,141.839 ns,891.51 uj,5.22 uj,29.05 uj,49.83,1.1092,0,9408 B
Newtonsoft_Deser_D10_W20_N,15,30528,"32,950.89 ns",161.620 ns,151.179 ns,1131.47 uj,5.00 uj,37.32 uj,50,1.7361,0.0328,14712 B
Newtonsoft_Deser_D10_W20_T,15,32928,"30,440.15 ns",154.260 ns,144.295 ns,1045.08 uj,5.01 uj,34.19 uj,50.1,2.0044,0.0607,16952 B
Newtonsoft_Deser_D10_W50_B,15,13904,"68,656.98 ns",343.491 ns,321.302 ns,2356.18 uj,10.91 uj,76.98 uj,50.07,2.1577,0.0719,18424 B
Newtonsoft_Deser_D10_W50_N,15,11704,"85,721.06 ns",863.446 ns,807.668 ns,2943.16 uj,27.57 uj,96.80 uj,49.87,3.7594,0.1709,32112 B
Newtonsoft_Deser_D10_W50_T,15,12800,"78,529.35 ns",356.092 ns,333.089 ns,2694.19 uj,11.37 uj,88.09 uj,49.73,4.5313,0.3125,37952 B
Newtonsoft_Deser_D10_W5_B,15,147504,"6,749.18 ns",35.982 ns,33.658 ns,231.81 uj,1.14 uj,7.58 uj,50.03,0.5966,0,4992 B
Newtonsoft_Deser_D10_W5_N,15,117200,"8,420.70 ns",39.587 ns,37.029 ns,289.84 uj,1.47 uj,9.55 uj,50.27,0.7253,0,6072 B
Newtonsoft_Deser_D10_W5_T,15,121968,"7,744.49 ns",45.388 ns,42.456 ns,266.01 uj,1.55 uj,8.79 uj,50.07,0.7789,0.0082,6552 B
Newtonsoft_Deser_D20_W100_B,15,3404,"281,302.19 ns","2,001.982 ns","1,872.655 ns",9652.64 uj,62.20 uj,315.39 uj,49.8,7.3443,1.1751,64232 B
Newtonsoft_Deser_D20_W100_N,15,2731,"350,745.24 ns","2,259.296 ns","2,113.347 ns",12054.22 uj,76.04 uj,393.61 uj,49.93,14.2805,2.5632,119624 B
Newtonsoft_Deser_D20_W100_T,15,2828,"336,275.68 ns","1,991.644 ns","1,862.985 ns",11540.07 uj,64.36 uj,378.09 uj,49.83,16.9731,3.8897,143304 B
Newtonsoft_Deser_D20_W20_B,15,19120,"52,545.14 ns",264.816 ns,247.709 ns,1803.47 uj,8.24 uj,58.94 uj,49.67,1.9351,0.0523,16208 B
Newtonsoft_Deser_D20_W20_N,15,14656,"65,011.30 ns",337.277 ns,315.490 ns,2232.31 uj,11.45 uj,72.91 uj,50.2,3.1386,0.1365,26824 B
Newtonsoft_Deser_D20_W20_T,15,16592,"60,590.56 ns",274.776 ns,257.026 ns,2079.34 uj,8.75 uj,67.99 uj,49.63,3.7367,0.3014,31304 B
Newtonsoft_Deser_D20_W50_B,15,7088,"134,760.03 ns","1,034.394 ns",967.573 ns,4622.96 uj,32.48 uj,151.12 uj,50.2,3.9503,0.2822,34224 B
Newtonsoft_Deser_D20_W50_N,15,5617,"170,109.65 ns","1,320.294 ns","1,235.004 ns",5836.76 uj,41.55 uj,192.03 uj,49.6,7.2993,0.7121,61624 B
Newtonsoft_Deser_D20_W50_T,15,5968,"160,254.15 ns",763.706 ns,714.371 ns,5501.02 uj,24.95 uj,181.53 uj,49.7,8.7131,1.3405,73304 B
Newtonsoft_Deser_D20_W5_B,15,79504,"12,596.41 ns",60.023 ns,56.145 ns,432.38 uj,1.92 uj,14.15 uj,50.17,0.8805,0,7384 B
Newtonsoft_Deser_D20_W5_N,15,60720,"16,521.91 ns",76.194 ns,71.272 ns,567.56 uj,2.50 uj,18.72 uj,49.83,1.1364,0.0165,9544 B
Newtonsoft_Deser_D20_W5_T,15,63472,"15,502.77 ns",82.172 ns,76.864 ns,532.20 uj,2.71 uj,17.54 uj,49.8,1.2446,0.0158,10504 B
Newtonsoft_Deser_D2_W100_B,15,36501,"27,340.93 ns",128.759 ns,120.441 ns,938.21 uj,4.04 uj,30.81 uj,49.63,1.0411,0,8776 B
Newtonsoft_Deser_D2_W100_N,15,27657,"36,424.03 ns",295.919 ns,276.803 ns,1250.17 uj,9.41 uj,41.19 uj,49.7,1.6994,0.0362,14312 B
Newtonsoft_Deser_D2_W100_T,15,29584,"34,005.58 ns",240.803 ns,225.247 ns,1167.25 uj,7.73 uj,38.16 uj,49.63,1.9605,0.0676,16680 B
Newtonsoft_Deser_D2_W20_B,15,183680,"5,369.19 ns",35.707 ns,33.400 ns,184.49 uj,1.27 uj,6.12 uj,49.6,0.4736,0,3968 B
Newtonsoft_Deser_D2_W20_N,15,140080,"7,105.91 ns",34.969 ns,32.710 ns,243.98 uj,1.12 uj,8.09 uj,49.63,0.5997,0,5032 B
Newtonsoft_Deser_D2_W20_T,15,154336,"6,402.97 ns",33.443 ns,31.282 ns,219.95 uj,1.12 uj,7.30 uj,49.67,0.6544,0.0065,5480 B
Newtonsoft_Deser_D2_W50_B,15,74912,"13,295.77 ns",85.370 ns,79.855 ns,456.45 uj,2.77 uj,14.94 uj,49.87,0.6808,0,5776 B
Newtonsoft_Deser_D2_W50_N,15,57187,"17,539.57 ns",163.289 ns,152.740 ns,601.89 uj,5.24 uj,19.81 uj,49.8,1.0142,0,8512 B
Newtonsoft_Deser_D2_W50_T,15,62128,"16,119.54 ns",82.329 ns,77.010 ns,553.22 uj,2.62 uj,18.09 uj,49.67,1.1428,0.0322,9680 B
Newtonsoft_Deser_D2_W5_B,15,641904,"1,549.80 ns",7.599 ns,7.108 ns,53.38 uj,0.25 uj,1.79 uj,49.8,0.3677,0.0031,3088 B
Newtonsoft_Deser_D2_W5_N,15,511504,"1,937.22 ns",8.280 ns,7.745 ns,66.70 uj,0.31 uj,2.18 uj,49.77,0.3949,0,3304 B
Newtonsoft_Deser_D2_W5_T,15,531776,"1,841.26 ns",12.171 ns,11.385 ns,63.33 uj,0.40 uj,2.08 uj,49.83,0.4062,0.0019,3400 B
Newtonsoft_Deser_D5_W100_B,15,14437,"69,409.37 ns",619.926 ns,579.879 ns,2382.25 uj,19.62 uj,77.86 uj,49.77,2.078,0.0693,17776 B
Newtonsoft_Deser_D5_W100_N,15,11140,"90,316.94 ns",800.789 ns,749.059 ns,3094.30 uj,25.06 uj,101.35 uj,49.77,3.7702,0.1795,31632 B
Newtonsoft_Deser_D5_W100_T,15,11952,"83,368.84 ns",937.439 ns,876.881 ns,2860.08 uj,30.23 uj,93.54 uj,49.83,4.4344,0.1673,37552 B
Newtonsoft_Deser_D5_W20_B,15,78640,"12,745.11 ns",65.402 ns,61.177 ns,437.55 uj,2.07 uj,14.43 uj,49.8,0.6867,0,5776 B
Newtonsoft_Deser_D5_W20_N,15,59456,"16,864.76 ns",73.396 ns,68.654 ns,579.05 uj,2.93 uj,19.11 uj,49.77,0.9923,0.0168,8432 B
Newtonsoft_Deser_D5_W20_T,15,63632,"15,508.49 ns",97.427 ns,91.133 ns,532.39 uj,3.19 uj,17.47 uj,49.8,1.1315,0.0157,9552 B
Newtonsoft_Deser_D5_W50_B,15,29248,"32,661.56 ns",154.069 ns,144.116 ns,1121.89 uj,5.43 uj,36.61 uj,49.6,1.1967,0.0342,10296 B
Newtonsoft_Deser_D5_W50_N,15,23084,"43,464.72 ns",362.155 ns,338.760 ns,1491.67 uj,11.54 uj,49.08 uj,49.6,2.036,0.0433,17128 B
Newtonsoft_Deser_D5_W50_T,15,25760,"39,063.11 ns",178.165 ns,166.656 ns,1340.82 uj,5.87 uj,44.31 uj,49.4,2.368,0.1553,20048 B
Newtonsoft_Deser_D5_W5_B,15,287920,"3,464.14 ns",16.266 ns,15.215 ns,119.13 uj,0.63 uj,3.95 uj,49.6,0.4237,0,3568 B
Newtonsoft_Deser_D5_W5_N,15,223280,"4,409.57 ns",25.106 ns,23.484 ns,151.54 uj,0.83 uj,4.98 uj,49.7,0.4882,0,4112 B
Newtonsoft_Deser_D5_W5_T,15,238384,"4,120.02 ns",20.103 ns,18.804 ns,141.50 uj,0.64 uj,4.63 uj,49.63,0.5202,0.0042,4352 B
Newtonsoft_Ser_D10_W100_B,15,12352,"76,746.90 ns",303.943 ns,284.308 ns,2634.78 uj,9.52 uj,88.07 uj,49.4,12.0628,0.7286,101416 B
Newtonsoft_Ser_D10_W100_N,15,9472,"105,364.24 ns",558.653 ns,522.564 ns,3615.07 uj,17.94 uj,119.62 uj,49.57,12.2466,1.1613,103016 B
Newtonsoft_Ser_D10_W100_T,15,10138,"98,557.29 ns",696.303 ns,651.323 ns,3382.07 uj,22.52 uj,110.74 uj,49.57,9.3707,0.6905,79256 B
Newtonsoft_Ser_D10_W20_B,15,70528,"14,141.31 ns",78.238 ns,73.184 ns,486.24 uj,2.51 uj,16.00 uj,50.43,2.7507,0.0851,23112 B
Newtonsoft_Ser_D10_W20_N,15,58512,"17,068.26 ns",79.116 ns,74.005 ns,586.20 uj,3.22 uj,19.65 uj,49.9,2.8028,0.0855,23480 B
Newtonsoft_Ser_D10_W20_T,15,66704,"15,014.80 ns",73.351 ns,68.613 ns,515.79 uj,2.22 uj,17.12 uj,49.63,2.2487,0.075,18920 B
Newtonsoft_Ser_D10_W50_B,15,28400,"35,458.41 ns",144.927 ns,135.565 ns,1218.81 uj,4.57 uj,40.97 uj,49.57,6.162,0.3521,51616 B
Newtonsoft_Ser_D10_W50_N,15,20816,"45,623.21 ns",237.053 ns,221.739 ns,1567.65 uj,7.74 uj,52.36 uj,49.47,6.2452,0.1922,52448 B
Newtonsoft_Ser_D10_W50_T,15,21200,"47,803.05 ns",221.569 ns,207.256 ns,1641.34 uj,7.14 uj,53.79 uj,49.5,4.8585,0.2358,40688 B
