LibA,LibB,comparison,Operation,Depth,Width,Content,delta,delta_abs,magnitude,ci_lower,ci_upper
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,2,5,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,2,5,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,2,5,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,2,5,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,2,5,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,2,5,Textual,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,2,5,Textual,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,2,5,Textual,1,1,large,0.9904211003489777,1
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,2,5,Textual,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,2,5,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,2,5,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,2,5,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,2,5,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,2,5,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,2,5,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,2,5,Numeric,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,2,5,Numeric,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,2,5,Numeric,1,1,large,0.9904211003489777,1
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,2,5,Numeric,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,2,5,Numeric,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,2,5,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,2,5,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,2,5,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,2,5,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,2,5,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,2,5,Boolean,-1,1,large,-1,-0.9904211003489777
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,2,5,Boolean,-1,1,large,-1,-0.9904211003489777
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,2,5,Boolean,1,1,large,0.9904211003489777,1
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,2,5,Boolean,-1,1,large,-1,-0.9904211003489777
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,2,5,Boolean,-1,1,large,-1,-0.9904211003489777
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,2,20,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,2,20,Textual,-1,1,large,-1,-0.9904211003489777
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,2,20,Textual,-1,1,large,-1,-0.9904211003489777
