comparison,n_cells,n_L,n_M,n_S,n_N,n_not_large,pct_large,pct_not_large
SpanJson vs Utf8Json,96,96,0,0,0,0,100,0
SpanJson vs STJRefGen,96,96,0,0,0,0,100,0
SpanJson vs STJSrcGen,96,96,0,0,0,0,100,0
SpanJson vs Newtonsoft,96,96,0,0,0,0,100,0
Utf8Json vs STJRefGen,96,96,0,0,0,0,100,0
Utf8Json vs STJSrcGen,96,96,0,0,0,0,100,0
Utf8Json vs Newtonsoft,96,96,0,0,0,0,100,0
STJRefGen vs STJSrcGen,96,95,1,0,0,1,98.95833333333334,1.0416666666666665
STJRefGen vs Newtonsoft,96,96,0,0,0,0,100,0
STJSrcGen vs Newtonsoft,96,95,0,1,0,1,98.95833333333334,1.0416666666666665
All,960,958,1,1,0,2,99.79166666666667,0.20833333333333334
