Operation,Depth,Width,Content,n_obs,n_groups,kw_chi2,kw_df,kw_p_value,kw_p_adj,significant,sig_label
Deserialize,2,5,Textual,75,5,71.14979203464188,4,1.2977829538907257e-14,1.1605432486542277e-12,TRUE,***
Deserialize,2,5,Numeric,75,5,71.09915449654109,4,1.3301392997192835e-14,1.1605432486542277e-12,TRUE,***
Deserialize,2,5,Boolean,75,5,71.21471343028226,4,1.2574474214260028e-14,1.1460457608894966e-12,TRUE,***
Deserialize,2,20,Textual,75,5,71.05667463298052,4,1.3579039663125745e-14,1.1605432486542277e-12,TRUE,***
Deserialize,2,20,Numeric,75,5,71.07487407154441,4,1.3459386804377367e-14,1.1605432486542277e-12,TRUE,***
Deserialize,2,20,Boolean,75,5,69.97287650052408,4,2.2999679863619935e-14,1.1605432486542277e-12,TRUE,***
Deserialize,2,50,Textual,75,5,70.2384254582533,4,2.021426610816047e-14,1.1605432486542277e-12,TRUE,***
Deserialize,2,50,Numeric,75,5,71.07285145133748,4,1.3472632387573342e-14,1.1605432486542277e-12,TRUE,***
Deserialize,2,50,Boolean,75,5,71.05869633254613,4,1.3565695622659964e-14,1.1605432486542277e-12,TRUE,***
Deserialize,2,100,Textual,75,5,71.05263157894734,4,1.3605764820343018e-14,1.1605432486542277e-12,TRUE,***
Deserialize,2,100,Numeric,75,5,71.06274007682455,4,1.3539044564541043e-14,1.1605432486542277e-12,TRUE,***
Deserialize,2,100,Boolean,75,5,71.05263157894734,4,1.3605764820343018e-14,1.1605432486542277e-12,TRUE,***
Deserialize,5,5,Textual,75,5,71.07689680687572,4,1.344615348043335e-14,1.1605432486542277e-12,TRUE,***
Deserialize,5,5,Numeric,75,5,71.12345151644594,4,1.3145146270884585e-14,1.1605432486542277e-12,TRUE,***
Deserialize,5,5,Boolean,75,5,71.08903563702604,4,1.3367010387081933e-14,1.1605432486542277e-12,TRUE,***
Deserialize,5,20,Textual,75,5,70.30702034001214,4,1.9551270449203468e-14,1.1605432486542277e-12,TRUE,***
Deserialize,5,20,Numeric,75,5,70.34416354867625,4,1.9201381319242722e-14,1.1605432486542277e-12,TRUE,***
Deserialize,5,20,Boolean,75,5,71.0698177368638,4,1.3492523771711381e-14,1.1605432486542277e-12,TRUE,***
Deserialize,5,50,Textual,75,5,71.05768546838321,4,1.3572366099162224e-14,1.1605432486542277e-12,TRUE,***
Deserialize,5,50,Numeric,75,5,71.05768546838321,4,1.3572366099162224e-14,1.1605432486542277e-12,TRUE,***
Deserialize,5,50,Boolean,75,5,69.653085998255,4,2.6867635984657983e-14,1.1605432486542277e-12,TRUE,***
Deserialize,5,100,Textual,75,5,67.59607017543863,4,7.29885244430602e-14,1.1605432486542277e-12,TRUE,***
Deserialize,5,100,Numeric,75,5,71.05263157894734,4,1.3605764820343018e-14,1.1605432486542277e-12,TRUE,***
Deserialize,5,100,Boolean,75,5,69.36646466945479,4,3.088358942114513e-14,1.1605432486542277e-12,TRUE,***
Deserialize,10,5,Textual,75,5,71.07386274705101,4,1.3466008062904981e-14,1.1605432486542277e-12,TRUE,***
