Library,Operation,Depth,Width,Content,n,sw_stat,sw_p_value,normal
SpanJson,Deserialize,2,5,Textual,15,0.587358707219352,1.9539339114163657e-5,FALSE
SpanJson,Deserialize,2,5,Numeric,15,0.6757124365940947,1.3827971588137119e-4,FALSE
SpanJson,Deserialize,2,5,Boolean,15,0.519623443368642,5.086471824378188e-6,FALSE
SpanJson,Deserialize,2,20,Textual,15,0.8153651225091147,0.005828801423648129,FALSE
SpanJson,Deserialize,2,20,Numeric,15,0.5386248693096807,7.3330628114331295e-6,FALSE
SpanJson,Deserialize,2,20,Boolean,15,0.8996768982965541,0.09409779050936827,TRUE
SpanJson,Deserialize,2,50,Textual,15,0.4781657752672792,2.3563915887549054e-6,FALSE
SpanJson,Deserialize,2,50,Numeric,15,0.3571133604836756,3.022370981837896e-7,FALSE
SpanJson,Deserialize,2,50,Boolean,15,0.5354851776949292,6.898809511231437e-6,FALSE
SpanJson,Deserialize,2,100,Textual,15,0.6636545660018117,1.0423477565055754e-4,FALSE
SpanJson,Deserialize,2,100,Numeric,15,0.7211146219908127,4.2189605082460695e-4,FALSE
SpanJson,Deserialize,2,100,Boolean,15,0.9037743831322562,0.10870169183712533,TRUE
SpanJson,Deserialize,5,5,Textual,15,0.5456487362635625,8.413507807345321e-6,FALSE
SpanJson,Deserialize,5,5,Numeric,15,0.547963789963479,8.805797680379955e-6,FALSE
SpanJson,Deserialize,5,5,Boolean,15,0.7019472520182908,2.6073695510103604e-4,FALSE
SpanJson,Deserialize,5,20,Textual,15,0.5199886700860059,5.121947801646797e-6,FALSE
SpanJson,Deserialize,5,20,Numeric,15,0.4769451845889955,2.304908726771948e-6,FALSE
SpanJson,Deserialize,5,20,Boolean,15,0.7086332327273671,3.078463521519897e-4,FALSE
SpanJson,Deserialize,5,50,Textual,15,0.6627967997757377,1.0218076765276782e-4,FALSE
SpanJson,Deserialize,5,50,Numeric,15,0.447666227190193,1.369195598262824e-6,FALSE
SpanJson,Deserialize,5,50,Boolean,15,0.508285126489219,4.105575583540458e-6,FALSE
SpanJson,Deserialize,5,100,Textual,15,0.6303133229696474,4.900656616761538e-5,FALSE
SpanJson,Deserialize,5,100,Numeric,15,0.552249228784045,9.584309067521113e-6,FALSE
SpanJson,Deserialize,5,100,Boolean,15,0.472635275829027,2.1324836424065712e-6,FALSE
SpanJson,Deserialize,10,5,Textual,15,0.6067130474285374,2.9365774738890192e-5,FALSE
SpanJson,Deserialize,10,5,Numeric,15,0.7595238659563772,0.0011635975735329767,FALSE
SpanJson,Deserialize,10,5,Boolean,15,0.4846172653037737,2.649604647639047e-6,FALSE
SpanJson,Deserialize,10,20,Textual,15,0.5154279776727924,4.6971973772203215e-6,FALSE
SpanJson,Deserialize,10,20,Numeric,15,0.5284111255121914,6.017592708304007e-6,FALSE
SpanJson,Deserialize,10,20,Boolean,15,0.6906340974235345,1.9768390427874516e-4,FALSE
SpanJson,Deserialize,10,50,Textual,15,0.7272037546405326,4.932402879976488e-4,FALSE
SpanJson,Deserialize,10,50,Numeric,15,0.6182391848250163,3.762882547926866e-5,FALSE
SpanJson,Deserialize,10,50,Boolean,15,0.38221764703971073,4.5305771025834464e-7,FALSE
SpanJson,Deserialize,10,100,Textual,15,0.6801492327108094,1.5364524228974336e-4,FALSE
SpanJson,Deserialize,10,100,Numeric,15,0.6519439724031878,7.961501893799497e-5,FALSE
SpanJson,Deserialize,10,100,Boolean,15,0.9150454281359832,0.1618031864164928,TRUE
SpanJson,Deserialize,20,5,Textual,15,0.505657436884934,3.908344710908449e-6,FALSE
SpanJson,Deserialize,20,5,Numeric,15,0.5529550899317757,9.719421117362559e-6,FALSE
SpanJson,Deserialize,20,5,Boolean,15,0.43604807879076646,1.1187580255978169e-6,FALSE
SpanJson,Deserialize,20,20,Textual,15,0.5263147899555959,5.780092547142646e-6,FALSE
SpanJson,Deserialize,20,20,Numeric,15,0.49516272922499116,3.2156274009517987e-6,FALSE
SpanJson,Deserialize,20,20,Boolean,15,0.6303002517039946,4.899242841393596e-5,FALSE
SpanJson,Deserialize,20,50,Textual,15,0.791391063509817,0.0028567064822264667,FALSE
SpanJson,Deserialize,20,50,Numeric,15,0.6621529334579953,1.0066736245630597e-4,FALSE
SpanJson,Deserialize,20,50,Boolean,15,0.5710561392805773,1.397887970937242e-5,FALSE
SpanJson,Deserialize,20,100,Textual,15,0.6796958400758057,1.5199451412234338e-4,FALSE
SpanJson,Deserialize,20,100,Numeric,15,0.707140422361832,2.9659118755394933e-4,FALSE
SpanJson,Deserialize,20,100,Boolean,15,0.6106627178444874,3.195515846550798e-5,FALSE
SpanJson,Serialize,2,5,Textual,15,0.5545159625942286,1.0025451109413411e-5,FALSE
SpanJson,Serialize,2,5,Numeric,15,0.6995489208382981,2.4576785485648804e-4,FALSE
SpanJson,Serialize,2,5,Boolean,15,0.6110322565542813,3.220958922628982e-5,FALSE
SpanJson,Serialize,2,20,Textual,15,0.4200813820828797,8.51060413786796e-7,FALSE
SpanJson,Serialize,2,20,Numeric,15,0.55228902515469,9.591873206512934e-6,FALSE
SpanJson,Serialize,2,20,Boolean,15,0.88126699310299506,0.049558173073901104,FALSE
SpanJson,Serialize,2,50,Textual,15,0.4500432284858532,1.4274237104558872e-6,FALSE
SpanJson,Serialize,2,50,Numeric,15,0.5748253994385201,1.5094389808688764e-5,FALSE
SpanJson,Serialize,2,50,Boolean,15,0.6111426397323865,3.228600736754996e-5,FALSE
SpanJson,Serialize,2,100,Textual,15,0.6406104771785983,6.162033405781895e-5,FALSE
SpanJson,Serialize,2,100,Numeric,15,0.44124840333200344,1.2242388235468296e-6,FALSE
SpanJson,Serialize,2,100,Boolean,15,0.45286764023323456,1.500053863306089e-6,FALSE
SpanJson,Serialize,5,5,Textual,15,0.5680158101191322,1.3143135120269671e-5,FALSE
SpanJson,Serialize,5,5,Numeric,15,0.5266507173266917,5.8174692664370486e-6,FALSE
SpanJson,Serialize,5,5,Boolean,15,0.5843837652277764,1.837089314862854e-5,FALSE
SpanJson,Serialize,5,20,Textual,15,0.427218759435942,9.611768439452409e-7,FALSE
SpanJson,Serialize,5,20,Numeric,15,0.6089457154938142,3.080077916088901e-5,FALSE
SpanJson,Serialize,5,20,Boolean,15,0.9632241411259308,0.7482080467246185,TRUE
SpanJson,Serialize,5,50,Textual,15,0.4328327471171367,1.0584072903449358e-6,FALSE
SpanJson,Serialize,5,50,Numeric,15,0.480012973477825,2.4366434624651685e-6,FALSE
SpanJson,Serialize,5,50,Boolean,15,0.5597238490567675,1.1123029538444053e-5,FALSE
SpanJson,Serialize,5,100,Textual,15,0.5065122640915432,3.97137658423748e-6,FALSE
SpanJson,Serialize,5,100,Numeric,15,0.4668636954734836,1.9227610938706163e-6,FALSE
SpanJson,Serialize,5,100,Boolean,15,0.5809672220876667,1.7120200358495164e-5,FALSE
SpanJson,Serialize,10,5,Textual,15,0.7006411795188545,2.524680820061044e-4,FALSE
SpanJson,Serialize,10,5,Numeric,15,0.3973316364427848,5.809819331533114e-7,FALSE
SpanJson,Serialize,10,5,Boolean,15,0.8240176419021439,0.00760338406853338,FALSE
SpanJson,Serialize,10,20,Textual,15,0.4128758499629641,7.533871905261305e-7,FALSE
SpanJson,Serialize,10,20,Numeric,15,0.43279243023639824,1.0576728958912194e-6,FALSE
SpanJson,Serialize,10,20,Boolean,15,0.4662249908258236,1.9009380130612147e-6,FALSE
SpanJson,Serialize,10,50,Textual,15,0.583045795888708,1.7869876626473575e-5,FALSE
SpanJson,Serialize,10,50,Numeric,15,0.5871535497493791,1.9456271071713634e-5,FALSE
SpanJson,Serialize,10,50,Boolean,15,0.6380716352012754,5.82180094631349e-5,FALSE
SpanJson,Serialize,10,100,Textual,15,0.8210672279750524,0.0069410437852528255,FALSE
SpanJson,Serialize,10,100,Numeric,15,0.6592652318541297,9.416811235356979e-5,FALSE
SpanJson,Serialize,10,100,Boolean,15,0.6112256780714131,3.234362211862859e-5,FALSE
SpanJson,Serialize,20,5,Textual,15,0.6641548022838417,1.0545294838783081e-4,FALSE
SpanJson,Serialize,20,5,Numeric,15,0.607082717733637,2.9598361072616095e-5,FALSE
SpanJson,Serialize,20,5,Boolean,15,0.7803466440261895,0.0020796367146921242,FALSE
SpanJson,Serialize,20,20,Textual,15,0.4255763457575744,9.345609339982378e-7,FALSE
SpanJson,Serialize,20,20,Numeric,15,0.4814623629748618,2.5016468208821246e-6,FALSE
SpanJson,Serialize,20,20,Boolean,15,0.7380572925579663,6.543656001669008e-4,FALSE
SpanJson,Serialize,20,50,Textual,15,0.5892745576114375,2.03335646025239e-5,FALSE
SpanJson,Serialize,20,50,Numeric,15,0.5555552389426426,1.0234896359701052e-5,FALSE
SpanJson,Serialize,20,50,Boolean,15,0.4735128554539605,2.166446636717746e-6,FALSE
SpanJson,Serialize,20,100,Textual,15,0.45931985771108097,1.6811285587161756e-6,FALSE
SpanJson,Serialize,20,100,Numeric,15,0.5311315303333392,6.341397177908977e-6,FALSE
SpanJson,Serialize,20,100,Boolean,15,0.5495952634026988,9.09393033441808e-6,FALSE
Utf8Json,Deserialize,2,5,Textual,15,0.4487786006253801,1.3961240303626764e-6,FALSE
Utf8Json,Deserialize,2,5,Numeric,15,0.46068444918232554,1.7223222526278473e-6,FALSE
Utf8Json,Deserialize,2,5,Boolean,15,0.4887369374520423,2.8569705316052803e-6,FALSE
Utf8Json,Deserialize,2,20,Textual,15,0.6860019315897568,1.7676069459414404e-4,FALSE
Utf8Json,Deserialize,2,20,Numeric,15,0.5723712298890116,1.4357761342718131e-5,FALSE
Utf8Json,Deserialize,2,20,Boolean,15,0.636661812299362,5.6415729931089e-5,FALSE
Utf8Json,Deserialize,2,50,Textual,15,0.6954449189599283,2.2224054493749765e-4,FALSE
Utf8Json,Deserialize,2,50,Numeric,15,0.5344885819296378,6.766761514547044e-6,FALSE
Utf8Json,Deserialize,2,50,Boolean,15,0.8575687852379192,0.022264827468995368,FALSE
Utf8Json,Deserialize,2,100,Textual,15,0.46565454865463296,1.8816699283569214e-6,FALSE
Utf8Json,Deserialize,2,100,Numeric,15,0.503093228955064,3.7255736461660226e-6,FALSE
Utf8Json,Deserialize,2,100,Boolean,15,0.6873607727803317,1.8264179585376875e-4,FALSE
Utf8Json,Deserialize,5,5,Textual,15,0.502008765746093,3.651032212993776e-6,FALSE
Utf8Json,Deserialize,5,5,Numeric,15,0.64685361817643094,7.092219948421938e-5,FALSE
Utf8Json,Deserialize,5,5,Boolean,15,0.5958002002099976,2.3307475063823545e-5,FALSE
Utf8Json,Deserialize,5,20,Textual,15,0.38632751529607257,4.8457293529879e-7,FALSE
Utf8Json,Deserialize,5,20,Numeric,15,0.5339881606919996,6.701473499721234e-6,FALSE
Utf8Json,Deserialize,5,20,Boolean,15,0.8001088630580859,0.0036881182775714057,FALSE
Utf8Json,Deserialize,5,50,Textual,15,0.48838322515742827,2.8385062530726036e-6,FALSE
Utf8Json,Deserialize,5,50,Numeric,15,0.7163126938904281,3.7342194348709577e-4,FALSE
Utf8Json,Deserialize,5,50,Boolean,15,0.5114019262785283,4.3533448020012324e-6,FALSE
Utf8Json,Deserialize,5,100,Textual,15,0.5126779640053772,4.459331716031054e-6,FALSE
Utf8Json,Deserialize,5,100,Numeric,15,0.6204308303491476,3.946366381146011e-5,FALSE
Utf8Json,Deserialize,5,100,Boolean,15,0.5406346909621387,7.6262560919882674e-6,FALSE
Utf8Json,Deserialize,10,5,Textual,15,0.5957470572886452,2.3281464417478384e-5,FALSE
Utf8Json,Deserialize,10,5,Numeric,15,0.7282737800977506,5.070572603332422e-4,FALSE
Utf8Json,Deserialize,10,5,Boolean,15,0.5512680479216117,9.399810158978862e-6,FALSE
Utf8Json,Deserialize,10,20,Textual,15,0.3798239404270992,4.357117414534502e-7,FALSE
Utf8Json,Deserialize,10,20,Numeric,15,0.8288134170499327,0.008827581600346647,FALSE
Utf8Json,Deserialize,10,20,Boolean,15,0.5575536927892639,1.0650856035491097e-5,FALSE
Utf8Json,Deserialize,10,50,Textual,15,0.8259150460251357,0.008064633579733051,FALSE
Utf8Json,Deserialize,10,50,Numeric,15,0.664368402642908,1.0597772795634495e-4,FALSE
Utf8Json,Deserialize,10,50,Boolean,15,0.4776841434686889,2.335932397877843e-6,FALSE
Utf8Json,Deserialize,10,100,Textual,15,0.6484750763894076,7.357572832368084e-5,FALSE
