Library,Operation,n_groups,n_normal,n_non_normal,pct_normal,pct_non_normal
SpanJson,Deserialize,48,3,45,6.25,93.75
SpanJson,Serialize,48,1,47,2.083333333333333,97.91666666666666
Utf8Json,Deserialize,48,0,48,0,100
Utf8Json,Serialize,48,1,47,2.083333333333333,97.91666666666666
STJRefGen,Deserialize,48,2,46,4.166666666666666,95.83333333333334
STJRefGen,Serialize,48,12,36,25,75
STJSrcGen,Deserialize,48,2,46,4.166666666666666,95.83333333333334
STJSrcGen,Serialize,48,1,47,2.083333333333333,97.91666666666666
Newtonsoft,Deserialize,48,0,48,0,100
Newtonsoft,Serialize,48,3,45,6.25,93.75
All,All,480,25,455,5.208333333333334,94.79166666666666
