Library,Variant,Operation,per_element_ratio_extreme,Dimension,log_pe,pe_label
SpanJson,All,Deserialize,2.479468616786712,Width,0.3943586156952428,2.48x
SpanJson,All,Serialize,3.729900227460711,Width,0.5716972148535167,3.73x
Utf8Json,All,Deserialize,1.4827957485015408,Width,0.17108133214241433,1.48x
Utf8Json,All,Serialize,2.92312903618862,Width,0.465847986916718,2.92x
STJRefGen,All,Deserialize,2.1762866831463525,Width,0.3377161045866266,2.18x
STJRefGen,All,Serialize,1.189227544745043,Width,0.07526495972583594,1.19x
STJSrcGen,All,Deserialize,2.1656092152674744,Width,0.3355800908097802,2.17x
STJSrcGen,All,Serialize,1.039317514924618,Width,0.016748246223060908,1.04x
Newtonsoft,All,Deserialize,1.040417183283495,Width,0.017207516287750153,1.04x
Newtonsoft,All,Serialize,1.0242859813084113,Width,0.010421228870458384,1.02x
SpanJson,All,Deserialize,1.0125853497272623,Depth,0.005431639643123854,1.01x
SpanJson,All,Serialize,2.531996412779031,Depth,0.40346308605646447,2.53x
Utf8Json,All,Deserialize,0.9473708891092383,Depth,-0.023479964439666594,0.95x
Utf8Json,All,Serialize,1.8247325844284301,Depth,0.26119922735870127,1.82x
STJRefGen,All,Deserialize,1.0370955345112254,Depth,0.015818764296483497,1.04x
STJRefGen,All,Serialize,1.3007447158563024,Depth,0.11419207029430076,1.30x
STJSrcGen,All,Deserialize,1.013203166127698,Depth,0.005696538234222751,1.01x
STJSrcGen,All,Serialize,0.8781426442025385,Depth,-0.05643493220521263,0.88x
Newtonsoft,All,Deserialize,0.9181635957511144,Depth,-0.03707993056132142,0.92x
Newtonsoft,All,Serialize,0.9198844281321596,Depth,-0.03626673284720997,0.92x
SpanJson,All,Deserialize,1.8683841501873226,Size,0.2714661744392402,1.87x
SpanJson,All,Serialize,1.1168382673899027,Size,0.04799028621707465,1.12x
Utf8Json,All,Deserialize,1.5653015273962358,Size,0.19459800902033678,1.57x
Utf8Json,All,Serialize,1.3108738445873311,Size,0.11756089822260704,1.31x
STJRefGen,All,Deserialize,1.6231721525581355,Size,0.21036458325269244,1.62x
STJRefGen,All,Serialize,1.031386275040925,Size,0.013421347825349296,1.03x
STJSrcGen,All,Deserialize,1.6547753742581175,Size,0.21873904926517745,1.65x
STJSrcGen,All,Serialize,1.486663435867968,Size,0.17221266019007703,1.49x
Newtonsoft,All,Deserialize,1.435889560430273,Size,0.157121037998074,1.44x
Newtonsoft,All,Serialize,1.5170448397203504,Size,0.1809984175404032,1.52x
SpanJson,Unicode,Deserialize,0.17696133350040172,StrComp (Uni),-0.7521216177166931,0.18x
SpanJson,Unicode,Serialize,0.05229872912958304,StrComp (Uni),-1.2815088644542416,0.05x
SpanJson,Escape,Deserialize,0.1629114791837702,StrComp (Esc),-0.7880483130486206,0.16x
SpanJson,Escape,Serialize,0.1752939464427421,StrComp (Esc),-0.7562330814641488,0.18x
SpanJson,UnicodeEscape,Deserialize,0.16891485194767858,StrComp (UE),-0.7723321631267499,0.17x
SpanJson,UnicodeEscape,Serialize,0.054412517669424364,StrComp (UE),-1.2643011788056961,0.05x
Utf8Json,Unicode,Deserialize,0.19887592532900894,StrComp (Uni),-0.7014177866572533,0.20x
Utf8Json,Unicode,Serialize,0.06345541716746134,StrComp (Uni),-1.1975312964138651,0.06x
Utf8Json,Escape,Deserialize,0.16800106382245095,StrComp (Esc),-0.7746879682101051,0.17x
Utf8Json,Escape,Serialize,0.3727026165633161,StrComp (Esc),-0.4286375582656913,0.37x
Utf8Json,UnicodeEscape,Deserialize,0.19831775232042814,StrComp (UE),-0.7026384083881114,0.20x
Utf8Json,UnicodeEscape,Serialize,0.06098816181929141,StrComp (UE),-1.2147544560630057,0.06x
STJRefGen,Unicode,Deserialize,0.1796991413057204,StrComp (Uni),-0.7454539981669209,0.18x
STJRefGen,Unicode,Serialize,0.13447989876860048,StrComp (Uni),-0.8713426264889808,0.13x
STJRefGen,Escape,Deserialize,0.16025169836528405,StrComp (Esc),-0.7951973590836375,0.16x
STJRefGen,Escape,Serialize,0.16282109681649054,StrComp (Esc),-0.7882893240329087,0.16x
STJRefGen,UnicodeEscape,Deserialize,0.18627142958110438,StrComp (UE),-0.7298537523329285,0.19x
STJRefGen,UnicodeEscape,Serialize,0.13782141513721258,StrComp (UE),-0.860683295103907,0.14x
STJSrcGen,Unicode,Deserialize,0.1876992634018863,StrComp (Uni),-0.7265374317000381,0.19x
STJSrcGen,Unicode,Serialize,0.1460282119743575,StrComp (Uni),-0.8355632324267509,0.15x
STJSrcGen,Escape,Deserialize,0.15714475596467403,StrComp (Esc),-0.803700107128773,0.16x
STJSrcGen,Escape,Serialize,0.1789217523998606,StrComp (Esc),-0.7473368569007748,0.18x
STJSrcGen,UnicodeEscape,Deserialize,0.19565709423574984,StrComp (UE),-0.7085044006046873,0.20x
STJSrcGen,UnicodeEscape,Serialize,0.1431826270007484,StrComp (UE),-0.8441096737559914,0.14x
Newtonsoft,Unicode,Deserialize,0.12657204960221755,StrComp (Uni),-0.8976621872388522,0.13x
Newtonsoft,Unicode,Serialize,0.06465252225647589,StrComp (Uni),-1.1894145275399373,0.06x
Newtonsoft,Escape,Deserialize,0.07475673434721156,StrComp (Esc),-1.1263496784805078,0.07x
Newtonsoft,Escape,Serialize,0.12154852730686908,StrComp (Esc),-0.9152502987406365,0.12x
Newtonsoft,UnicodeEscape,Deserialize,0.12179588930930378,StrComp (UE),-0.9143673691777947,0.12x
Newtonsoft,UnicodeEscape,Serialize,0.06340616717213361,StrComp (UE),-1.197868498607744,0.06x
SpanJson,Integer,Deserialize,0.2959764577591551,Numeric (Int),-0.5287428317515463,0.30x
SpanJson,Integer,Serialize,0.4658438196158709,Numeric (Int),-0.3317596619535796,0.47x
SpanJson,Float,Deserialize,0.2950548651106396,Numeric (Float),-0.5300972199564005,0.30x
SpanJson,Float,Serialize,0.34849482843382923,Numeric (Float),-0.457803662327279,0.35x
Utf8Json,Integer,Deserialize,0.2624144918774281,Numeric (Int),-0.5810121846599069,0.26x
Utf8Json,Integer,Serialize,0.4128030672399273,Numeric (Int),-0.38425708444182805,0.41x
Utf8Json,Float,Deserialize,0.307200032579333,Numeric (Float),-0.5125787425825055,0.31x
Utf8Json,Float,Serialize,0.3488097676289367,Numeric (Float),-0.4574113621340985,0.35x
STJRefGen,Integer,Deserialize,0.24881875994867192,Numeric (Int),-0.6041168786635235,0.25x
STJRefGen,Integer,Serialize,0.23255531463901996,Numeric (Int),-0.6334737310093751,0.23x
STJRefGen,Float,Deserialize,0.2445074150633728,Numeric (Float),-0.6117079656926118,0.24x
STJRefGen,Float,Serialize,0.2909272171388351,Numeric (Float),-0.5362156472634892,0.29x
STJSrcGen,Integer,Deserialize,0.24235986057937242,Numeric (Int),-0.6155393060089236,0.24x
STJSrcGen,Integer,Serialize,0.2649123733665741,Numeric (Int),-0.5768977564655915,0.26x
STJSrcGen,Float,Deserialize,0.251747984460857,Numeric (Float),-0.5990339977992973,0.25x
STJSrcGen,Float,Serialize,0.31785593825072794,Numeric (Float),-0.49776967057792276,0.32x
Newtonsoft,Integer,Deserialize,0.25135248892331374,Numeric (Int),-0.599716809977146,0.25x
Newtonsoft,Integer,Serialize,0.2897554427311855,Numeric (Int),-0.5379683975527356,0.29x
Newtonsoft,Float,Deserialize,0.2594976510883603,Numeric (Float),-0.5858665689291285,0.26x
Newtonsoft,Float,Serialize,0.2626455946179362,Numeric (Float),-0.5806298792666078,0.26x
SpanJson,All,Deserialize,0.09937836963328836,String Length,-1.0027081324151428,0.10x
SpanJson,All,Serialize,0.9642078254163678,String Length,-0.015829348147187287,0.96x
Utf8Json,All,Deserialize,0.13927084655923705,String Length,-0.8561397845346577,0.14x
Utf8Json,All,Serialize,0.9319399152957835,String Length,-0.030612086891362262,0.93x
STJRefGen,All,Deserialize,0.011362647857023398,String Length,-1.9445204524545456,0.01x
STJRefGen,All,Serialize,0.04975923692688813,String Length,-1.3031262883048345,0.05x
STJSrcGen,All,Deserialize,0.012001607334594029,String Length,-1.920760586469167,0.01x
STJSrcGen,All,Serialize,0.06386080416940848,String Length,-1.194765616893698,0.06x
Newtonsoft,All,Deserialize,0.09788787996470362,String Length,-1.0092710772499554,0.10x
Newtonsoft,All,Serialize,0.16532879392593988,String Length,-0.7816515024228919,0.17x
