Library,Operation,Dimension,n_cells,mean_rank,median_rank,pct_rank_1,pct_rank_5,mean_ratio
SpanJson,Deserialize,Depth,7,1,1,100,0,1
SpanJson,Deserialize,Numeric (Float),5,1,1,100,0,1
SpanJson,Deserialize,Numeric (Int),5,1,1,100,0,1
SpanJson,Deserialize,Size,5,1,1,100,0,1
SpanJson,Deserialize,StrComp (Esc),6,1.1666666666666667,1,83.33333333333334,0,1.0301361042079857
SpanJson,Deserialize,StrComp (Uni),6,1,1,100,0,1
SpanJson,Deserialize,StrComp (UE),6,1,1,100,0,1
SpanJson,Deserialize,String Length,7,2.4285714285714284,3,28.57142857142857,0,2.398276726130962
SpanJson,Deserialize,Width,7,1.1428571428571428,1,85.71428571428571,0,1.0148849614165851
SpanJson,Serialize,Depth,7,3.857142857142857,4,0,28.57142857142857,2.382401587191336
SpanJson,Serialize,Numeric (Float),5,2.6,3,0,0,1.0662426847679576
SpanJson,Serialize,Numeric (Int),5,1.4,1,60,0,1.055307030732407
SpanJson,Serialize,Size,5,4,4,0,40,3.3455162729795234
SpanJson,Serialize,StrComp (Esc),6,2.1666666666666665,2.5,33.33333333333333,0,1.21000364741554
SpanJson,Serialize,StrComp (Uni),6,1.6666666666666667,1.5,50,0,1.1257484818503893
SpanJson,Serialize,StrComp (UE),6,1.5,1,66.66666666666666,0,1.1276747006163232
SpanJson,Serialize,String Length,7,4,4,14.285714285714285,42.857142857142854,10.53062127998541
SpanJson,Serialize,Width,7,3.4285714285714284,3,14.285714285714285,28.57142857142857,2.234720661438887
Utf8Json,Deserialize,Depth,7,4,4,0,0,1.5026928878324486
Utf8Json,Deserialize,Numeric (Float),5,2,2,0,0,1.3982208837527124
Utf8Json,Deserialize,Numeric (Int),5,2,2,0,0,1.2798483177721223
Utf8Json,Deserialize,Size,5,4,4,0,0,1.396539420596658
Utf8Json,Deserialize,StrComp (Esc),6,3.1666666666666665,3,0,16.666666666666664,1.5109023929322776
Utf8Json,Deserialize,StrComp (Uni),6,4,4,0,33.33333333333333,1.8872082905292862
Utf8Json,Deserialize,StrComp (UE),6,3.8333333333333335,4,0,33.33333333333333,1.8798054025960933
Utf8Json,Deserialize,String Length,7,3.7142857142857144,4,0,0,4.569201278568972
Utf8Json,Deserialize,Width,7,2.7142857142857144,2,14.285714285714285,0,1.366566837788327
Utf8Json,Serialize,Depth,7,3.5714285714285716,4,0,0,2.400876128510732
Utf8Json,Serialize,Numeric (Float),5,1.2,1,80,0,1.0040819980047673
Utf8Json,Serialize,Numeric (Int),5,2.8,3,0,0,1.3638475967305268
Utf8Json,Serialize,Size,5,4.2,4,0,40,3.389494822966746
Utf8Json,Serialize,StrComp (Esc),6,3.1666666666666665,3.5,16.666666666666664,16.666666666666664,1.470835368539946
Utf8Json,Serialize,StrComp (Uni),6,2,2,33.33333333333333,0,1.1835713603662175
Utf8Json,Serialize,StrComp (UE),6,2.1666666666666665,2,16.666666666666664,0,1.1727315124441942
Utf8Json,Serialize,String Length,7,3.857142857142857,4,0,28.57142857142857,9.803208884613642
Utf8Json,Serialize,Width,7,3.5714285714285716,4,0,0,2.2624191154102298
STJRefGen,Deserialize,Depth,7,2.5714285714285716,3,0,0,1.3685257839620841
STJRefGen,Deserialize,Numeric (Float),5,3.8,4,0,0,1.7086281221223536
STJRefGen,Deserialize,Numeric (Int),5,3.6,4,0,0,2.689008098882854
STJRefGen,Deserialize,Size,5,2.8,3,0,0,1.273886175837454
STJRefGen,Deserialize,StrComp (Esc),6,3.3333333333333335,4,0,0,1.5446377289591273
STJRefGen,Deserialize,StrComp (Uni),6,3.3333333333333335,3,0,16.666666666666664,1.8157401590888576
STJRefGen,Deserialize,StrComp (UE),6,3.5,3.5,0,16.666666666666664,1.8482075999167895
STJRefGen,Deserialize,String Length,7,2,2,28.57142857142857,0,1.1488516873090218
STJRefGen,Deserialize,Width,7,3.7142857142857144,4,0,14.285714285714285,1.7152956481612587
