LibA,LibB,comparison,Operation,DimLabel,Variant,delta,delta_abs,magnitude,Dimension
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,W2,All,1,1,L,width
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,W2,All,1,1,L,width
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,W2,All,1,1,L,width
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,W2,All,1,1,L,width
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,W2,All,1,1,L,width
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,W2,All,1,1,L,width
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,W2,All,1,1,L,width
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,W2,All,-1,1,L,width
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,W2,All,1,1,L,width
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,W2,All,1,1,L,width
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,W5,All,1,1,L,width
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,W5,All,1,1,L,width
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,W5,All,1,1,L,width
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,W5,All,1,1,L,width
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,W5,All,1,1,L,width
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,W5,All,1,1,L,width
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,W5,All,1,1,L,width
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,W5,All,-1,1,L,width
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,W5,All,1,1,L,width
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,W5,All,1,1,L,width
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,W10,All,1,1,L,width
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,W10,All,1,1,L,width
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,W10,All,1,1,L,width
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,W10,All,1,1,L,width
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,W10,All,-1,1,L,width
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,W10,All,-1,1,L,width
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,W10,All,1,1,L,width
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,W10,All,-0.8933333333333333,0.8933333333333333,L,width
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,W10,All,1,1,L,width
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,W10,All,1,1,L,width
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,W20,All,1,1,L,width
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,W20,All,1,1,L,width
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,W20,All,1,1,L,width
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,W20,All,1,1,L,width
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,W20,All,-0.9625730994152046,0.9625730994152046,L,width
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,W20,All,-1,1,L,width
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,W20,All,1,1,L,width
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,W20,All,-0.016374269005847954,0.016374269005847954,N,width
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,W20,All,1,1,L,width
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,W20,All,1,1,L,width
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,W50,All,1,1,L,width
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,W50,All,1,1,L,width
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,W50,All,1,1,L,width
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,W50,All,1,1,L,width
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,W50,All,-1,1,L,width
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,W50,All,-1,1,L,width
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,W50,All,1,1,L,width
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,W50,All,-1,1,L,width
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,W50,All,1,1,L,width
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,W50,All,1,1,L,width
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,W100,All,1,1,L,width
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,W100,All,1,1,L,width
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,W100,All,1,1,L,width
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,W100,All,1,1,L,width
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,W100,All,1,1,L,width
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,W100,All,1,1,L,width
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,W100,All,1,1,L,width
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,W100,All,-1,1,L,width
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,W100,All,1,1,L,width
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,W100,All,1,1,L,width
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,W200,All,-1,1,L,width
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,W200,All,1,1,L,width
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,W200,All,1,1,L,width
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,W200,All,1,1,L,width
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,W200,All,1,1,L,width
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,W200,All,1,1,L,width
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,W200,All,1,1,L,width
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,W200,All,-1,1,L,width
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,W200,All,-1,1,L,width
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,W200,All,-1,1,L,width
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,W2,All,1,1,L,width
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,W2,All,1,1,L,width
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,W2,All,0.9466666666666667,0.9466666666666667,L,width
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,W2,All,1,1,L,width
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,W2,All,1,1,L,width
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,W2,All,-1,1,L,width
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,W2,All,1,1,L,width
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,W2,All,-1,1,L,width
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,W2,All,1,1,L,width
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,W2,All,1,1,L,width
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,W5,All,1,1,L,width
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,W5,All,-0.9422222222222222,0.9422222222222222,L,width
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,W5,All,-1,1,L,width
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,W5,All,1,1,L,width
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,W5,All,-1,1,L,width
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,W5,All,-1,1,L,width
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,W5,All,1,1,L,width
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,W5,All,-1,1,L,width
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,W5,All,1,1,L,width
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,W5,All,1,1,L,width
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,W10,All,1,1,L,width
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,W10,All,-1,1,L,width
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,W10,All,-1,1,L,width
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,W10,All,1,1,L,width
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,W10,All,-1,1,L,width
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,W10,All,-1,1,L,width
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,W10,All,1,1,L,width
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,W10,All,-1,1,L,width
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,W10,All,1,1,L,width
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,W10,All,1,1,L,width
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,W20,All,-1,1,L,width
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,W20,All,-1,1,L,width
