comparison,n_cells,n_L,n_M,n_S,n_N,n_not_large,pct_large,pct_not_large
SpanJson vs Utf8Json,108,104,1,2,1,4,96.29629629629629,3.7037037037037033
SpanJson vs STJRefGen,108,108,0,0,0,0,100,0
SpanJson vs STJSrcGen,108,107,1,0,0,1,99.07407407407408,0.9259259259259258
SpanJson vs Newtonsoft,108,108,0,0,0,0,100,0
Utf8Json vs STJRefGen,108,107,1,0,0,1,99.07407407407408,0.9259259259259258
Utf8Json vs STJSrcGen,108,108,0,0,0,0,100,0
Utf8Json vs Newtonsoft,108,108,0,0,0,0,100,0
STJRefGen vs STJSrcGen,108,99,3,3,3,9,91.66666666666666,8.333333333333332
STJRefGen vs Newtonsoft,108,108,0,0,0,0,100,0
STJSrcGen vs Newtonsoft,108,108,0,0,0,0,100,0
All,1080,1065,6,5,4,15,98.61111111111111,1.3888888888888888
