Variant,DimLabel,Operation,n_obs,n_libs,kw_chi,kw_df,kw_p,Dimension,significant,kw_p_adj
All,W2,Deserialize,75,5,71.10927623711632,4,1.3236078917855619e-14,width,TRUE,1.1853960153087787e-12
All,W2,Serialize,75,5,70.8510907690991,4,1.5006768537192957e-14,width,TRUE,1.1853960153087787e-12
All,W5,Deserialize,75,5,71.11940085998232,4,1.3171066836764209e-14,width,TRUE,1.1853960153087787e-12
All,W5,Serialize,75,5,70.66100085831215,4,1.6460006438942136e-14,width,TRUE,1.1853960153087787e-12
All,W10,Deserialize,75,5,70.34916768631025,4,1.9154723060240594e-14,width,TRUE,1.1853960153087787e-12
All,W10,Serialize,75,5,71.06375108480698,4,1.3532389505307788e-14,width,TRUE,1.1853960153087787e-12
All,W20,Deserialize,117,5,87.0625768790737,4,5.536902824406581e-18,width,TRUE,5.260057683186251e-16
All,W20,Serialize,75,5,71.05768546838321,4,1.3572366099162224e-14,width,TRUE,1.1853960153087787e-12
All,W50,Deserialize,75,5,71.05263157894734,4,1.3605764820343018e-14,width,TRUE,1.1853960153087787e-12
All,W50,Serialize,75,5,70.28101700380286,4,1.980000615203344e-14,width,TRUE,1.1853960153087787e-12
All,W100,Deserialize,75,5,71.05263157894734,4,1.3605764820343018e-14,width,TRUE,1.1853960153087787e-12
All,W100,Serialize,75,5,70.22543647519608,4,2.034231636436895e-14,width,TRUE,1.1853960153087787e-12
All,W200,Deserialize,75,5,71.05263157894734,4,1.3605764820343018e-14,width,TRUE,1.1853960153087787e-12
All,W200,Serialize,75,5,64.17038596491221,4,3.847790420689758e-13,width,TRUE,1.1853960153087787e-12
All,D1,Deserialize,75,5,70.35817692844036,4,1.907100685129402e-14,depth,TRUE,1.1853960153087787e-12
All,D1,Serialize,75,5,71.09409470672794,4,1.3334163696092578e-14,depth,TRUE,1.1853960153087787e-12
All,D2,Deserialize,75,5,71.06577318707582,4,1.3519088623858062e-14,depth,TRUE,1.1853960153087787e-12
All,D2,Serialize,75,5,70.93147452676298,4,1.443148453893555e-14,depth,TRUE,1.1853960153087787e-12
All,D4,Deserialize,75,5,68.74915685047137,4,4.16870866531333e-14,depth,TRUE,1.1853960153087787e-12
All,D4,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,depth,TRUE,1.1853960153087787e-12
All,D8,Deserialize,75,5,70.2840164070465,4,1.9771154703756803e-14,depth,TRUE,1.1853960153087787e-12
All,D8,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,depth,TRUE,1.1853960153087787e-12
All,D15,Deserialize,160,5,119.62230249973622,4,6.431766676846327e-25,depth,TRUE,6.753355010688643e-23
All,D15,Serialize,75,5,67.5309473684211,4,7.53336918359516e-14,depth,TRUE,1.1853960153087787e-12
All,D25,Deserialize,118,5,94.44505919067772,4,1.4954295685450532e-19,depth,TRUE,1.4505666814887016e-17
All,D25,Serialize,75,5,68.66778947368425,4,4.3368108862785366e-14,depth,TRUE,1.1853960153087787e-12
All,D40,Deserialize,75,5,70.27901754385965,4,1.981926244781696e-14,depth,TRUE,1.1853960153087787e-12
All,D40,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,depth,TRUE,1.1853960153087787e-12
All,C10,Deserialize,75,5,71.05263157894734,4,1.3605764820343018e-14,size,TRUE,1.1853960153087787e-12
All,C10,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,size,TRUE,1.1853960153087787e-12
All,C100,Deserialize,75,5,71.05263157894734,4,1.3605764820343018e-14,size,TRUE,1.1853960153087787e-12
All,C100,Serialize,75,5,70.27901754385965,4,1.981926244781696e-14,size,TRUE,1.1853960153087787e-12
All,C1K,Deserialize,76,5,72.00615174299384,4,8.556588442404419e-15,size,TRUE,7.872061367012065e-13
All,C1K,Serialize,130,5,95.77971646673933,4,7.77888960251353e-20,size,TRUE,7.62331181046326e-18
All,C10K,Deserialize,87,5,79.04723092998955,4,2.772171435927609e-16,size,TRUE,2.5781194354126764e-14
All,C10K,Serialize,116,5,106.94877320954907,4,3.2550774246039314e-22,size,TRUE,3.2550774246039316e-20
All,C100K,Deserialize,430,5,208.49461220525563,4,5.599911903618588e-44,size,TRUE,6.047904855908075e-42
All,C100K,Serialize,144,5,113.63438423645323,4,1.220854707753916e-23,size,TRUE,1.2696888960640727e-21
Unicode,A0,Deserialize,76,5,69.34867458679095,4,3.115175825696199e-14,string_composition,TRUE,1.1853960153087787e-12
Unicode,A0,Serialize,75,5,71.05465304845086,4,1.3592396058785693e-14,string_composition,TRUE,1.1853960153087787e-12
Unicode,U5,Deserialize,75,5,66.62431682717617,4,1.1699342602319838e-13,string_composition,TRUE,1.1853960153087787e-12
Unicode,U5,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,string_composition,TRUE,1.1853960153087787e-12
Unicode,U10,Deserialize,75,5,70.39586510375176,4,1.8724743825133578e-14,string_composition,TRUE,1.1853960153087787e-12
Unicode,U10,Serialize,75,5,67.71420713723481,4,6.891885343856542e-14,string_composition,TRUE,1.1853960153087787e-12
Unicode,U25,Deserialize,75,5,69.25136842105258,4,3.2660259359183845e-14,string_composition,TRUE,1.1853960153087787e-12
Unicode,U25,Serialize,75,5,67.81598220932493,4,6.559510437444954e-14,string_composition,TRUE,1.1853960153087787e-12
Unicode,U50,Deserialize,75,5,67.71228070175437,4,6.898336298965519e-14,string_composition,TRUE,1.1853960153087787e-12
Unicode,U50,Serialize,75,5,71.05364229932144,4,1.3599078893157954e-14,string_composition,TRUE,1.1853960153087787e-12
Unicode,U100,Deserialize,75,5,71.05263157894734,4,1.3605764820343018e-14,string_composition,TRUE,1.1853960153087787e-12
Unicode,U100,Serialize,75,5,71.05667463298052,4,1.3579039663125745e-14,string_composition,TRUE,1.1853960153087787e-12
Escape,A0,Deserialize,76,5,69.34867458679095,4,3.115175825696199e-14,string_composition,TRUE,1.1853960153087787e-12
Escape,A0,Serialize,75,5,71.05465304845086,4,1.3592396058785693e-14,string_composition,TRUE,1.1853960153087787e-12
Escape,E5,Deserialize,75,5,63.6678397845332,4,4.90938382845644e-13,string_composition,TRUE,1.1853960153087787e-12
Escape,E5,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,string_composition,TRUE,1.1853960153087787e-12
Escape,E10,Deserialize,75,5,70.28101700380286,4,1.980000615203344e-14,string_composition,TRUE,1.1853960153087787e-12
Escape,E10,Serialize,75,5,71.0556638263368,4,1.3585716315887764e-14,string_composition,TRUE,1.1853960153087787e-12
Escape,E25,Deserialize,75,5,70.28101700380286,4,1.980000615203344e-14,string_composition,TRUE,1.1853960153087787e-12
Escape,E25,Serialize,75,5,67.06835087719298,4,9.430652510888389e-14,string_composition,TRUE,1.1853960153087787e-12
Escape,E50,Deserialize,75,5,71.05364229932144,4,1.3599078893157954e-14,string_composition,TRUE,1.1853960153087787e-12
Escape,E50,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,string_composition,TRUE,1.1853960153087787e-12
Escape,E100,Deserialize,89,5,82.69083645443197,4,4.685106186626846e-17,string_composition,TRUE,4.4039998154292356e-15
