Dimension,Operation,n_cells,n_significant,n_not_significant,pct_significant,pct_not_significant
depth,Deserialize,7,7,0,100,0
depth,Serialize,7,7,0,100,0
numeric,Deserialize,10,10,0,100,0
numeric,Serialize,10,10,0,100,0
size,Deserialize,5,5,0,100,0
size,Serialize,5,5,0,100,0
string_composition,Deserialize,18,18,0,100,0
string_composition,Serialize,18,18,0,100,0
string_length,Deserialize,7,7,0,100,0
string_length,Serialize,7,7,0,100,0
width,Deserialize,7,7,0,100,0
width,Serialize,7,7,0,100,0
All,All,108,108,0,100,0
