Library,Variant,Operation,DimLabel,n,sw_stat,sw_p_value,normal,Dimension
SpanJson,All,Deserialize,W2,15,0.4477488412387769,1.371176418638945e-6,FALSE,width
SpanJson,All,Deserialize,W5,15,0.6181224868594364,3.7533712725698136e-5,FALSE,width
SpanJson,All,Deserialize,W10,15,0.5203402082557649,5.156343000385475e-6,FALSE,width
SpanJson,All,Deserialize,W20,15,0.4941560470144891,3.1564130254714735e-6,FALSE,width
SpanJson,All,Deserialize,W50,15,0.5086918383803314,4.137037594894634e-6,FALSE,width
SpanJson,All,Deserialize,W100,15,0.5717973123276932,1.4191085423357564e-5,FALSE,width
SpanJson,All,Deserialize,W200,15,0.5497442158969649,9.120732416904858e-6,FALSE,width
SpanJson,All,Serialize,W2,15,0.5828869406881905,1.7811365866130292e-5,FALSE,width
SpanJson,All,Serialize,W5,15,0.8195222794628532,0.006618967042439477,FALSE,width
SpanJson,All,Serialize,W10,15,0.9165783661796172,0.17078674886580647,TRUE,width
SpanJson,All,Serialize,W20,15,0.7752745232902716,0.0018015269343343448,FALSE,width
SpanJson,All,Serialize,W50,15,0.48860993958500964,2.8503264041401036e-6,FALSE,width
SpanJson,All,Serialize,W100,15,0.5394437223973336,7.451041852591333e-6,FALSE,width
SpanJson,All,Serialize,W200,15,0.511689548025207,4.376998203062309e-6,FALSE,width
Utf8Json,All,Deserialize,W2,15,0.4420846848513169,1.2421657358075104e-6,FALSE,width
Utf8Json,All,Deserialize,W5,15,0.4154451897990591,7.867740012686441e-7,FALSE,width
Utf8Json,All,Deserialize,W10,15,0.36007521983719326,3.168564743925747e-7,FALSE,width
Utf8Json,All,Deserialize,W20,15,0.5066888221278367,3.984529626042772e-6,FALSE,width
Utf8Json,All,Deserialize,W50,15,0.5225538987179438,5.378662698779496e-6,FALSE,width
Utf8Json,All,Deserialize,W100,15,0.5573237300162445,1.0602087534702285e-5,FALSE,width
Utf8Json,All,Deserialize,W200,15,0.39570691627214216,5.655506228455562e-7,FALSE,width
Utf8Json,All,Serialize,W2,15,0.4324604111937951,1.051645539760578e-6,FALSE,width
Utf8Json,All,Serialize,W5,15,0.5356598352438828,6.922232685657131e-6,FALSE,width
Utf8Json,All,Serialize,W10,15,0.6474659744382745,7.191212494026583e-5,FALSE,width
Utf8Json,All,Serialize,W20,15,0.8145556344097665,0.005686974414993026,FALSE,width
Utf8Json,All,Serialize,W50,15,0.9468926901871341,0.47690829117410855,TRUE,width
Utf8Json,All,Serialize,W100,15,0.5242269236201789,5.553445827429296e-6,FALSE,width
Utf8Json,All,Serialize,W200,15,0.594256210887306,2.2564240511355185e-5,FALSE,width
STJRefGen,All,Deserialize,W2,15,0.6535543202203636,8.259644369577341e-5,FALSE,width
STJRefGen,All,Deserialize,W5,15,0.39891261299696146,5.964277404074677e-7,FALSE,width
STJRefGen,All,Deserialize,W10,15,0.5462881600992409,8.519963548029995e-6,FALSE,width
STJRefGen,All,Deserialize,W20,57,0.25105659995989626,1.671537049300964e-15,FALSE,width
STJRefGen,All,Deserialize,W50,15,0.7023231062353097,2.631697609297202e-4,FALSE,width
STJRefGen,All,Deserialize,W100,15,0.4964376415337307,3.29232094895728e-6,FALSE,width
STJRefGen,All,Deserialize,W200,15,0.5640758894441391,1.213845859787374e-5,FALSE,width
STJRefGen,All,Serialize,W2,15,0.9104370684860623,0.13751563278264176,TRUE,width
STJRefGen,All,Serialize,W5,15,0.9256478895876717,0.2347083456582837,TRUE,width
STJRefGen,All,Serialize,W10,15,0.7483218542446372,8.592778172087949e-4,FALSE,width
STJRefGen,All,Serialize,W20,15,0.8937844745263783,0.0765286324215292,TRUE,width
STJRefGen,All,Serialize,W50,15,0.6146161297262025,3.4792227795270726e-5,FALSE,width
STJRefGen,All,Serialize,W100,15,0.6173539168445741,3.6913671819614205e-5,FALSE,width
STJRefGen,All,Serialize,W200,15,0.6046013629505058,2.8073983693921973e-5,FALSE,width
STJSrcGen,All,Deserialize,W2,15,0.6822110466874545,1.613971104280804e-4,FALSE,width
STJSrcGen,All,Deserialize,W5,15,0.7080788411882876,3.0361412355004634e-4,FALSE,width
STJSrcGen,All,Deserialize,W10,15,0.6714201747600724,1.249671867947654e-4,FALSE,width
STJSrcGen,All,Deserialize,W20,15,0.6594247075650286,9.451509790012885e-5,FALSE,width
STJSrcGen,All,Deserialize,W50,15,0.5825225407302486,1.767791724318089e-5,FALSE,width
STJSrcGen,All,Deserialize,W100,15,0.5563269068294854,1.0393423602737331e-5,FALSE,width
STJSrcGen,All,Deserialize,W200,15,0.6638106159639807,1.0461316785229433e-4,FALSE,width
