Library,Operation,n_groups,n_normal,n_non_normal,pct_normal,pct_non_normal
SpanJson,Deserialize,54,4,50,7.4074074074074066,92.5925925925926
SpanJson,Serialize,54,7,47,12.962962962962962,87.03703703703704
Utf8Json,Deserialize,54,3,51,5.555555555555555,94.44444444444444
Utf8Json,Serialize,54,12,42,22.22222222222222,77.77777777777779
STJRefGen,Deserialize,54,0,54,0,100
STJRefGen,Serialize,54,9,45,16.666666666666664,83.33333333333334
STJSrcGen,Deserialize,54,5,49,9.25925925925926,90.74074074074075
STJSrcGen,Serialize,54,11,43,20.37037037037037,79.62962962962963
Newtonsoft,Deserialize,54,2,52,3.7037037037037033,96.29629629629629
Newtonsoft,Serialize,54,2,52,3.7037037037037033,96.29629629629629
All,All,540,55,485,10.185185185185185,89.81481481481481
