Library,Variant,Operation,from_level,to_level,from_label,to_label,from_E,to_E,from_per_element,to_per_element,W_ratio,E_ratio
SpanJson,All,Deserialize,1,2,D1,D2,52.431333333333335,104.406,52.431333333333335,52.203,2,1.9912901954302136
SpanJson,All,Deserialize,2,4,D2,D4,104.406,207.796,52.203,51.949,2,1.990268758500469
SpanJson,All,Deserialize,4,8,D4,D8,207.796,420.83,51.949,52.60375,2,2.025207414964677
SpanJson,All,Deserialize,8,15,D8,D15,420.83,785.0346666666667,52.60375,52.33564444444445,1.875,1.865443686682667
SpanJson,All,Deserialize,15,25,D15,D25,785.0346666666667,1320.4213333333335,52.33564444444445,52.81685333333334,1.6666666666666667,1.6819911137682244
SpanJson,All,Deserialize,25,40,D25,D40,1320.4213333333335,2123.648,52.81685333333334,53.0912,1.6,1.6083108825869723
SpanJson,All,Serialize,1,2,D1,D2,37.54066666666667,74.762,37.54066666666667,37.381,2,1.991493669087745
SpanJson,All,Serialize,2,4,D2,D4,74.762,150.468,37.381,37.617,2,2.012626735507343
SpanJson,All,Serialize,4,8,D4,D8,150.468,499.37533333333334,37.617,62.42191666666667,2,3.3188141886203937
SpanJson,All,Serialize,8,15,D8,D15,499.37533333333334,1097.05,62.42191666666667,73.13666666666667,1.875,2.196844591175909
SpanJson,All,Serialize,15,25,D15,D25,1097.05,2277.2733333333335,73.13666666666667,91.09093333333334,1.6666666666666667,2.0758154444495087
SpanJson,All,Serialize,25,40,D25,D40,2277.2733333333335,3802.1133333333332,91.09093333333334,95.05283333333333,1.6,1.6695902409606809
Utf8Json,All,Deserialize,1,2,D1,D2,80.67999999999999,161.92266666666666,80.67999999999999,80.96133333333333,2,2.0069740538753926
Utf8Json,All,Deserialize,2,4,D2,D4,161.92266666666666,305.0346666666667,80.96133333333333,76.25866666666667,2,1.883829317698984
Utf8Json,All,Deserialize,4,8,D4,D8,305.0346666666667,646.872,76.25866666666667,80.859,2,2.120650767563031
Utf8Json,All,Deserialize,8,15,D8,D15,646.872,1153.8753333333334,80.859,76.92502222222222,1.875,1.7837769038284752
Utf8Json,All,Deserialize,15,25,D15,D25,1153.8753333333334,1999.8886666666667,76.92502222222222,79.99554666666667,1.6666666666666667,1.7331930139188925
Utf8Json,All,Deserialize,25,40,D25,D40,1999.8886666666667,3057.3553333333334,79.99554666666667,76.43388333333334,1.6,1.5287627677940738
Utf8Json,All,Serialize,1,2,D1,D2,47.18,95.306,47.18,47.653,2,2.020050869012293
Utf8Json,All,Serialize,2,4,D2,D4,95.306,191.05,47.653,47.7625,2,2.0045957232493232
Utf8Json,All,Serialize,4,8,D4,D8,191.05,462.776,47.7625,57.847,2,2.4222768908662653
Utf8Json,All,Serialize,8,15,D8,D15,462.776,1096.06,57.847,73.07066666666667,1.875,2.368446073262226
Utf8Json,All,Serialize,15,25,D15,D25,1096.06,2002.104,73.07066666666667,80.08416,1.6666666666666667,1.8266372278889844
Utf8Json,All,Serialize,25,40,D25,D40,2002.104,3443.635333333333,80.08416,86.09088333333332,1.6,1.720008218021308
STJRefGen,All,Deserialize,1,2,D1,D2,70.25733333333334,143.64333333333335,70.25733333333334,71.82166666666667,2,2.0445315317025035
STJRefGen,All,Deserialize,2,4,D2,D4,143.64333333333335,288.7526666666667,71.82166666666667,72.18816666666667,2,2.010205833894136
STJRefGen,All,Deserialize,4,8,D4,D8,288.7526666666667,573.848,72.18816666666667,71.731,2,1.9873340275068163
