Method,Iters,Ops,Mean,Error,StdDev,Pkg (μJ/op),StdDev (μJ/op),DRAM (μJ/op),Temp (°C),Gen0,Gen1,Allocated
SpanJson_Deser_D1,15,676291,"1,479.6 ns",7.59 ns,7.10 ns,50.75 uj,0.24 uj,1.68 uj,49.17,0.1656,0,1392 B
SpanJson_Deser_D2,15,338499,"2,947.0 ns",19.59 ns,18.32 ns,101.10 uj,0.62 uj,3.30 uj,49.13,0.3309,0.003,2784 B
SpanJson_Deser_D4,15,171373,"5,861.7 ns",40.16 ns,37.57 ns,201.14 uj,1.28 uj,6.66 uj,49,0.6652,0.0117,5568 B
SpanJson_Deser_D8,15,84433,"11,877.4 ns",71.12 ns,66.52 ns,407.52 uj,2.17 uj,13.31 uj,48.8,1.3265,0.0474,11136 B
SpanJson_Deser_D15,15,45326,"22,143.7 ns",109.77 ns,102.68 ns,759.96 uj,3.58 uj,25.07 uj,49.33,2.4931,0.1544,20880 B
SpanJson_Deser_D25,15,26993,"37,266.3 ns",427.41 ns,399.80 ns,1278.21 uj,13.31 uj,42.21 uj,49.03,4.1492000000000004,0.4446,34800 B
SpanJson_Deser_D40,15,16559,"59,902.4 ns",485.86 ns,454.47 ns,2055.95 uj,15.81 uj,67.70 uj,49.23,6.6429,0.9662,55680 B
SpanJson_Ser_D1,15,910668,"1,059.1 ns",15.78 ns,14.76 ns,36.35 uj,0.51 uj,1.19 uj,49.6,0.0736,0,624 B
SpanJson_Ser_D2,15,474512,"2,111.2 ns",18.31 ns,17.13 ns,72.38 uj,0.60 uj,2.39 uj,49.27,0.1454,0,1232 B
SpanJson_Ser_D4,15,237608,"4,245.8 ns",31.12 ns,29.11 ns,145.67 uj,0.99 uj,4.80 uj,49.2,0.2904,0,2456 B
SpanJson_Ser_D8,15,67201,"14,437.7 ns",146.98 ns,137.48 ns,483.16 uj,4.58 uj,16.22 uj,48.57,0.5803,0,4888 B
SpanJson_Ser_D15,15,30396,"31,796.5 ns",301.47 ns,281.99 ns,1061.29 uj,9.48 uj,35.76 uj,48.37,1.0857,0,9152 B
SpanJson_Ser_D25,15,15278,"65,871.2 ns",570.20 ns,533.36 ns,2203.39 uj,17.52 uj,73.89 uj,48.07,1.7672,0,15240 B
SpanJson_Ser_D40,15,9119,"110,058.3 ns","1,143.37 ns","1,069.51 ns",3678.72 uj,36.53 uj,123.40 uj,48.2,2.8512,0,24376 B
Utf8Json_Deser_D1,15,441151,"2,275.1 ns",14.73 ns,13.78 ns,78.10 uj,0.49 uj,2.58 uj,49.7,0.1655,0,1392 B
Utf8Json_Deser_D2,15,219726,"4,567.1 ns",23.52 ns,22.00 ns,156.77 uj,0.76 uj,5.16 uj,49.53,0.3322,0,2784 B
Utf8Json_Deser_D4,15,109054,"8,588.5 ns",70.73 ns,66.16 ns,295.34 uj,2.22 uj,9.69 uj,49.37,0.6602,0,5568 B
Utf8Json_Deser_D8,15,54851,"18,236.3 ns",161.38 ns,150.95 ns,626.35 uj,5.04 uj,20.52 uj,49.33,1.3309,0.0182,11136 B
Utf8Json_Deser_D15,15,30938,"32,437.0 ns",285.33 ns,266.89 ns,1117.20 uj,9.10 uj,36.67 uj,49.67,2.4888,0.0646,20880 B
Utf8Json_Deser_D25,15,17782,"56,413.4 ns",346.43 ns,324.05 ns,1936.38 uj,11.03 uj,63.51 uj,49.3,4.1053,0.2249,34800 B
Utf8Json_Deser_D40,15,10815,"86,201.0 ns",930.88 ns,870.75 ns,2959.97 uj,29.85 uj,97.39 uj,49.53,6.565,0.5548,55680 B
Utf8Json_Ser_D1,15,754524,"1,330.9 ns",11.67 ns,10.92 ns,45.68 uj,0.38 uj,1.50 uj,49.13,0.0755,0,640 B
Utf8Json_Ser_D2,15,371473,"2,707.5 ns",20.19 ns,18.89 ns,92.26 uj,0.70 uj,3.05 uj,48.93,0.1481,0,1248 B
Utf8Json_Ser_D4,15,185666,"5,396.0 ns",57.32 ns,53.62 ns,184.96 uj,1.79 uj,6.09 uj,49.17,0.2908,0,2464 B
Utf8Json_Ser_D8,15,77358,"13,088.9 ns",176.34 ns,164.95 ns,448.03 uj,5.96 uj,14.75 uj,48.53,0.5817,0,4904 B
Utf8Json_Ser_D15,15,31542,"31,771.1 ns",200.53 ns,187.58 ns,1060.43 uj,6.43 uj,35.63 uj,48.17,1.0779,0,9168 B
Utf8Json_Ser_D25,15,17300,"58,002.1 ns",407.05 ns,380.75 ns,1936.82 uj,12.82 uj,65.29 uj,47.97,1.7919,0,15256 B
Utf8Json_Ser_D40,15,10053,"99,826.6 ns",566.32 ns,529.73 ns,3331.42 uj,17.52 uj,112.22 uj,48.07,2.8847,0,24392 B
STJRefGen_Deser_D1,15,490496,"1,977.8 ns",7.40 ns,6.92 ns,68.03 uj,0.24 uj,2.22 uj,49.4,0.1651,0,1392 B
STJRefGen_Deser_D2,15,247712,"4,044.2 ns",19.92 ns,18.64 ns,139.02 uj,0.65 uj,4.63 uj,49.3,0.3875,0,3256 B
STJRefGen_Deser_D4,15,48768,"8,137.8 ns",124.49 ns,116.45 ns,279.51 uj,3.90 uj,9.24 uj,49.57,0.7177,0,6040 B
STJRefGen_Deser_D8,15,61952,"16,128.3 ns",108.19 ns,101.20 ns,555.50 uj,3.70 uj,18.35 uj,49.47,1.485,0.0484,12528 B
STJRefGen_Deser_D15,15,33264,"30,075.5 ns",175.54 ns,164.20 ns,1034.35 uj,5.33 uj,34.24 uj,49.67,2.8559,0.2104,24088 B
STJRefGen_Deser_D25,58,7344,"51,223.6 ns","1,012.54 ns","2,222.55 ns",1760.42 uj,75.70 uj,57.88 uj,49.67,4.902,0.5447,41616 B
STJRefGen_Deser_D40,15,12256,"82,029.0 ns",494.87 ns,462.90 ns,2821.68 uj,16.16 uj,92.87 uj,49.53,8.3225,1.4687,69688 B
STJRefGen_Ser_D1,15,1060176,942.2 ns,6.11 ns,5.71 ns,33.38 uj,0.20 uj,1.06 uj,50.3,0.0764,0,640 B
STJRefGen_Ser_D2,15,490384,"2,021.9 ns",11.70 ns,10.95 ns,70.65 uj,0.53 uj,2.31 uj,50.07,0.1856,0,1560 B
STJRefGen_Ser_D4,15,264208,"3,764.8 ns",28.59 ns,26.75 ns,131.49 uj,1.03 uj,4.26 uj,50.23,0.3293,0,2776 B
STJRefGen_Ser_D8,15,132752,"7,424.4 ns",50.55 ns,47.28 ns,260.74 uj,1.57 uj,8.42 uj,50.23,0.693,0,5816 B
STJRefGen_Ser_D15,15,69728,"14,288.4 ns",100.00 ns,93.54 ns,503.05 uj,3.51 uj,16.21 uj,50.33,1.3338,0,11256 B
STJRefGen_Ser_D25,15,43456,"23,007.2 ns",124.34 ns,116.31 ns,803.21 uj,3.89 uj,26.05 uj,50.13,2.3472,0,19672 B
STJRefGen_Ser_D40,15,19872,"50,249.9 ns",298.24 ns,278.98 ns,1735.22 uj,9.85 uj,56.82 uj,49.8,3.9754,0,33440 B
STJSrcGen_Deser_D1,15,501264,"1,994.6 ns",7.28 ns,6.81 ns,68.67 uj,0.31 uj,2.24 uj,49.7,0.1656,0,1392 B
STJSrcGen_Deser_D2,15,252128,"3,960.0 ns",24.61 ns,23.02 ns,136.11 uj,0.82 uj,4.49 uj,49.77,0.3887,0.004,3256 B
STJSrcGen_Deser_D4,15,122496,"8,154.5 ns",40.22 ns,37.62 ns,280.21 uj,1.30 uj,9.25 uj,49.27,0.7184,0.0082,6040 B
STJSrcGen_Deser_D8,15,63296,"15,841.3 ns",107.53 ns,100.58 ns,546.90 uj,3.74 uj,17.81 uj,49.4,1.4851,0.0474,12528 B
STJSrcGen_Deser_D15,15,32432,"30,711.8 ns",181.35 ns,169.64 ns,1055.05 uj,6.34 uj,34.57 uj,49.6,2.8675,0.2158,24088 B
STJSrcGen_Deser_D25,15,8400,"50,021.0 ns",639.24 ns,597.95 ns,1719.78 uj,23.60 uj,56.34 uj,49.57,4.881,0.5952,41616 B
STJSrcGen_Deser_D40,15,12288,"80,703.0 ns",377.09 ns,352.73 ns,2783.69 uj,17.24 uj,90.45 uj,49.4,8.3008,1.4648,69688 B
STJSrcGen_Ser_D1,15,1232704,810.0 ns,4.67 ns,4.36 ns,28.60 uj,0.14 uj,0.92 uj,50.1,0.0763,0,640 B
