LibA,LibB,comparison,Operation,DimLabel,Variant,delta,delta_abs,magnitude
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,D1,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,D1,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,D1,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,D1,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,D1,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,D1,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,D1,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,D1,All,0.8933333333333333,0.8933333333333333,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,D1,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,D1,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,D2,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,D2,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,D2,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,D2,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,D2,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,D2,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,D2,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,D2,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,D2,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,D2,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,D4,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,D4,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,D4,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,D4,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,D4,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,D4,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,D4,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,D4,All,0.5911111111111111,0.5911111111111111,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,D4,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,D4,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,D8,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,D8,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,D8,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,D8,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,D8,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,D8,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,D8,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,D8,All,-0.8844444444444445,0.8844444444444445,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,D8,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,D8,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,D15,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,D15,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,D15,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,D15,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,D15,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,D15,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,D15,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,D15,All,0.9733333333333334,0.9733333333333334,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,D15,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,D15,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,D25,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,D25,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,D25,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,D25,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,D25,All,-0.9310344827586207,0.9310344827586207,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,D25,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,D25,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,D25,All,-0.7563218390804598,0.7563218390804598,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,D25,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,D25,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,D40,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,D40,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,D40,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,D40,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,D40,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,D40,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,D40,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,D40,All,-0.8844444444444445,0.8844444444444445,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,D40,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,D40,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,D1,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,D1,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,D1,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,D1,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,D1,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,D1,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,D1,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,D1,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,D1,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,D1,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,D2,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,D2,All,-0.9822222222222222,0.9822222222222222,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,D2,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,D2,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,D2,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,D2,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,D2,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,D2,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,D2,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,D2,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,D4,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,D4,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,D4,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,D4,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,D4,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,D4,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,D4,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,D4,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,D4,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,D4,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,D8,All,-1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,D8,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,D8,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,D8,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,D8,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,D8,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,D8,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,D8,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,D8,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,D8,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,D15,All,-0.09333333333333334,0.09333333333333334,N
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,D15,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,D15,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,D15,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,D15,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,D15,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,D15,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,D15,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,D15,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,D15,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,D25,All,-1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,D25,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,D25,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,D25,All,-1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,D25,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,D25,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,D25,All,0.5733333333333334,0.5733333333333334,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,D25,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,D25,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,D25,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,D40,All,-1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,D40,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,D40,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,D40,All,-1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,D40,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,D40,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,D40,All,-1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,D40,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,D40,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,D40,All,1,1,L
