Variant,DimLabel,Operation,n_obs,n_libs,kw_chi,kw_df,kw_p,Dimension,significant
All,D1,Deserialize,75,5,70.35817692844036,4,1.907100685129402e-14,depth,TRUE
All,D1,Serialize,75,5,71.09409470672794,4,1.3334163696092578e-14,depth,TRUE
All,D2,Deserialize,75,5,71.06577318707582,4,1.3519088623858062e-14,depth,TRUE
All,D2,Serialize,75,5,70.93147452676298,4,1.443148453893555e-14,depth,TRUE
All,D4,Deserialize,75,5,68.74915685047137,4,4.16870866531333e-14,depth,TRUE
All,D4,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,depth,TRUE
All,D8,Deserialize,75,5,70.2840164070465,4,1.9771154703756803e-14,depth,TRUE
All,D8,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,depth,TRUE
All,D15,Deserialize,160,5,119.62230249973622,4,6.431766676846327e-25,depth,TRUE
All,D15,Serialize,75,5,67.5309473684211,4,7.53336918359516e-14,depth,TRUE
All,D25,Deserialize,118,5,94.44505919067772,4,1.4954295685450532e-19,depth,TRUE
All,D25,Serialize,75,5,68.66778947368425,4,4.3368108862785366e-14,depth,TRUE
All,D40,Deserialize,75,5,70.27901754385965,4,1.981926244781696e-14,depth,TRUE
All,D40,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,depth,TRUE
