Library,Variant,Operation,DimLabel,n,sw_stat,sw_p_value,normal,Dimension
SpanJson,All,Deserialize,D1,15,0.7483014176123215,8.588075403543065e-4,FALSE,depth
SpanJson,All,Deserialize,D2,15,0.5366534027069709,7.057100225995329e-6,FALSE,depth
SpanJson,All,Deserialize,D4,15,0.7137389389992727,3.499207038854316e-4,FALSE,depth
SpanJson,All,Deserialize,D8,15,0.6528438914066703,8.126671491518141e-5,FALSE,depth
SpanJson,All,Deserialize,D15,15,0.7334885612839943,5.805726493016695e-4,FALSE,depth
SpanJson,All,Deserialize,D25,15,0.6351082315805276,5.4498382262642525e-5,FALSE,depth
SpanJson,All,Deserialize,D40,15,0.6209621238911709,3.99226789737112e-5,FALSE,depth
SpanJson,All,Serialize,D1,15,0.5339249726298356,6.693277412632689e-6,FALSE,depth
SpanJson,All,Serialize,D2,15,0.7342687176228142,5.925159270180405e-4,FALSE,depth
SpanJson,All,Serialize,D4,15,0.8145476483299465,0.005685593655795409,FALSE,depth
SpanJson,All,Serialize,D8,15,0.47463709790411723,2.210798517477638e-6,FALSE,depth
SpanJson,All,Serialize,D15,15,0.46270791885084817,1.7853935630905691e-6,FALSE,depth
SpanJson,All,Serialize,D25,15,0.5640619457503662,1.2135051839912781e-5,FALSE,depth
SpanJson,All,Serialize,D40,15,0.5091104357820186,4.169687137115678e-6,FALSE,depth
Utf8Json,All,Deserialize,D1,15,0.4690798601160343,2.000572139516054e-6,FALSE,depth
Utf8Json,All,Deserialize,D2,15,0.7633288535455843,0.0012916676663319482,FALSE,depth
Utf8Json,All,Deserialize,D4,15,0.49135453831975096,2.9976493503194902e-6,FALSE,depth
Utf8Json,All,Deserialize,D8,15,0.48656486986904046,2.7455685522167285e-6,FALSE,depth
Utf8Json,All,Deserialize,D15,15,0.6992780211216698,2.4413563524730407e-4,FALSE,depth
Utf8Json,All,Deserialize,D25,15,0.6440670237293038,6.659754228776969e-5,FALSE,depth
Utf8Json,All,Deserialize,D40,15,0.398561835798814,5.929634575777959e-7,FALSE,depth
Utf8Json,All,Serialize,D1,15,0.5842367473704151,1.8315115816574037e-5,FALSE,depth
Utf8Json,All,Serialize,D2,15,0.6458185855872667,6.928189030456141e-5,FALSE,depth
Utf8Json,All,Serialize,D4,15,0.7271684913289289,4.927918422637951e-4,FALSE,depth
Utf8Json,All,Serialize,D8,15,0.8548185655611111,0.020334176328900142,FALSE,depth
Utf8Json,All,Serialize,D15,15,0.6467182551589883,7.070534220921156e-5,FALSE,depth
Utf8Json,All,Serialize,D25,15,0.6786317906698704,1.4819437924791284e-4,FALSE,depth
Utf8Json,All,Serialize,D40,15,0.7221707489523823,4.33433678320319e-4,FALSE,depth
STJRefGen,All,Deserialize,D1,15,0.6913046642696098,2.0092560726036652e-4,FALSE,depth
STJRefGen,All,Deserialize,D2,15,0.6313822046643687,5.0177516701222143e-5,FALSE,depth
STJRefGen,All,Deserialize,D4,15,0.6367832227809964,5.656857033552026e-5,FALSE,depth
STJRefGen,All,Deserialize,D8,15,0.674882475790034,1.3559209219187878e-4,FALSE,depth
STJRefGen,All,Deserialize,D15,15,0.7238313386057942,4.52261516444561e-4,FALSE,depth
STJRefGen,All,Deserialize,D25,58,0.2828481944919644,2.601830190185946e-15,FALSE,depth
STJRefGen,All,Deserialize,D40,15,0.7961794956936659,0.0032852427667440023,FALSE,depth
STJRefGen,All,Serialize,D1,15,0.692184491984384,2.0526528558814316e-4,FALSE,depth
STJRefGen,All,Serialize,D2,15,0.9063798622434405,0.11916479758088122,TRUE,depth
STJRefGen,All,Serialize,D4,15,0.7383340486912026,6.591463654591713e-4,FALSE,depth
STJRefGen,All,Serialize,D8,15,0.8334707982175031,0.0102187291876,FALSE,depth
STJRefGen,All,Serialize,D15,15,0.7194424650109406,4.042942534048442e-4,FALSE,depth
STJRefGen,All,Serialize,D25,15,0.8729999067611628,0.03735201622308246,FALSE,depth
STJRefGen,All,Serialize,D40,15,0.8696456762847836,0.03333927127401469,FALSE,depth
STJSrcGen,All,Deserialize,D1,15,0.6789878140864589,1.4945446159199838e-4,FALSE,depth
STJSrcGen,All,Deserialize,D2,15,0.6592204585692649,9.407093971613147e-5,FALSE,depth
STJSrcGen,All,Deserialize,D4,15,0.6414937569697257,6.285325288325327e-5,FALSE,depth
STJSrcGen,All,Deserialize,D8,15,0.7699142436430849,0.001550252010531607,FALSE,depth
STJSrcGen,All,Deserialize,D15,15,0.7620273149048039,0.0012462432826403143,FALSE,depth
STJSrcGen,All,Deserialize,D25,15,0.5526378045437275,9.6584387813029e-6,FALSE,depth
STJSrcGen,All,Deserialize,D40,15,0.756730918702021,0.0010782505321705336,FALSE,depth
STJSrcGen,All,Serialize,D1,15,0.7561964863989854,0.0010626950582241438,FALSE,depth
STJSrcGen,All,Serialize,D2,15,0.8901316079080137,0.06736727833072276,TRUE,depth
STJSrcGen,All,Serialize,D4,15,0.9390936151106613,0.3711099011282527,TRUE,depth
STJSrcGen,All,Serialize,D8,15,0.8348773753353546,0.010683321438068608,FALSE,depth
