Library,Variant,Operation,from_level,to_level,from_label,to_label,from_E,to_E,from_per_element,to_per_element,W_ratio,E_ratio
SpanJson,Integer,Deserialize,2,3,I2,I3,89.258,94.53666666666668,44.629,31.512222222222224,1.5,1.0591394235437348
SpanJson,Integer,Deserialize,3,5,I3,I5,94.53666666666668,105.37266666666666,31.512222222222224,21.07453333333333,1.6666666666666667,1.1146221924473747
SpanJson,Integer,Deserialize,5,7,I5,I7,105.37266666666666,115.56333333333333,21.07453333333333,16.509047619047617,1.4,1.0967107219456027
SpanJson,Integer,Deserialize,7,10,I7,I10,115.56333333333333,132.09133333333332,16.509047619047617,13.209133333333332,1.4285714285714286,1.1430211428076955
SpanJson,Integer,Serialize,2,3,I2,I3,44.29066666666667,51.24933333333333,22.145333333333333,17.083111111111112,1.5,1.1571136131013307
SpanJson,Integer,Serialize,3,5,I3,I5,51.24933333333333,66.72533333333332,17.083111111111112,13.345066666666664,1.6666666666666667,1.3019746598329733
SpanJson,Integer,Serialize,5,7,I5,I7,66.72533333333332,82.07333333333334,13.345066666666664,11.724761904761905,1.4,1.2300175845256176
SpanJson,Integer,Serialize,7,10,I7,I10,82.07333333333334,103.16266666666667,11.724761904761905,10.316266666666667,1.4285714285714286,1.2569571927544472
SpanJson,Float,Deserialize,2,3,F2,F3,219.93333333333334,231.27133333333333,109.96666666666667,77.09044444444444,1.5,1.0515519854501363
SpanJson,Float,Deserialize,3,5,F3,F5,231.27133333333333,255.092,77.09044444444444,51.0184,1.6666666666666667,1.102998786418262
SpanJson,Float,Deserialize,5,7,F5,F7,255.092,286.18666666666667,51.0184,40.883809523809525,1.4,1.1218958911556092
SpanJson,Float,Deserialize,7,10,F7,F10,286.18666666666667,324.462,40.883809523809525,32.4462,1.4285714285714286,1.1337425456578456
SpanJson,Float,Serialize,2,3,F2,F3,279.348,319.65866666666665,139.674,106.55288888888889,1.5,1.144302685777835
SpanJson,Float,Serialize,3,5,F3,F5,319.65866666666665,390.056,106.55288888888889,78.0112,1.6666666666666667,1.2202265750133476
SpanJson,Float,Serialize,5,7,F5,F7,390.056,431.16133333333335,78.0112,61.59447619047619,1.4,1.1053831586575604
SpanJson,Float,Serialize,7,10,F7,F10,431.16133333333335,486.75666666666666,61.59447619047619,48.675666666666665,1.4285714285714286,1.1289432262014838
Utf8Json,Integer,Deserialize,2,3,I2,I3,119.092,129.17266666666666,59.546,43.05755555555555,1.5,1.0846460439548136
Utf8Json,Integer,Deserialize,3,5,I3,I5,129.17266666666666,133.02266666666668,43.05755555555555,26.604533333333336,1.6666666666666667,1.029805067119463
Utf8Json,Integer,Deserialize,5,7,I5,I7,133.02266666666668,144.832,26.604533333333336,20.690285714285714,1.4,1.0887768500606412
Utf8Json,Integer,Deserialize,7,10,I7,I10,144.832,156.25733333333332,20.690285714285714,15.625733333333333,1.4285714285714286,1.078886802179997
Utf8Json,Integer,Serialize,2,3,I2,I3,60.16266666666667,72.33333333333333,30.081333333333333,24.11111111111111,1.5,1.2022959975178404
Utf8Json,Integer,Serialize,3,5,I3,I5,72.33333333333333,86.27333333333333,24.11111111111111,17.254666666666665,1.6666666666666667,1.1927188940092166
Utf8Json,Integer,Serialize,5,7,I5,I7,86.27333333333333,100.07133333333333,17.254666666666665,14.295904761904762,1.4,1.1599335445483347
Utf8Json,Integer,Serialize,7,10,I7,I10,100.07133333333333,124.17666666666666,14.295904761904762,12.417666666666666,1.4285714285714286,1.240881504526771
Utf8Json,Float,Deserialize,2,3,F2,F3,294.6653333333333,319.0046666666667,147.33266666666665,106.3348888888889,1.5,1.0825999212666122
Utf8Json,Float,Deserialize,3,5,F3,F5,319.0046666666667,356.37,106.3348888888889,71.274,1.6666666666666667,1.1171309928590385
Utf8Json,Float,Deserialize,5,7,F5,F7,356.37,423.55333333333334,71.274,60.50761904761905,1.4,1.1885212934122775
Utf8Json,Float,Deserialize,7,10,F7,F10,423.55333333333334,452.606,60.50761904761905,45.2606,1.4285714285714286,1.0685926998567674
Utf8Json,Float,Serialize,2,3,F2,F3,270.17133333333334,298.65999999999997,135.08566666666667,99.55333333333333,1.5,1.105446667176631
Utf8Json,Float,Serialize,3,5,F3,F5,298.65999999999997,350.3453333333333,99.55333333333333,70.06906666666666,1.6666666666666667,1.1730574343177305
Utf8Json,Float,Serialize,5,7,F5,F7,350.3453333333333,406.958,70.06906666666666,58.136857142857146,1.4,1.1615910396979743
Utf8Json,Float,Serialize,7,10,F7,F10,406.958,471.192,58.136857142857146,47.1192,1.4285714285714286,1.1578393839167678
STJRefGen,Integer,Deserialize,2,3,I2,I3,259.24733333333336,266.432,129.62366666666668,88.81066666666668,1.5,1.0277135605380705
STJRefGen,Integer,Deserialize,3,5,I3,I5,266.432,283.16533333333336,88.81066666666668,56.63306666666667,1.6666666666666667,1.0628052686364
STJRefGen,Integer,Deserialize,5,7,I5,I7,283.16533333333336,299.69,56.63306666666667,42.81285714285714,1.4,1.0583569551828378
STJRefGen,Integer,Deserialize,7,10,I7,I10,299.69,322.528,42.81285714285714,32.2528,1.4285714285714286,1.0762054122593347
STJRefGen,Integer,Serialize,2,3,I2,I3,109.766,110.41466666666666,54.883,36.80488888888889,1.5,1.0059095409021614
STJRefGen,Integer,Serialize,3,5,I3,I5,110.41466666666666,116.448,36.80488888888889,23.2896,1.6666666666666667,1.0546424991848908
STJRefGen,Integer,Serialize,5,7,I5,I7,116.448,120.61866666666667,23.2896,17.231238095238094,1.4,1.035815700283961
STJRefGen,Integer,Serialize,7,10,I7,I10,120.61866666666667,127.63333333333334,17.231238095238094,12.763333333333334,1.4285714285714286,1.058155730456314
STJRefGen,Float,Deserialize,2,3,F2,F3,407.00933333333336,415.1033333333333,203.50466666666668,138.36777777777777,1.5,1.0198865218488027
STJRefGen,Float,Deserialize,3,5,F3,F5,415.1033333333333,446.8993333333333,138.36777777777777,89.37986666666666,1.6666666666666667,1.0765977949265644
STJRefGen,Float,Deserialize,5,7,F5,F7,446.8993333333333,461.38466666666665,89.37986666666666,65.91209523809523,1.4,1.032412966976903
STJRefGen,Float,Deserialize,7,10,F7,F10,461.38466666666665,497.584,65.91209523809523,49.7584,1.4285714285714286,1.0784580328489461
STJRefGen,Float,Serialize,2,3,F2,F3,378.8666666666667,412.834,189.43333333333334,137.61133333333333,1.5,1.0896551117367588
STJRefGen,Float,Serialize,3,5,F3,F5,412.834,481.62666666666667,137.61133333333333,96.32533333333333,1.6666666666666667,1.1666351770122292
STJRefGen,Float,Serialize,5,7,F5,F7,481.62666666666667,493.8446666666667,96.32533333333333,70.5492380952381,1.4,1.0253681966668513
STJRefGen,Float,Serialize,7,10,F7,F10,493.8446666666667,551.113125,70.5492380952381,55.1113125,1.4285714285714286,1.1159645171828658
STJSrcGen,Integer,Deserialize,2,3,I2,I3,264.332,268.196,132.166,89.39866666666667,1.5,1.0146179804185647
STJSrcGen,Integer,Deserialize,3,5,I3,I5,268.196,276.254,89.39866666666667,55.250800000000005,1.6666666666666667,1.0300451908305865
STJSrcGen,Integer,Deserialize,5,7,I5,I7,276.254,295.13733333333334,55.250800000000005,42.16247619047619,1.4,1.0683549680125295
STJSrcGen,Integer,Deserialize,7,10,I7,I10,295.13733333333334,320.31733333333335,42.16247619047619,32.031733333333335,1.4285714285714286,1.0853162143725181
STJSrcGen,Integer,Serialize,2,3,I2,I3,63.108666666666664,69.95066666666666,31.554333333333332,23.316888888888887,1.5,1.1084161710488787
STJSrcGen,Integer,Serialize,3,5,I3,I5,69.95066666666666,72.684,23.316888888888887,14.5368,1.6666666666666667,1.03907515773021
STJSrcGen,Integer,Serialize,5,7,I5,I7,72.684,78.73466666666667,14.5368,11.247809523809524,1.4,1.0832461981545687
STJSrcGen,Integer,Serialize,7,10,I7,I10,78.73466666666667,83.59133333333334,11.247809523809524,8.359133333333334,1.4285714285714286,1.0616839680953751
STJSrcGen,Float,Deserialize,2,3,F2,F3,394.18733333333336,418.7473333333333,197.09366666666668,139.58244444444443,1.5,1.0623054013235669
STJSrcGen,Float,Deserialize,3,5,F3,F5,418.7473333333333,436.1426666666667,139.58244444444443,87.22853333333333,1.6666666666666667,1.0415413590693514
STJSrcGen,Float,Deserialize,5,7,F5,F7,436.1426666666667,449.206,87.22853333333333,64.17228571428572,1.4,1.0299519729018334
STJSrcGen,Float,Deserialize,7,10,F7,F10,449.206,496.1793333333333,64.17228571428572,49.61793333333333,1.4285714285714286,1.1045696925983475
STJSrcGen,Float,Serialize,2,3,F2,F3,290.55133333333333,318.37,145.27566666666667,106.12333333333333,1.5,1.095744412347101
STJSrcGen,Float,Serialize,3,5,F3,F5,318.37,392.9413333333333,106.12333333333333,78.58826666666667,1.6666666666666667,1.2342285181811519
STJSrcGen,Float,Serialize,5,7,F5,F7,392.9413333333333,421.61266666666666,78.58826666666667,60.23038095238095,1.4,1.0729659389357529
STJSrcGen,Float,Serialize,7,10,F7,F10,421.61266666666666,461.76733333333334,60.23038095238095,46.17673333333333,1.4285714285714286,1.0952406553250298
Newtonsoft,Integer,Deserialize,2,3,I2,I3,535.3586666666666,556.4726666666667,267.6793333333333,185.4908888888889,1.5,1.0394389804716588
Newtonsoft,Integer,Deserialize,3,5,I3,I5,556.4726666666667,581.1560000000001,185.4908888888889,116.23120000000002,1.6666666666666667,1.0443567758344525
Newtonsoft,Integer,Deserialize,5,7,I5,I7,581.1560000000001,626.1606666666667,116.23120000000002,89.4515238095238,1.4,1.0774399071276328
Newtonsoft,Integer,Deserialize,7,10,I7,I10,626.1606666666667,672.8186666666667,89.4515238095238,67.28186666666667,1.4285714285714286,1.07451442175118
Newtonsoft,Integer,Serialize,2,3,I2,I3,255.264,299.11133333333333,127.632,99.70377777777777,1.5,1.1717724917471062
Newtonsoft,Integer,Serialize,3,5,I3,I5,299.11133333333333,313.0253333333333,99.70377777777777,62.605066666666666,1.6666666666666667,1.0465177960491856
Newtonsoft,Integer,Serialize,5,7,I5,I7,313.0253333333333,341.806,62.605066666666666,48.82942857142857,1.4,1.0919435700624869
Newtonsoft,Integer,Serialize,7,10,I7,I10,341.806,369.8206666666667,48.82942857142857,36.98206666666667,1.4285714285714286,1.081960722359077
Newtonsoft,Float,Deserialize,2,3,F2,F3,783.6253333333333,809.988,391.81266666666664,269.99600000000004,1.5,1.0336419275197843
Newtonsoft,Float,Deserialize,3,5,F3,F5,809.988,884.0186666666667,269.99600000000004,176.80373333333335,1.6666666666666667,1.09139723880683
Newtonsoft,Float,Deserialize,5,7,F5,F7,884.0186666666667,924.294,176.80373333333335,132.042,1.4,1.0455593697870633
Newtonsoft,Float,Deserialize,7,10,F7,F10,924.294,1016.7446666666667,132.042,101.67446666666667,1.4285714285714286,1.100023008552113
Newtonsoft,Float,Serialize,2,3,F2,F3,605.9633333333334,627.1419999999999,302.9816666666667,209.0473333333333,1.5,1.0349504095407311
Newtonsoft,Float,Serialize,3,5,F3,F5,627.1419999999999,703.0873333333333,209.0473333333333,140.61746666666664,1.6666666666666667,1.1210975079540733
Newtonsoft,Float,Serialize,5,7,F5,F7,703.0873333333333,740.0466666666666,140.61746666666664,105.72095238095237,1.4,1.0525672012296243
Newtonsoft,Float,Serialize,7,10,F7,F10,740.0466666666666,795.768,105.72095238095237,79.5768,1.4285714285714286,1.0752943508067059
