Method,Iters,Ops,Mean,Error,StdDev,Pkg (μJ/op),StdDev (μJ/op),DRAM (μJ/op),Temp (°C),Gen0,Gen1,Allocated
SpanJson_Deser_F2,15,157872,6.360 μs,0.0484 μs,0.0453 μs,212.78 uj,1.63 uj,7.16 uj,49.47,0.1013,0,880 B
SpanJson_Deser_I2,15,398494,2.518 μs,0.0152 μs,0.0142 μs,86.43 uj,0.48 uj,2.82 uj,50.43,0.0602,0,520 B
SpanJson_Deser_F3,15,152672,6.565 μs,0.0409 μs,0.0382 μs,223.89 uj,1.37 uj,7.38 uj,50.07,0.1048,0,880 B
SpanJson_Deser_I3,15,376287,2.668 μs,0.0208 μs,0.0194 μs,91.55 uj,0.67 uj,2.99 uj,50.5,0.0611,0,520 B
SpanJson_Deser_F5,15,134736,7.226 μs,0.0488 μs,0.0457 μs,246.97 uj,1.47 uj,8.12 uj,49.9,0.1039,0,880 B
SpanJson_Deser_I5,15,337954,2.974 μs,0.0144 μs,0.0134 μs,102.04 uj,0.44 uj,3.33 uj,50.3,0.0621,0,520 B
SpanJson_Deser_F7,15,121072,8.242 μs,0.0707 μs,0.0662 μs,276.94 uj,2.20 uj,9.25 uj,49.8,0.0991,0,880 B
SpanJson_Deser_I7,15,308010,3.260 μs,0.0301 μs,0.0282 μs,111.90 uj,0.93 uj,3.67 uj,50.47,0.0617,0,520 B
SpanJson_Deser_F10,15,106048,9.398 μs,0.0648 μs,0.0606 μs,313.90 uj,2.01 uj,10.56 uj,48.67,0.1037,0,880 B
SpanJson_Deser_I10,15,269063,3.728 μs,0.0154 μs,0.0144 μs,127.91 uj,0.47 uj,4.18 uj,50.43,0.0595,0,520 B
SpanJson_Ser_F2,15,125264,8.035 μs,0.1171 μs,0.1095 μs,270.30 uj,4.06 uj,9.05 uj,49.97,0.1437,0,1256 B
SpanJson_Ser_I2,15,804671,1.247 μs,0.0077 μs,0.0072 μs,42.89 uj,0.30 uj,1.40 uj,50.77,0.1379,0,1160 B
SpanJson_Ser_F3,15,109328,9.226 μs,0.0690 μs,0.0646 μs,309.28 uj,2.26 uj,10.38 uj,49.63,0.1555,0,1352 B
SpanJson_Ser_I3,15,696337,1.443 μs,0.0180 μs,0.0168 μs,49.62 uj,0.57 uj,1.63 uj,50.97,0.1494,0,1256 B
SpanJson_Ser_F5,15,88928,11.301 μs,0.1445 μs,0.1352 μs,377.34 uj,4.68 uj,12.71 uj,49.37,0.1799,0,1544 B
SpanJson_Ser_I5,15,533219,1.881 μs,0.0137 μs,0.0128 μs,64.61 uj,0.44 uj,2.11 uj,50.77,0.1725,0,1448 B
SpanJson_Ser_F7,15,77776,12.453 μs,0.0956 μs,0.0894 μs,417.16 uj,3.17 uj,14.00 uj,49.97,0.2057,0,1736 B
SpanJson_Ser_I7,15,434323,2.313 μs,0.0151 μs,0.0142 μs,79.46 uj,0.46 uj,2.62 uj,50.73,0.1957,0,1640 B
