LibA,LibB,comparison,Operation,DimLabel,Variant,delta,delta_abs,magnitude
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,I2,Integer,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,I2,Integer,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,I2,Integer,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,I2,Integer,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,I2,Integer,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,I2,Integer,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,I2,Integer,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,I2,Integer,0.9155555555555556,0.9155555555555556,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,I2,Integer,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,I2,Integer,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,I3,Integer,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,I3,Integer,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,I3,Integer,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,I3,Integer,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,I3,Integer,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,I3,Integer,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,I3,Integer,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,I3,Integer,0.7866666666666666,0.7866666666666666,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,I3,Integer,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,I3,Integer,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,I5,Integer,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,I5,Integer,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,I5,Integer,1,1,L
