Variant,DimLabel,Operation,n_obs,n_libs,kw_chi,kw_df,kw_p,Dimension,significant
Integer,I2,Deserialize,75,5,70.48799165362546,4,1.7904539845012042e-14,numeric,TRUE
Integer,I2,Serialize,75,5,71.06779540442481,4,1.3505800049544592e-14,numeric,TRUE
Integer,I3,Deserialize,75,5,69.70844216816043,4,2.6154378487518228e-14,numeric,TRUE
Integer,I3,Serialize,75,5,70.57236045315086,4,1.7184934985901605e-14,numeric,TRUE
Integer,I5,Deserialize,75,5,71.06274007682455,4,1.3539044564541043e-14,numeric,TRUE
Integer,I5,Serialize,75,5,71.06274007682455,4,1.3539044564541043e-14,numeric,TRUE
Integer,I7,Deserialize,75,5,70.28701606631385,4,1.9742342804853578e-14,numeric,TRUE
Integer,I7,Serialize,75,5,71.05768546838321,4,1.3572366099162224e-14,numeric,TRUE
Integer,I10,Deserialize,75,5,69.24058861746983,4,3.283180225058067e-14,numeric,TRUE
Integer,I10,Serialize,75,5,71.06172909760848,4,1.3545702704558255e-14,numeric,TRUE
Float,F2,Deserialize,75,5,71.05364229932144,4,1.3599078893157954e-14,numeric,TRUE
Float,F2,Serialize,75,5,70.39386231945907,4,1.8742985501345768e-14,numeric,TRUE
Float,F3,Deserialize,75,5,69.05992963289613,4,3.584442329232277e-14,numeric,TRUE
Float,F3,Serialize,75,5,68.007984940516,4,5.975459252585983e-14,numeric,TRUE
Float,F5,Deserialize,75,5,71.05667463298052,4,1.3579039663125745e-14,numeric,TRUE
Float,F5,Serialize,75,5,68.52938822346769,4,4.638446419622402e-14,numeric,TRUE
Float,F7,Deserialize,75,5,71.0556638263368,4,1.3585716315887764e-14,numeric,TRUE
Float,F7,Serialize,75,5,70.68158980340831,4,1.6296044830777932e-14,numeric,TRUE
Float,F10,Deserialize,75,5,67.70290114850958,4,6.929831424013127e-14,numeric,TRUE
Float,F10,Serialize,76,5,71.88617597200195,4,9.070859066728898e-15,numeric,TRUE
