Library,Variant,Operation,DimLabel,n,sw_stat,sw_p_value,normal,Dimension
SpanJson,Integer,Deserialize,I2,15,0.6933167395928628,2.10997827323472e-4,FALSE,numeric
SpanJson,Integer,Deserialize,I3,15,0.5612856695905442,1.1476618089574072e-5,FALSE,numeric
SpanJson,Integer,Deserialize,I5,15,0.7307839350996614,5.411190335702297e-4,FALSE,numeric
SpanJson,Integer,Deserialize,I7,15,0.5544709609147439,1.0016485676362145e-5,FALSE,numeric
SpanJson,Integer,Deserialize,I10,15,0.8204099573326912,0.006802028629664937,FALSE,numeric
SpanJson,Integer,Serialize,I2,15,0.6266046297832912,4.516453492607458e-5,FALSE,numeric
SpanJson,Integer,Serialize,I3,15,0.45826902204197784,1.6501208018334788e-6,FALSE,numeric
SpanJson,Integer,Serialize,I5,15,0.6044155642477053,2.796326020285693e-5,FALSE,numeric
SpanJson,Integer,Serialize,I7,15,0.7004447962498455,2.5124917535980257e-4,FALSE,numeric
SpanJson,Integer,Serialize,I10,15,0.5445977010521239,8.241590205720752e-6,FALSE,numeric
SpanJson,Float,Deserialize,F2,15,0.7130815076299694,3.4417439595725764e-4,FALSE,numeric
SpanJson,Float,Deserialize,F3,15,0.7444829283147434,7.755819549971012e-4,FALSE,numeric
SpanJson,Float,Deserialize,F5,15,0.7190924383637898,4.007099762089888e-4,FALSE,numeric
SpanJson,Float,Deserialize,F7,15,0.7357682133296214,6.162146673900018e-4,FALSE,numeric
SpanJson,Float,Deserialize,F10,15,0.6190437935011432,3.8291644843085934e-5,FALSE,numeric
SpanJson,Float,Serialize,F2,15,0.8025770120799929,0.003967882264319937,FALSE,numeric
SpanJson,Float,Serialize,F3,15,0.8448437559743295,0.01469129943224188,FALSE,numeric
SpanJson,Float,Serialize,F5,15,0.7163707113038003,3.739707518114822e-4,FALSE,numeric
SpanJson,Float,Serialize,F7,15,0.570234585151026,1.374760463435572e-5,FALSE,numeric
SpanJson,Float,Serialize,F10,15,0.575945339055014,1.544383167818276e-5,FALSE,numeric
Utf8Json,Integer,Deserialize,I2,15,0.6749794352728722,1.3590317495379623e-4,FALSE,numeric
Utf8Json,Integer,Deserialize,I3,15,0.832829374700893,0.010014037628256438,FALSE,numeric
Utf8Json,Integer,Deserialize,I5,15,0.8897642726363736,0.06651097554502795,TRUE,numeric
Utf8Json,Integer,Deserialize,I7,15,0.5924791006959544,2.1739938174671898e-5,FALSE,numeric
Utf8Json,Integer,Deserialize,I10,15,0.5654858563342158,1.2488262162950514e-5,FALSE,numeric
Utf8Json,Integer,Serialize,I2,15,0.6002069856206287,2.5575988487795735e-5,FALSE,numeric
Utf8Json,Integer,Serialize,I3,15,0.8907206413915649,0.06876426213240122,TRUE,numeric
Utf8Json,Integer,Serialize,I5,15,0.9000192402024576,0.09523747677037554,TRUE,numeric
Utf8Json,Integer,Serialize,I7,15,0.6322688183979732,5.117143986783464e-5,FALSE,numeric
Utf8Json,Integer,Serialize,I10,15,0.7906131003442479,0.002792909488879099,FALSE,numeric
Utf8Json,Float,Deserialize,F2,15,0.8872997481132616,0.061049781821720966,TRUE,numeric
Utf8Json,Float,Deserialize,F3,15,0.6979625463516561,2.3637257752578896e-4,FALSE,numeric
Utf8Json,Float,Deserialize,F5,15,0.7020840997471887,2.616199429080418e-4,FALSE,numeric
Utf8Json,Float,Deserialize,F7,15,0.8613349689888748,0.025228436352262684,FALSE,numeric
Utf8Json,Float,Deserialize,F10,15,0.8942467239189762,0.07777626006144396,TRUE,numeric
Utf8Json,Float,Serialize,F2,15,0.8808160414142014,0.04879511453150429,FALSE,numeric
Utf8Json,Float,Serialize,F3,15,0.7818723882049354,0.0021720040109264064,FALSE,numeric
Utf8Json,Float,Serialize,F5,15,0.8408163534161752,0.012907051654663894,FALSE,numeric
