Library,Variant,Operation,from_level,to_level,from_label,to_label,from_E,to_E,from_per_element,to_per_element,W_ratio,E_ratio
SpanJson,All,Deserialize,25,50,R25,R50,260.878,259.9986666666667,10.43512,5.199973333333333,2,0.99662933120718
SpanJson,All,Deserialize,50,75,R50,R75,259.9986666666667,261.7726666666667,5.199973333333333,3.490302222222222,1.5,1.0068231119133944
SpanJson,All,Deserialize,75,95,R75,R95,261.7726666666667,261.05066666666664,3.490302222222222,2.7479017543859645,1.2666666666666666,0.9972418816326634
SpanJson,All,Serialize,25,50,R25,R50,212.89066666666668,210.75133333333332,8.515626666666668,4.215026666666667,2,0.9899510233734999
SpanJson,All,Serialize,50,75,R50,R75,210.75133333333332,203.58533333333332,4.215026666666667,2.714471111111111,1.5,0.9659978426391925
SpanJson,All,Serialize,75,95,R75,R95,203.58533333333332,199.34466666666668,2.714471111111111,2.0983649122807018,1.2666666666666666,0.9791700777397194
Utf8Json,All,Deserialize,25,50,R25,R50,394.9293333333333,405.646,15.797173333333333,8.11292,2,1.02713565633683
Utf8Json,All,Deserialize,50,75,R50,R75,405.646,371.1053333333333,8.11292,4.948071111111111,1.5,0.9148502224435426
Utf8Json,All,Deserialize,75,95,R75,R95,371.1053333333333,398.0586666666667,4.948071111111111,4.190091228070176,1.2666666666666666,1.0726298732794644
Utf8Json,All,Serialize,25,50,R25,R50,239.05933333333334,238.71066666666667,9.562373333333333,4.774213333333333,2,0.9985415057349779
Utf8Json,All,Serialize,50,75,R50,R75,238.71066666666667,233.118,4.774213333333333,3.10824,1.5,0.9765713583529293
Utf8Json,All,Serialize,75,95,R75,R95,233.118,229.84,3.10824,2.419368421052632,1.2666666666666666,0.985938451771206
STJRefGen,All,Deserialize,25,50,R25,R50,357.9433333333333,358.95799999999997,14.317733333333333,7.1791599999999995,2,1.0028347131296387
STJRefGen,All,Deserialize,50,75,R50,R75,358.95799999999997,362.842,7.1791599999999995,4.837893333333333,1.5,1.010820207378022
STJRefGen,All,Deserialize,75,95,R75,R95,362.842,356.8066666666667,4.837893333333333,3.755859649122807,1.2666666666666666,0.9833664974470063
STJRefGen,All,Serialize,25,50,R25,R50,176.72733333333332,177.85333333333332,7.069093333333333,3.5570666666666666,2,1.0063713969919763
STJRefGen,All,Serialize,50,75,R50,R75,177.85333333333332,170.326,3.5570666666666666,2.2710133333333333,1.5,0.9576767373866107
STJRefGen,All,Serialize,75,95,R75,R95,170.326,177.36533333333333,2.2710133333333333,1.8670035087719297,1.2666666666666666,1.0413285894891757
STJSrcGen,All,Deserialize,25,50,R25,R50,345.2,350.1286666666667,13.808,7.002573333333333,2,1.0142777134028582
STJSrcGen,All,Deserialize,50,75,R50,R75,350.1286666666667,350.85200000000003,7.002573333333333,4.678026666666667,1.5,1.0020659071998295
STJSrcGen,All,Deserialize,75,95,R75,R95,350.85200000000003,352.604,4.678026666666667,3.7116210526315787,1.2666666666666666,1.004993558537503
STJSrcGen,All,Serialize,25,50,R25,R50,130.67,130.868,5.2268,2.6173599999999997,2,1.0015152674676666
STJSrcGen,All,Serialize,50,75,R50,R75,130.868,128.312,2.6173599999999997,1.7108266666666667,1.5,0.9804688693951158
STJSrcGen,All,Serialize,75,95,R75,R95,128.312,129.056,1.7108266666666667,1.358484210526316,1.2666666666666666,1.005798366481701
Newtonsoft,All,Deserialize,25,50,R25,R50,666.1806666666666,704.9073333333333,26.647226666666665,14.098146666666667,2,1.0581323785039294
Newtonsoft,All,Deserialize,50,75,R50,R75,704.9073333333333,735.6853333333333,14.098146666666667,9.809137777777778,1.5,1.0436624766754212
Newtonsoft,All,Deserialize,75,95,R75,R95,735.6853333333333,706.7313333333334,9.809137777777778,7.439277192982456,1.2666666666666666,0.9606434997571426
Newtonsoft,All,Serialize,25,50,R25,R50,411.376,413.49133333333333,16.45504,8.269826666666667,2,1.0051420922303036
Newtonsoft,All,Serialize,50,75,R50,R75,413.49133333333333,414.682,8.269826666666667,5.529093333333334,1.5,1.002879544432209
Newtonsoft,All,Serialize,75,95,R75,R95,414.682,418.32733333333334,5.529093333333334,4.403445614035088,1.2666666666666666,1.0087906717275728
