Method,Iters,Ops,Mean,Error,StdDev,Pkg (μJ/op),StdDev (μJ/op),DRAM (μJ/op),Temp (°C),Gen0,Gen1,Allocated
SpanJson_Deser_R0,15,137085,7.315 μs,0.0317 μs,0.0297 μs,251.00 uj,1.27 uj,8.23 uj,49.63,0.8316,0.0146,6.8 KB
SpanJson_Deser_R25,15,136337,7.361 μs,0.0365 μs,0.0341 μs,252.54 uj,1.16 uj,8.33 uj,49.53,0.8288,0.0147,6.8 KB
SpanJson_Deser_R50,15,136232,7.364 μs,0.0402 μs,0.0376 μs,251.69 uj,1.22 uj,8.31 uj,49.6,0.8295,0.0147,6.8 KB
SpanJson_Deser_R75,15,135957,7.387 μs,0.0490 μs,0.0458 μs,253.37 uj,1.54 uj,8.40 uj,49.53,0.8311,0.0147,6.8 KB
SpanJson_Deser_R95,15,136108,7.366 μs,0.0356 μs,0.0333 μs,252.74 uj,1.09 uj,8.31 uj,49.57,0.8302,0.0147,6.8 KB
SpanJson_Ser_R0,15,164267,6.115 μs,0.1060 μs,0.0992 μs,209.91 uj,3.35 uj,6.87 uj,49.7,0.3653,0,2.99 KB
SpanJson_Ser_R25,15,166622,6.007 μs,0.1057 μs,0.0989 μs,206.13 uj,3.34 uj,6.76 uj,50,0.3661,0,2.99 KB
SpanJson_Ser_R50,15,162025,5.947 μs,0.0636 μs,0.0595 μs,204.05 uj,2.04 uj,6.70 uj,50.27,0.3641,0,2.99 KB
SpanJson_Ser_R75,15,167674,5.742 μs,0.0625 μs,0.0585 μs,197.12 uj,2.03 uj,6.46 uj,50.03,0.3638,0,2.99 KB
SpanJson_Ser_R95,15,178309,5.625 μs,0.0259 μs,0.0243 μs,193.01 uj,0.80 uj,6.34 uj,49.87,0.3645,0,2.99 KB
Utf8Json_Deser_R0,15,88774,11.291 μs,0.0509 μs,0.0476 μs,387.68 uj,1.70 uj,12.67 uj,50.03,0.8223,0,6.8 KB
Utf8Json_Deser_R25,15,89978,11.140 μs,0.1046 μs,0.0978 μs,382.44 uj,3.46 uj,12.49 uj,49.7,0.8224,0,6.8 KB
Utf8Json_Deser_R50,15,87818,11.447 μs,0.0720 μs,0.0674 μs,392.77 uj,2.30 uj,12.88 uj,50.1,0.8313,0,6.8 KB
Utf8Json_Deser_R75,15,93006,10.448 μs,0.0927 μs,0.0867 μs,359.32 uj,2.83 uj,11.79 uj,50.1,0.8279,0.0108,6.8 KB
Utf8Json_Deser_R95,15,89297,11.230 μs,0.0529 μs,0.0495 μs,385.40 uj,1.68 uj,12.66 uj,50.03,0.8287,0,6.8 KB
Utf8Json_Ser_R0,15,142805,6.803 μs,0.0684 μs,0.0640 μs,233.39 uj,2.19 uj,7.62 uj,49.47,0.3641,0,3.01 KB
Utf8Json_Ser_R25,15,148332,6.758 μs,0.0378 μs,0.0354 μs,231.47 uj,1.27 uj,7.59 uj,49.57,0.364,0,3.01 KB
Utf8Json_Ser_R50,15,148451,6.757 μs,0.0504 μs,0.0471 μs,231.13 uj,1.84 uj,7.58 uj,49.63,0.3638,0,3.01 KB
Utf8Json_Ser_R75,15,148367,6.578 μs,0.0493 μs,0.0462 μs,225.74 uj,1.60 uj,7.38 uj,50.03,0.364,0,3.01 KB
Utf8Json_Ser_R95,15,153108,6.553 μs,0.0445 μs,0.0416 μs,222.47 uj,1.69 uj,7.37 uj,49.53,0.3658,0,3.01 KB
STJRefGen_Deser_R0,15,100624,9.933 μs,0.0550 μs,0.0515 μs,341.26 uj,1.65 uj,11.27 uj,49.83,0.8845,0.0199,7.26 KB
STJRefGen_Deser_R25,15,99360,10.080 μs,0.0583 μs,0.0545 μs,346.50 uj,1.80 uj,11.45 uj,49.9,0.8857,0.0201,7.26 KB
STJRefGen_Deser_R50,15,98672,10.116 μs,0.0611 μs,0.0572 μs,347.43 uj,2.04 uj,11.53 uj,49.9,0.8817,0.0203,7.26 KB
STJRefGen_Deser_R75,15,98064,10.226 μs,0.0577 μs,0.0539 μs,351.16 uj,1.80 uj,11.68 uj,49.9,0.8872,0.0204,7.26 KB
STJRefGen_Deser_R95,15,99952,10.044 μs,0.0725 μs,0.0678 μs,345.41 uj,2.24 uj,11.40 uj,49.93,0.8804,0.02,7.26 KB
STJRefGen_Ser_R0,15,199520,4.991 μs,0.0369 μs,0.0345 μs,174.94 uj,1.18 uj,5.66 uj,50.37,0.401,0,3.31 KB
STJRefGen_Ser_R25,15,205056,4.865 μs,0.0317 μs,0.0296 μs,171.18 uj,0.97 uj,5.55 uj,50.53,0.4048,0,3.31 KB
STJRefGen_Ser_R50,15,201408,4.935 μs,0.0282 μs,0.0263 μs,172.31 uj,1.18 uj,5.54 uj,50.5,0.4022,0,3.31 KB
STJRefGen_Ser_R75,15,209024,4.729 μs,0.0302 μs,0.0282 μs,165.01 uj,1.21 uj,5.31 uj,50.63,0.4019,0,3.31 KB
STJRefGen_Ser_R95,15,202272,4.890 μs,0.0284 μs,0.0266 μs,171.81 uj,1.16 uj,5.56 uj,50.7,0.4054,0,3.31 KB
