LibA,LibB,comparison,Operation,DimLabel,Variant,delta,delta_abs,magnitude
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,R0,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,R0,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,R0,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,R0,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,R0,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,R0,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,R0,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,R0,All,0.5733333333333334,0.5733333333333334,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,R0,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,R0,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,R25,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,R25,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,R25,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,R25,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,R25,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,R25,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,R25,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,R25,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,R25,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,R25,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,R50,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,R50,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,R50,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,R50,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,R50,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,R50,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,R50,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,R50,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,R50,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,R50,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,R75,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,R75,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,R75,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,R75,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,R75,All,-0.9911111111111112,0.9911111111111112,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,R75,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,R75,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,R75,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,R75,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,R75,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,R95,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,R95,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,R95,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,R95,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,R95,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,R95,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,R95,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,R95,All,-0.7777777777777778,0.7777777777777778,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,R95,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,R95,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,R0,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,R0,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,R0,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,R0,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,R0,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,R0,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,R0,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,R0,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,R0,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,R0,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,R25,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,R25,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,R25,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,R25,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,R25,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,R25,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,R25,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,R25,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,R25,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,R25,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,R50,All,1,1,L
