Variant,DimLabel,Operation,n_obs,n_libs,kw_chi,kw_df,kw_p,Dimension,significant
All,R0,Deserialize,75,5,68.66974309368692,4,4.3326964889911015e-14,redundancy_deprecated,TRUE
All,R0,Serialize,75,5,71.05364229932144,4,1.3599078893157954e-14,redundancy_deprecated,TRUE
All,R25,Deserialize,75,5,71.05465304845086,4,1.3592396058785693e-14,redundancy_deprecated,TRUE
All,R25,Serialize,75,5,71.05465304845086,4,1.3592396058785693e-14,redundancy_deprecated,TRUE
All,R50,Deserialize,75,5,71.0597072254705,4,1.3559028232282445e-14,redundancy_deprecated,TRUE
All,R50,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,redundancy_deprecated,TRUE
All,R75,Deserialize,75,5,70.99783379806145,4,1.3973212194620229e-14,redundancy_deprecated,TRUE
All,R75,Serialize,75,5,71.05465304845086,4,1.3592396058785693e-14,redundancy_deprecated,TRUE
All,R95,Deserialize,75,5,69.65110434625925,4,2.6893526536426178e-14,redundancy_deprecated,TRUE
All,R95,Serialize,75,5,71.05667463298052,4,1.3579039663125745e-14,redundancy_deprecated,TRUE
