Library,Variant,Operation,DimLabel,n,sw_stat,sw_p_value,normal,Dimension
SpanJson,All,Deserialize,R0,15,0.6625218398728694,1.0153152576489087e-4,FALSE,redundancy_deprecated
SpanJson,All,Deserialize,R25,15,0.6478270779680375,7.250278094101112e-5,FALSE,redundancy_deprecated
SpanJson,All,Deserialize,R50,15,0.8010530677194425,0.003792576312045058,FALSE,redundancy_deprecated
SpanJson,All,Deserialize,R75,15,0.5184610692895324,4.9752958466375736e-6,FALSE,redundancy_deprecated
SpanJson,All,Deserialize,R95,15,0.6417918021209694,6.327519366495439e-5,FALSE,redundancy_deprecated
SpanJson,All,Serialize,R0,15,0.7928226430571689,0.0029782019287154854,FALSE,redundancy_deprecated
SpanJson,All,Serialize,R25,15,0.5853626670370419,1.874692700723668e-5,FALSE,redundancy_deprecated
SpanJson,All,Serialize,R50,15,0.584806418626018,1.8532254974457077e-5,FALSE,redundancy_deprecated
SpanJson,All,Serialize,R75,15,0.7278491288836533,5.015249998862017e-4,FALSE,redundancy_deprecated
SpanJson,All,Serialize,R95,15,0.6970447239318861,2.311125428095958e-4,FALSE,redundancy_deprecated
Utf8Json,All,Deserialize,R0,15,0.7008377845395634,2.536946921729689e-4,FALSE,redundancy_deprecated
Utf8Json,All,Deserialize,R25,15,0.5729673084175888,1.453308351566067e-5,FALSE,redundancy_deprecated
Utf8Json,All,Deserialize,R50,15,0.7163147784787238,3.7344164748021643e-4,FALSE,redundancy_deprecated
Utf8Json,All,Deserialize,R75,15,0.7315787190540737,5.524069496791146e-4,FALSE,redundancy_deprecated
Utf8Json,All,Deserialize,R95,15,0.6314471073860923,5.0249571596345884e-5,FALSE,redundancy_deprecated
Utf8Json,All,Serialize,R0,15,0.8242953070280015,0.00766909212477248,FALSE,redundancy_deprecated
Utf8Json,All,Serialize,R25,15,0.9508600399565734,0.5380980173731589,TRUE,redundancy_deprecated
Utf8Json,All,Serialize,R50,15,0.7864547621045995,0.0024767238531629406,FALSE,redundancy_deprecated
Utf8Json,All,Serialize,R75,15,0.7567172891204962,0.001077850814737388,FALSE,redundancy_deprecated
Utf8Json,All,Serialize,R95,15,0.806399989208816,0.00444680788687495,FALSE,redundancy_deprecated
STJRefGen,All,Deserialize,R0,15,0.6672262556175088,1.1327355521908268e-4,FALSE,redundancy_deprecated
STJRefGen,All,Deserialize,R25,15,0.5672308311982632,1.2936115629610573e-5,FALSE,redundancy_deprecated
STJRefGen,All,Deserialize,R50,15,0.6249482091019343,4.355354451329236e-5,FALSE,redundancy_deprecated
STJRefGen,All,Deserialize,R75,15,0.6100875020825984,3.156337192798612e-5,FALSE,redundancy_deprecated
STJRefGen,All,Deserialize,R95,15,0.6000106784640455,2.5470077665484522e-5,FALSE,redundancy_deprecated
STJRefGen,All,Serialize,R0,15,0.7756979299345814,0.0018231493755871274,FALSE,redundancy_deprecated
STJRefGen,All,Serialize,R25,15,0.8388488444030279,0.012120360141045911,FALSE,redundancy_deprecated
STJRefGen,All,Serialize,R50,15,0.7439575644097027,7.64823176972701e-4,FALSE,redundancy_deprecated
STJRefGen,All,Serialize,R75,15,0.8851891092623746,0.05674292428931558,TRUE,redundancy_deprecated
STJRefGen,All,Serialize,R95,15,0.7934607525997959,0.003034122633909593,FALSE,redundancy_deprecated
STJSrcGen,All,Deserialize,R0,15,0.6586167207556661,9.277103038711329e-5,FALSE,redundancy_deprecated
STJSrcGen,All,Deserialize,R25,15,0.5860870818619935,1.9030480704173372e-5,FALSE,redundancy_deprecated
STJSrcGen,All,Deserialize,R50,15,0.6316182477804968,5.044010112712535e-5,FALSE,redundancy_deprecated
STJSrcGen,All,Deserialize,R75,15,0.7820679675240336,0.0021841572212274846,FALSE,redundancy_deprecated
STJSrcGen,All,Deserialize,R95,15,0.6656842028235106,1.092725145344384e-4,FALSE,redundancy_deprecated
STJSrcGen,All,Serialize,R0,15,0.9367727716590186,0.3435190626179254,TRUE,redundancy_deprecated
STJSrcGen,All,Serialize,R25,15,0.8416454671297862,0.013254631788604164,FALSE,redundancy_deprecated
STJSrcGen,All,Serialize,R50,15,0.6907406503374646,1.9819525598726065e-4,FALSE,redundancy_deprecated
STJSrcGen,All,Serialize,R75,15,0.8667309401291987,0.03021996760274203,FALSE,redundancy_deprecated
STJSrcGen,All,Serialize,R95,15,0.7174401491496347,3.842427645351308e-4,FALSE,redundancy_deprecated
Newtonsoft,All,Deserialize,R0,15,0.6830333632689138,1.6460434793795235e-4,FALSE,redundancy_deprecated
Newtonsoft,All,Deserialize,R25,15,0.682544104732536,1.6268800705794198e-4,FALSE,redundancy_deprecated
Newtonsoft,All,Deserialize,R50,15,0.6933284281426113,2.1105789004695314e-4,FALSE,redundancy_deprecated
Newtonsoft,All,Deserialize,R75,15,0.884872338374973,0.056124306115754995,TRUE,redundancy_deprecated
Newtonsoft,All,Deserialize,R95,15,0.7124235714048256,3.385244531565916e-4,FALSE,redundancy_deprecated
Newtonsoft,All,Serialize,R0,15,0.7040749681920522,2.748332673034608e-4,FALSE,redundancy_deprecated
Newtonsoft,All,Serialize,R25,15,0.7112198675565983,3.2844256719552343e-4,FALSE,redundancy_deprecated
Newtonsoft,All,Serialize,R50,15,0.6617655491095166,9.976835771491442e-5,FALSE,redundancy_deprecated
Newtonsoft,All,Serialize,R75,15,0.6446287102046391,6.744605854282001e-5,FALSE,redundancy_deprecated
Newtonsoft,All,Serialize,R95,15,0.6832325832262016,1.6539154935678673e-4,FALSE,redundancy_deprecated
