Library,Variant,Operation,from_level,to_level,from_label,to_label,from_E,to_E,from_per_element,to_per_element,W_ratio,E_ratio
SpanJson,All,Deserialize,10,100,C10,C100,2728.095333333333,28161.810666666668,272.8095333333333,281.6181066666667,10,10.322883633343215
SpanJson,All,Deserialize,100,1000,C100,C1K,28161.810666666668,345678.260625,281.6181066666667,345.678260625,10,12.274717159225746
SpanJson,All,Deserialize,1000,10000,C1K,C10K,345678.260625,4368221.083333333,345.678260625,436.8221083333333,10,12.636667042455652
SpanJson,All,Deserialize,10000,100000,C10K,C100K,4368221.083333333,50971300.81,436.8221083333333,509.7130081,10,11.66866324703155
SpanJson,All,Serialize,10,100,C10,C100,5018.678666666667,46635.64466666667,501.86786666666666,466.35644666666667,10,9.292414949060962
SpanJson,All,Serialize,100,1000,C100,C1K,46635.64466666667,533536.616,466.35644666666667,533.5366160000001,10,11.440532661519121
SpanJson,All,Serialize,1000,10000,C1K,C10K,533536.616,4978839.566666666,533.5366160000001,497.8839566666666,10,9.33176733772039
SpanJson,All,Serialize,10000,100000,C10K,C100K,4978839.566666666,56050523.86666667,497.8839566666666,560.5052386666666,10,11.257748540829665
Utf8Json,All,Deserialize,10,100,C10,C100,4105.418,41325.776,410.54179999999997,413.25775999999996,10,10.066155504750064
Utf8Json,All,Deserialize,100,1000,C100,C1K,41325.776,492599.0073333333,413.25775999999996,492.5990073333333,10,11.919897338003606
Utf8Json,All,Deserialize,1000,10000,C1K,C10K,492599.0073333333,5786220.287333334,492.5990073333333,578.6220287333334,10,11.74630927223509
Utf8Json,All,Deserialize,10000,100000,C10K,C100K,5786220.287333334,64262170.66,578.6220287333334,642.6217065999999,10,11.106070538081116
Utf8Json,All,Serialize,10,100,C10,C100,4630.236,47185.081333333335,463.0236,471.85081333333335,10,10.190642838363603
Utf8Json,All,Serialize,100,1000,C100,C1K,47185.081333333335,493687.372,471.85081333333335,493.687372,10,10.462785228924474
Utf8Json,All,Serialize,1000,10000,C1K,C10K,493687.372,5796708.65,493.687372,579.670865,10,11.74165874755249
Utf8Json,All,Serialize,10000,100000,C10K,C100K,5796708.65,60696552.666666664,579.670865,606.9655266666666,10,10.470864818549517
STJRefGen,All,Deserialize,10,100,C10,C100,3754.844,37905.66733333333,375.4844,379.0566733333333,10,10.09513772964558
STJRefGen,All,Deserialize,100,1000,C100,C1K,37905.66733333333,426601.12066666665,379.0566733333333,426.60112066666665,10,11.254283348060829
STJRefGen,All,Deserialize,1000,10000,C1K,C10K,426601.12066666665,5317226.787333333,426.60112066666665,531.7226787333333,10,12.464165070696227
STJRefGen,All,Deserialize,10000,100000,C10K,C100K,5317226.787333333,60947582.18,531.7226787333333,609.4758218,10,11.462287507688966
STJRefGen,All,Serialize,10,100,C10,C100,2320.900666666667,23949.791333333334,232.0900666666667,239.49791333333334,10,10.319179824154473
STJRefGen,All,Serialize,100,1000,C100,C1K,23949.791333333334,237023.512,239.49791333333334,237.02351199999998,10,9.896683804092712
STJRefGen,All,Serialize,1000,10000,C1K,C10K,237023.512,2025018.4870731707,237.02351199999998,202.50184870731707,10,8.543534225723441
STJRefGen,All,Serialize,10000,100000,C10K,C100K,2025018.4870731707,23937450.933333334,202.50184870731707,239.37450933333335,10,11.820855506327234
STJSrcGen,All,Deserialize,10,100,C10,C100,3640.402,37097.964,364.0402,370.97964,10,10.190622903734258
STJSrcGen,All,Deserialize,100,1000,C100,C1K,37097.964,430479.8553333333,370.97964,430.4798553333333,10,11.603867407206856
STJSrcGen,All,Deserialize,1000,10000,C1K,C10K,430479.8553333333,5312903.516666667,430.4798553333333,531.2903516666667,10,12.341816814059111
STJSrcGen,All,Deserialize,10000,100000,C10K,C100K,5312903.516666667,60240475.82,531.2903516666667,602.4047582,10,11.33852245406389
STJSrcGen,All,Serialize,10,100,C10,C100,1310.9933333333333,14333.55,131.09933333333333,143.3355,10,10.93335079252882
STJSrcGen,All,Serialize,100,1000,C100,C1K,14333.55,146103.38933333333,143.3355,146.10338933333333,10,10.193105639100803
STJSrcGen,All,Serialize,1000,10000,C1K,C10K,146103.38933333333,1596700.5906896552,146.10338933333333,159.67005906896551,10,10.928566393807605
STJSrcGen,All,Serialize,10000,100000,C10K,C100K,1596700.5906896552,19490058.533333335,159.67005906896551,194.90058533333334,10,12.206457896351807
Newtonsoft,All,Deserialize,10,100,C10,C100,7257.157333333334,74553.53466666667,725.7157333333333,745.5353466666668,10,10.273104363361375
Newtonsoft,All,Deserialize,100,1000,C100,C1K,74553.53466666667,826535.5533333333,745.5353466666668,826.5355533333334,10,11.086470373655969
Newtonsoft,All,Deserialize,1000,10000,C1K,C10K,826535.5533333333,9737322.592592593,826.5355533333334,973.7322592592593,10,11.780887771037758
Newtonsoft,All,Deserialize,10000,100000,C10K,C100K,9737322.592592593,104204764.53333333,973.7322592592593,1042.0476453333333,10,10.701582857345644
Newtonsoft,All,Serialize,10,100,C10,C100,4190.999333333333,43854.97933333334,419.0999333333333,438.54979333333335,10,10.464086449389399
Newtonsoft,All,Serialize,100,1000,C100,C1K,43854.97933333334,503562.39757142856,438.54979333333335,503.56239757142856,10,11.482445214349477
Newtonsoft,All,Serialize,1000,10000,C1K,C10K,503562.39757142856,5665686.775,503.56239757142856,566.5686775,10,11.251210976682076
Newtonsoft,All,Serialize,10000,100000,C10K,C100K,5665686.775,63579339.11904762,566.5686775,635.7933911904762,10,11.22182387483777
