Method,Iters,Ops,Mean,Error,StdDev,Pkg (μJ/op),StdDev (μJ/op),DRAM (μJ/op),Temp (°C),Gen0,Gen1,Allocated
SpanJson_Deser_C10,15,13291,75.24 μs,0.353 μs,0.330 μs,2643.57 uj,12.47 uj,84.52 uj,48.8,8.3515,1.4295,68.31 KB
SpanJson_Deser_C100,15,1287,777.49 μs,4.051 μs,3.789 μs,27275.00 uj,140.49 uj,886.81 uj,48.77,83.1391,47.397,681.85 KB
SpanJson_Deser_C1K,16,42,"9,524.57 μs",180.229 μs,177.009 μs,333451.83 uj,6015.49 uj,12226.43 uj,48.78,833.3333,809.5238,6813.11 KB
SpanJson_Deser_C10K,15,4,"119,507.63 μs","1,664.214 μs","1,556.707 μs",4175006.63 uj,56878.10 uj,193214.45 uj,49.33,8250,8000,68225.08 KB
SpanJson_Deser_C100K,100,1,"1,405,684.65 μs","58,278.950 μs","171,836.810 μs",48596976.39 uj,5799253.43 uj,2374324.42 uj,49.15,83000,82000,681735.9 KB
SpanJson_Ser_C10,15,7074,141.51 μs,0.991 μs,0.927 μs,4859.90 uj,31.81 uj,158.78 uj,48.3,3.5341,0,29.69 KB
SpanJson_Ser_C100,15,761,"1,313.66 μs",7.903 μs,7.392 μs,45125.04 uj,253.43 uj,1510.60 uj,48.5,0,0,296.53 KB
SpanJson_Ser_C1K,15,34,"14,981.84 μs",202.234 μs,189.170 μs,514702.89 uj,6606.15 uj,18833.72 uj,48.37,0,0,2964.88 KB
SpanJson_Ser_C10K,15,4,"139,384.35 μs","2,034.001 μs","1,902.606 μs",4782519.47 uj,70294.78 uj,196320.10 uj,46.87,0,0,29648.48 KB
SpanJson_Ser_C100K,15,1,"1,573,516.28 μs","2,228.703 μs","2,084.730 μs",53865788.27 uj,64499.16 uj,2184735.60 uj,47.3,0,0,296484.41 KB
Utf8Json_Deser_C10,15,8868,112.82 μs,0.544 μs,0.509 μs,3978.59 uj,16.52 uj,126.82 uj,48.97,8.3446,1.4659,68.31 KB
Utf8Json_Deser_C100,15,881,"1,135.78 μs",5.459 μs,5.106 μs,40034.66 uj,169.46 uj,1291.12 uj,48.97,82.8604,47.6731,681.85 KB
