LibA,LibB,comparison,Operation,DimLabel,Variant,delta,delta_abs,magnitude
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,C10,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,C10,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,C10,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,C10,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,C10,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,C10,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,C10,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,C10,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,C10,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,C10,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,C100,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,C100,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,C100,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,C100,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,C100,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,C100,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,C100,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,C100,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,C100,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,C100,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,C1K,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,C1K,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,C1K,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,C1K,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,C1K,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,C1K,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,C1K,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,C1K,All,1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,C1K,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,C1K,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,C10K,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,C10K,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,C10K,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,C10K,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,C10K,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,C10K,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,C10K,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,C10K,All,0.07555555555555556,0.07555555555555556,N
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,C10K,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,C10K,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,C100K,All,0.864,0.864,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,C100K,All,0.5856,0.5856,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,C100K,All,0.5856,0.5856,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,C100K,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,C100K,All,-0.47,0.47,M
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,C100K,All,-0.4812,0.4812,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,C100K,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,C100K,All,-0.3542,0.3542,M
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,C100K,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,C100K,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,C10,All,-1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,C10,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,C10,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,C10,All,-1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,C10,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,C10,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,C10,All,-1,1,L
