Variant,DimLabel,Operation,n_obs,n_libs,kw_chi,kw_df,kw_p,Dimension,significant
All,C10,Deserialize,75,5,71.05263157894734,4,1.3605764820343018e-14,size,TRUE
All,C10,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,size,TRUE
All,C100,Deserialize,75,5,71.05263157894734,4,1.3605764820343018e-14,size,TRUE
All,C100,Serialize,75,5,70.27901754385965,4,1.981926244781696e-14,size,TRUE
All,C1K,Deserialize,76,5,72.00615174299384,4,8.556588442404419e-15,size,TRUE
All,C1K,Serialize,130,5,95.77971646673933,4,7.77888960251353e-20,size,TRUE
All,C10K,Deserialize,87,5,79.04723092998955,4,2.772171435927609e-16,size,TRUE
All,C10K,Serialize,116,5,106.94877320954907,4,3.2550774246039314e-22,size,TRUE
All,C100K,Deserialize,430,5,208.49461220525563,4,5.599911903618588e-44,size,TRUE
All,C100K,Serialize,144,5,113.63438423645323,4,1.220854707753916e-23,size,TRUE
