Library,Variant,Operation,DimLabel,n,sw_stat,sw_p_value,normal,Dimension
SpanJson,All,Deserialize,C10,15,0.5244655412904478,5.578863134577751e-6,FALSE,size
SpanJson,All,Deserialize,C100,15,0.9455203194462771,0.4568495508135185,TRUE,size
SpanJson,All,Deserialize,C1K,16,0.6302047963657629,3.1653691009247316e-5,FALSE,size
SpanJson,All,Deserialize,C10K,15,0.8874502136995988,0.061369489822864186,TRUE,size
SpanJson,All,Deserialize,C100K,100,0.7261671183861873,2.2962578616926553e-12,FALSE,size
SpanJson,All,Serialize,C10,15,0.5642234357695597,1.2174569981364741e-5,FALSE,size
SpanJson,All,Serialize,C100,15,0.45705352914394426,1.6150112067782253e-6,FALSE,size
SpanJson,All,Serialize,C1K,15,0.40919914145557024,7.082042862027504e-7,FALSE,size
SpanJson,All,Serialize,C10K,15,0.5764942821241626,1.5618251044460466e-5,FALSE,size
SpanJson,All,Serialize,C100K,15,0.7032921827782512,2.695548515704284e-4,FALSE,size
Utf8Json,All,Deserialize,C10,15,0.7318644344812152,5.565260537245603e-4,FALSE,size
Utf8Json,All,Deserialize,C100,15,0.5657073257188905,1.2544176189758516e-5,FALSE,size
Utf8Json,All,Deserialize,C1K,15,0.46705976414610184,1.929513640938639e-6,FALSE,size
Utf8Json,All,Deserialize,C10K,15,0.6179808844058325,3.7418646142045515e-5,FALSE,size
Utf8Json,All,Deserialize,C100K,100,0.7324046485539448,3.28940892395424e-12,FALSE,size
Utf8Json,All,Serialize,C10,15,0.6816140200827281,1.5911039027843222e-4,FALSE,size
Utf8Json,All,Serialize,C100,15,0.5822184309062644,1.7567363418819377e-5,FALSE,size
Utf8Json,All,Serialize,C1K,15,0.4049562194766816,6.596154766998815e-7,FALSE,size
Utf8Json,All,Serialize,C10K,15,0.6434406252220499,6.566468266113904e-5,FALSE,size
Utf8Json,All,Serialize,C100K,15,0.8614401860268853,0.025316979658375073,FALSE,size
STJRefGen,All,Deserialize,C10,15,0.5735137976428657,1.4695825379903019e-5,FALSE,size
STJRefGen,All,Deserialize,C100,15,0.8310826655536498,0.009478402364810443,FALSE,size
STJRefGen,All,Deserialize,C1K,15,0.7493762098923795,8.839171593225831e-4,FALSE,size
STJRefGen,All,Deserialize,C10K,15,0.45909392355158174,1.6744098563228381e-6,FALSE,size
STJRefGen,All,Deserialize,C100K,100,0.73020075672995155,2.8952108950668845e-12,FALSE,size
STJRefGen,All,Serialize,C10,15,0.5450425526380029,8.313893415344208e-6,FALSE,size
STJRefGen,All,Serialize,C100,15,0.739661746447478,6.826059013113978e-4,FALSE,size
STJRefGen,All,Serialize,C1K,15,0.8532802434681196,0.01933217649181338,FALSE,size
STJRefGen,All,Serialize,C10K,41,0.24679802414339524,3.1849540386936327e-13,FALSE,size
STJRefGen,All,Serialize,C100K,15,0.8697737458378944,0.033483861212956795,FALSE,size
STJSrcGen,All,Deserialize,C10,15,0.521930733397011,5.3150647981314855e-6,FALSE,size
STJSrcGen,All,Deserialize,C100,15,0.6267137406050984,4.527286110362453e-5,FALSE,size
STJSrcGen,All,Deserialize,C1K,15,0.5133425161459744,4.515613546833163e-6,FALSE,size
STJSrcGen,All,Deserialize,C10K,15,0.9085806120311862,0.1287908896677532,TRUE,size
STJSrcGen,All,Deserialize,C100K,100,0.7218433475626981,1.7957798133236202e-12,FALSE,size
STJSrcGen,All,Serialize,C10,15,0.8240805511927215,0.007618218576134582,FALSE,size
STJSrcGen,All,Serialize,C100,15,0.8291388687890442,0.008917926960257536,FALSE,size
STJSrcGen,All,Serialize,C1K,15,0.6376972659099389,5.773351363610668e-5,FALSE,size
STJSrcGen,All,Serialize,C10K,29,0.3720229022736258,4.5307223435290663e-10,FALSE,size
STJSrcGen,All,Serialize,C100K,15,0.51146785615059,4.358754690516426e-6,FALSE,size
Newtonsoft,All,Deserialize,C10,15,0.6518662553920214,7.947406839244471e-5,FALSE,size
Newtonsoft,All,Deserialize,C100,15,0.6687451829411624,1.1736780200419785e-4,FALSE,size
Newtonsoft,All,Deserialize,C1K,15,0.5151772473044856,4.674960713334075e-6,FALSE,size
Newtonsoft,All,Deserialize,C10K,27,0.5599839480417488,7.255333989365733e-8,FALSE,size
Newtonsoft,All,Deserialize,C100K,30,0.8281360385286025,2.2333718831494395e-4,FALSE,size
Newtonsoft,All,Serialize,C10,15,0.7483943917246814,8.609492326859882e-4,FALSE,size
Newtonsoft,All,Serialize,C100,15,0.7620487183996184,0.001246976324381708,FALSE,size
Newtonsoft,All,Serialize,C1K,70,0.3077236289656544,1.683155160616351e-16,FALSE,size
Newtonsoft,All,Serialize,C10K,16,0.38511768817567194,2.720276248795206e-7,FALSE,size
Newtonsoft,All,Serialize,C100K,84,0.6617145042038406,1.2982083233452571e-12,FALSE,size
