Library,Variant,Operation,from_level,to_level,from_label,to_label,from_E,to_E,from_per_element,to_per_element,W_ratio,E_ratio
SpanJson,Unicode,Deserialize,5,10,U5,U10,361.79466666666667,415.1206666666667,72.35893333333334,41.51206666666667,2,1.1473929963957457
SpanJson,Unicode,Deserialize,10,25,U10,U25,415.1206666666667,603.376,41.51206666666667,24.13504,2.5,1.4534954495158836
SpanJson,Unicode,Deserialize,25,50,U25,U50,603.376,981.372,24.13504,19.62744,2,1.6264684044443265
SpanJson,Unicode,Deserialize,50,100,U50,U100,981.372,1280.4733333333334,19.62744,12.804733333333333,2,1.304778751924177
SpanJson,Unicode,Serialize,5,10,U5,U10,268.16266666666667,269.41866666666664,53.632533333333335,26.941866666666662,2,1.0046837243066395
SpanJson,Unicode,Serialize,10,25,U10,U25,269.41866666666664,308.044,26.941866666666662,12.32176,2.5,1.1433654683664582
SpanJson,Unicode,Serialize,25,50,U25,U50,308.044,293.364,12.32176,5.867279999999999,2,0.9523444702704809
SpanJson,Unicode,Serialize,50,100,U50,U100,293.364,280.49133333333333,5.867279999999999,2.8049133333333334,2,0.9561204964935485
SpanJson,Escape,Deserialize,5,10,E5,E10,393.8433333333333,388.5106666666667,78.76866666666666,38.85106666666667,2,0.986459929075013
SpanJson,Escape,Deserialize,10,25,E10,E25,388.5106666666667,528.8713333333334,38.85106666666667,21.154853333333335,2.5,1.36127879800812
SpanJson,Escape,Deserialize,25,50,E25,E50,528.8713333333334,739.9526666666667,21.154853333333335,14.799053333333333,2,1.3991166093328307
SpanJson,Escape,Deserialize,50,100,E50,E100,739.9526666666667,1283.232,14.799053333333333,12.83232,2,1.7342082241296515
SpanJson,Escape,Serialize,5,10,E5,E10,293.194,248.83066666666667,58.6388,24.883066666666668,2,0.8486894911446573
SpanJson,Escape,Serialize,10,25,E10,E25,248.83066666666667,383.91266666666667,24.883066666666668,15.356506666666666,2.5,1.542867170713149
SpanJson,Escape,Serialize,25,50,E25,E50,383.91266666666667,587.25,15.356506666666666,11.745,2,1.5296447629582421
SpanJson,Escape,Serialize,50,100,E50,E100,587.25,1027.9026666666666,11.745,10.279026666666667,2,1.7503663970483894
SpanJson,UnicodeEscape,Deserialize,5,10,UE5,UE10,371.04,407.484,74.208,40.7484,2,1.098221216041397
SpanJson,UnicodeEscape,Deserialize,10,25,UE10,UE25,407.484,626.266,40.7484,25.050639999999998,2.5,1.5369094246645267
SpanJson,UnicodeEscape,Deserialize,25,50,UE25,UE50,626.266,868.346,25.050639999999998,17.36692,2,1.3865450144187934
SpanJson,UnicodeEscape,Deserialize,50,100,UE50,UE100,868.346,1253.4833333333333,17.36692,12.534833333333333,2,1.443529806474992
SpanJson,UnicodeEscape,Serialize,5,10,UE5,UE10,272.12733333333335,267.4073333333333,54.42546666666667,26.74073333333333,2,0.9826551785806154
SpanJson,UnicodeEscape,Serialize,10,25,UE10,UE25,267.4073333333333,314.4306666666667,26.74073333333333,12.577226666666668,2.5,1.1758490791825706
SpanJson,UnicodeEscape,Serialize,25,50,UE25,UE50,314.4306666666667,294.83466666666664,12.577226666666668,5.8966933333333325,2,0.9376778346471716
SpanJson,UnicodeEscape,Serialize,50,100,UE50,UE100,294.83466666666664,296.1426666666667,5.8966933333333325,2.9614266666666667,2,1.0044363846856545
Utf8Json,Unicode,Deserialize,5,10,U5,U10,601.858,760.622,120.37159999999999,76.06219999999999,2,1.2637897975934522
Utf8Json,Unicode,Deserialize,10,25,U10,U25,760.622,1261.2546666666667,76.06219999999999,50.45018666666667,2.5,1.658188517643017
Utf8Json,Unicode,Deserialize,25,50,U25,U50,1261.2546666666667,2354.166,50.45018666666667,47.08332,2,1.8665270878416307
Utf8Json,Unicode,Deserialize,50,100,U50,U100,2354.166,2393.9013333333332,47.08332,23.93901333333333,2,1.0168787304435343
Utf8Json,Unicode,Serialize,5,10,U5,U10,252.37666666666667,270.47999999999996,50.47533333333333,27.047999999999995,2,1.0717314067597372
Utf8Json,Unicode,Serialize,10,25,U10,U25,270.47999999999996,306.732,27.047999999999995,12.269280000000002,2.5,1.1340283939662825
Utf8Json,Unicode,Serialize,25,50,U25,U50,306.732,319.11133333333333,12.269280000000002,6.382226666666667,2,1.0403587931266816
Utf8Json,Unicode,Serialize,50,100,U50,U100,319.11133333333333,320.29333333333335,6.382226666666667,3.2029333333333336,2,1.003704036417802
Utf8Json,Escape,Deserialize,5,10,E5,E10,530.034,563.3486666666666,106.0068,56.33486666666666,2,1.0628538295027614
Utf8Json,Escape,Deserialize,10,25,E10,E25,563.3486666666666,779.4333333333333,56.33486666666666,31.17733333333333,2.5,1.3835718081046315
Utf8Json,Escape,Deserialize,25,50,E25,E50,779.4333333333333,1249.2913333333333,31.17733333333333,24.985826666666668,2,1.6028199974340334
Utf8Json,Escape,Deserialize,50,100,E50,E100,1249.2913333333333,1780.9255172413793,24.985826666666668,17.809255172413792,2,1.4255486048154602
Utf8Json,Escape,Serialize,5,10,E5,E10,215.448,296.29333333333335,43.089600000000004,29.629333333333335,2,1.375242904707091
Utf8Json,Escape,Serialize,10,25,E10,E25,296.29333333333335,496.802,29.629333333333335,19.87208,2.5,1.6767235172351724
Utf8Json,Escape,Serialize,25,50,E25,E50,496.802,926.918,19.87208,18.53836,2,1.865769461475598
Utf8Json,Escape,Serialize,50,100,E50,E100,926.918,1605.9606666666666,18.53836,16.059606666666667,2,1.7325811632384598
Utf8Json,UnicodeEscape,Deserialize,5,10,UE5,UE10,597.95,690.0206666666667,119.59,69.00206666666666,2,1.1539771998773587
Utf8Json,UnicodeEscape,Deserialize,10,25,UE10,UE25,690.0206666666667,1209.796,69.00206666666666,48.39184,2.5,1.75327502268048
Utf8Json,UnicodeEscape,Deserialize,25,50,UE25,UE50,1209.796,2328.366,48.39184,46.56732,2,1.9245938984754454
Utf8Json,UnicodeEscape,Deserialize,50,100,UE50,UE100,2328.366,2371.6820000000002,46.56732,23.716820000000002,2,1.0186036044161444
Utf8Json,UnicodeEscape,Serialize,5,10,UE5,UE10,252.34733333333332,269.03066666666666,50.46946666666666,26.903066666666668,2,1.0661125802795617
Utf8Json,UnicodeEscape,Serialize,10,25,UE10,UE25,269.03066666666666,324.308,26.903066666666668,12.97232,2.5,1.2054685215564025
Utf8Json,UnicodeEscape,Serialize,25,50,UE25,UE50,324.308,321.8726666666667,12.97232,6.437453333333334,2,0.9924906775863276
Utf8Json,UnicodeEscape,Serialize,50,100,UE50,UE100,321.8726666666667,307.80400000000003,6.437453333333334,3.07804,2,0.9562912041821922
STJRefGen,Unicode,Deserialize,5,10,U5,U10,612.4026666666667,733.0773333333334,122.48053333333334,73.30773333333335,2,1.197051177656531
STJRefGen,Unicode,Deserialize,10,25,U10,U25,733.0773333333334,1276.0946666666666,73.30773333333335,51.04378666666666,2.5,1.7407367662893225
STJRefGen,Unicode,Deserialize,25,50,U25,U50,1276.0946666666666,2235.538,51.04378666666666,44.71076,2,1.7518590574784942
STJRefGen,Unicode,Deserialize,50,100,U50,U100,2235.538,2200.9646666666667,44.71076,22.00964666666667,2,0.9845346698050611
STJRefGen,Unicode,Serialize,5,10,U5,U10,374.58733333333333,425.1813333333333,74.91746666666667,42.51813333333333,2,1.1350659659251692
STJRefGen,Unicode,Serialize,10,25,U10,U25,425.1813333333333,582.5473333333333,42.51813333333333,23.301893333333332,2.5,1.370115025432286
STJRefGen,Unicode,Serialize,25,50,U25,U50,582.5473333333333,759.596,23.301893333333332,15.19192,2,1.303921512529454
STJRefGen,Unicode,Serialize,50,100,U50,U100,759.596,1007.4893333333333,15.19192,10.074893333333334,2,1.3263489188112276
STJRefGen,Escape,Deserialize,5,10,E5,E10,528.9399999999999,633.1253333333333,105.78799999999998,63.31253333333333,2,1.1969700407103516
STJRefGen,Escape,Deserialize,10,25,E10,E25,633.1253333333333,832.6653333333334,63.31253333333333,33.30661333333333,2.5,1.315166665262697
STJRefGen,Escape,Deserialize,25,50,E25,E50,832.6653333333334,1359.0973333333334,33.30661333333333,27.18194666666667,2,1.6322251917136776
STJRefGen,Escape,Deserialize,50,100,E50,E100,1359.0973333333334,1695.2706666666668,27.18194666666667,16.952706666666668,2,1.2473504473066928
STJRefGen,Escape,Serialize,5,10,E5,E10,313.19733333333335,387.5493333333333,62.63946666666667,38.754933333333334,2,1.2373966572725181
STJRefGen,Escape,Serialize,10,25,E10,E25,387.5493333333333,500.8953333333333,38.754933333333334,20.035813333333333,2.5,1.2924685717431244
STJRefGen,Escape,Serialize,25,50,E25,E50,500.8953333333333,652.678,20.035813333333333,13.05356,2,1.3030227206482259
STJRefGen,Escape,Serialize,50,100,E50,E100,652.678,1019.9026666666666,13.05356,10.199026666666667,2,1.56264293674165
STJRefGen,UnicodeEscape,Deserialize,5,10,UE5,UE10,603.6826666666667,733.578,120.73653333333334,73.3578,2,1.2151715470821314
STJRefGen,UnicodeEscape,Deserialize,10,25,UE10,UE25,733.578,1238.2213333333334,73.3578,49.52885333333334,2.5,1.6879204847110103
STJRefGen,UnicodeEscape,Deserialize,25,50,UE25,UE50,1238.2213333333334,2228.690666666667,49.52885333333334,44.573813333333334,2,1.7999129934766644
STJRefGen,UnicodeEscape,Deserialize,50,100,UE50,UE100,2228.690666666667,2248.9766666666665,44.573813333333334,22.489766666666664,2,1.0091022053008103
STJRefGen,UnicodeEscape,Serialize,5,10,UE5,UE10,391.6793333333333,444.84,78.33586666666666,44.483999999999995,2,1.1357249722987681
STJRefGen,UnicodeEscape,Serialize,10,25,UE10,UE25,444.84,536.4666666666667,44.483999999999995,21.45866666666667,2.5,1.205976680754129
STJRefGen,UnicodeEscape,Serialize,25,50,UE25,UE50,536.4666666666667,758.976,21.45866666666667,15.17952,2,1.4147682366099166
STJRefGen,UnicodeEscape,Serialize,50,100,UE50,UE100,758.976,1079.636,15.17952,10.79636,2,1.4224903027236697
STJSrcGen,Unicode,Deserialize,5,10,U5,U10,604.8526666666667,719.972,120.97053333333334,71.99719999999999,2,1.190326239227404
STJSrcGen,Unicode,Deserialize,10,25,U10,U25,719.972,1236.4433333333334,71.99719999999999,49.45773333333334,2.5,1.7173491932093656
STJSrcGen,Unicode,Deserialize,25,50,U25,U50,1236.4433333333334,2244.5986666666668,49.45773333333334,44.89197333333333,2,1.8153671956930226
STJSrcGen,Unicode,Deserialize,50,100,U50,U100,2244.5986666666668,2270.608,44.89197333333333,22.70608,2,1.0115875206198703
STJSrcGen,Unicode,Serialize,5,10,U5,U10,305.1186666666667,380.32933333333335,61.02373333333334,38.03293333333333,2,1.246496445098956
STJSrcGen,Unicode,Serialize,10,25,U10,U25,380.32933333333335,525.146,38.03293333333333,21.00584,2.5,1.380766493600283
STJSrcGen,Unicode,Serialize,25,50,U25,U50,525.146,654.854,21.00584,13.09708,2,1.2469941692405542
STJSrcGen,Unicode,Serialize,50,100,U50,U100,654.854,891.1186666666666,13.09708,8.911186666666666,2,1.3607898350879228
STJSrcGen,Escape,Deserialize,5,10,E5,E10,531.658,623.8146666666667,106.33160000000001,62.38146666666667,2,1.1733382487739612
STJSrcGen,Escape,Deserialize,10,25,E10,E25,623.8146666666667,820.492,62.38146666666667,32.81968,2.5,1.3152816755403849
STJSrcGen,Escape,Deserialize,25,50,E25,E50,820.492,1520.74,32.81968,30.4148,2,1.8534489062659967
STJSrcGen,Escape,Deserialize,50,100,E50,E100,1520.74,1670.9453333333333,30.4148,16.709453333333332,2,1.0987712122606976
STJSrcGen,Escape,Serialize,5,10,E5,E10,252.51466666666667,307.50333333333333,50.50293333333333,30.750333333333334,2,1.2177642486773046
STJSrcGen,Escape,Serialize,10,25,E10,E25,307.50333333333333,386.9146666666667,30.750333333333334,15.476586666666668,2.5,1.2582454390738311
STJSrcGen,Escape,Serialize,25,50,E25,E50,386.9146666666667,546.8153333333333,15.476586666666668,10.936306666666667,2,1.4132711433356537
STJSrcGen,Escape,Serialize,50,100,E50,E100,546.8153333333333,903.6073333333334,10.936306666666667,9.036073333333334,2,1.6524908470013644
STJSrcGen,UnicodeEscape,Deserialize,5,10,UE5,UE10,589.9813333333333,725.842,117.99626666666666,72.5842,2,1.230279602066506
STJSrcGen,UnicodeEscape,Deserialize,10,25,UE10,UE25,725.842,1192.518,72.5842,47.700720000000004,2.5,1.6429443322375945
STJSrcGen,UnicodeEscape,Deserialize,25,50,UE25,UE50,1192.518,2231.1493333333333,47.700720000000004,44.62298666666666,2,1.870956525044765
STJSrcGen,UnicodeEscape,Deserialize,50,100,UE50,UE100,2231.1493333333333,2308.6806666666666,44.62298666666666,23.086806666666668,2,1.0347495042913608
STJSrcGen,UnicodeEscape,Serialize,5,10,UE5,UE10,309.0926666666667,382.22133333333335,61.818533333333335,38.22213333333333,2,1.2365913997743934
STJSrcGen,UnicodeEscape,Serialize,10,25,UE10,UE25,382.22133333333335,468.0593333333333,38.22213333333333,18.722373333333334,2.5,1.224576685062058
STJSrcGen,UnicodeEscape,Serialize,25,50,UE25,UE50,468.0593333333333,685.8093333333333,18.722373333333334,13.716186666666665,2,1.465218797047098
STJSrcGen,UnicodeEscape,Serialize,50,100,UE50,UE100,685.8093333333333,885.134,13.716186666666665,8.85134,2,1.290641519411615
Newtonsoft,Unicode,Deserialize,5,10,U5,U10,764.3206666666667,805.7746666666667,152.86413333333334,80.57746666666667,2,1.0542363981609812
