Method,Iters,Ops,Mean,Error,StdDev,Pkg (μJ/op),StdDev (μJ/op),DRAM (μJ/op),Temp (°C),Gen0,Gen1,Allocated
SpanJson_Deser_A0,15,136323,7.373 μs,0.0471 μs,0.0441 μs,252.95 uj,1.51 uj,8.33 uj,50.27,0.8289,0.0147,6.8 KB
SpanJson_Deser_E5,15,89762,11.191 μs,0.0659 μs,0.0617 μs,381.22 uj,2.77 uj,12.62 uj,50.1,0.8244,0.0111,6.8 KB
SpanJson_Deser_U5,15,98363,10.211 μs,0.0557 μs,0.0521 μs,350.33 uj,1.80 uj,11.46 uj,50.6,0.8235,0.0203,6.8 KB
SpanJson_Deser_UE5,15,96186,10.473 μs,0.0695 μs,0.0650 μs,359.18 uj,2.29 uj,11.86 uj,50.7,0.8317,0.0208,6.8 KB
SpanJson_Deser_E10,15,87868,10.980 μs,0.0932 μs,0.0872 μs,376.14 uj,3.09 uj,12.37 uj,50.5,0.8308,0.0114,6.8 KB
SpanJson_Deser_U10,15,82820,11.717 μs,0.1276 μs,0.1193 μs,401.94 uj,4.10 uj,13.18 uj,50.4,0.8211,0.0121,6.8 KB
SpanJson_Deser_UE10,15,84131,11.494 μs,0.1308 μs,0.1224 μs,394.52 uj,4.16 uj,12.96 uj,50.93,0.832,0.0119,6.8 KB
SpanJson_Deser_E25,15,64032,14.922 μs,0.1519 μs,0.1421 μs,512.08 uj,4.96 uj,16.79 uj,50.43,0.8277,0.0156,6.8 KB
SpanJson_Deser_U25,15,57048,17.026 μs,0.1627 μs,0.1522 μs,584.21 uj,5.23 uj,19.17 uj,50.37,0.8239,0.0175,6.8 KB
SpanJson_Deser_UE25,15,54642,17.742 μs,0.1537 μs,0.1438 μs,606.29 uj,5.56 uj,19.98 uj,50.5,0.8235,0.0183,6.8 KB
SpanJson_Deser_E50,15,45717,20.893 μs,0.2018 μs,0.1888 μs,716.51 uj,6.22 uj,23.44 uj,50.37,0.8312,0,6.8 KB
SpanJson_Deser_U50,15,34687,28.006 μs,0.2598 μs,0.2430 μs,949.92 uj,8.78 uj,31.46 uj,50.37,0.8072,0,6.8 KB
SpanJson_Deser_UE50,15,39448,24.660 μs,0.2473 μs,0.2313 μs,840.69 uj,8.02 uj,27.66 uj,50.6,0.8112,0,6.8 KB
SpanJson_Deser_E100,15,26424,36.925 μs,0.3197 μs,0.2990 μs,1241.82 uj,10.80 uj,41.41 uj,49.9,0.7947,0,6.8 KB
SpanJson_Deser_U100,15,27173,36.393 μs,0.2799 μs,0.2618 μs,1239.68 uj,11.91 uj,40.79 uj,50.23,0.8096,0,6.8 KB
SpanJson_Deser_UE100,15,27460,35.970 μs,0.2862 μs,0.2677 μs,1213.14 uj,10.60 uj,40.34 uj,50.6,0.8012,0,6.8 KB
SpanJson_Ser_A0,15,156923,6.152 μs,0.1100 μs,0.1029 μs,211.07 uj,3.46 uj,6.94 uj,51.1,0.3632,0,2.99 KB
SpanJson_Ser_E5,15,121736,8.293 μs,0.1223 μs,0.1144 μs,283.88 uj,3.71 uj,9.31 uj,50.03,0.3697,0,3.09 KB
SpanJson_Ser_U5,15,130379,7.706 μs,0.0786 μs,0.0735 μs,259.50 uj,2.71 uj,8.66 uj,50.4,0.3758,0,3.12 KB
SpanJson_Ser_UE5,15,128799,7.770 μs,0.1195 μs,0.1118 μs,263.38 uj,3.62 uj,8.75 uj,50.4,0.3804,0,3.12 KB
SpanJson_Ser_E10,15,143293,7.023 μs,0.0953 μs,0.0892 μs,240.96 uj,3.05 uj,7.87 uj,51.13,0.3838,0,3.19 KB
SpanJson_Ser_U10,15,125409,7.607 μs,0.1073 μs,0.1003 μs,260.88 uj,3.43 uj,8.54 uj,50.7,0.3907,0,3.21 KB
SpanJson_Ser_UE10,15,133561,7.598 μs,0.0872 μs,0.0816 μs,258.89 uj,2.71 uj,8.52 uj,50.63,0.3893,0,3.21 KB
SpanJson_Ser_E25,15,87877,10.828 μs,0.0741 μs,0.0693 μs,371.71 uj,2.34 uj,12.20 uj,50.5,0.421,0,3.46 KB
SpanJson_Ser_U25,15,113058,8.893 μs,0.1181 μs,0.1105 μs,298.02 uj,3.62 uj,10.02 uj,50.5,0.4334,0,3.55 KB
SpanJson_Ser_UE25,15,108186,8.906 μs,0.1005 μs,0.0940 μs,304.39 uj,3.00 uj,10.04 uj,50.2,0.4344,0,3.55 KB
SpanJson_Ser_E50,15,58145,16.569 μs,0.1704 μs,0.1594 μs,568.64 uj,5.32 uj,18.61 uj,51,0.4644,0,3.91 KB
SpanJson_Ser_U50,15,121171,8.300 μs,0.1005 μs,0.0940 μs,284.06 uj,3.32 uj,9.30 uj,50.63,0.5034,0,4.13 KB
SpanJson_Ser_UE50,15,121659,8.326 μs,0.1316 μs,0.1231 μs,285.49 uj,4.21 uj,9.35 uj,50.47,0.5014,0,4.13 KB
SpanJson_Ser_E100,15,34669,28.998 μs,0.1909 μs,0.1786 μs,995.33 uj,6.11 uj,32.57 uj,50.83,0.5769,0,4.84 KB
SpanJson_Ser_U100,15,126562,7.926 μs,0.0447 μs,0.0418 μs,271.58 uj,1.48 uj,8.91 uj,50.7,0.64,0,5.26 KB
SpanJson_Ser_UE100,15,116015,8.358 μs,0.0789 μs,0.0738 μs,286.71 uj,2.38 uj,9.44 uj,50.83,0.6378,0,5.26 KB
Utf8Json_Deser_A0,15,92889,10.825 μs,0.1156 μs,0.1081 μs,371.53 uj,3.66 uj,12.20 uj,50.83,0.8289,0.0108,6.8 KB
Utf8Json_Deser_E5,15,64609,14.952 μs,0.1286 μs,0.1203 μs,513.15 uj,4.12 uj,16.88 uj,50.4,0.8203,0,6.8 KB
Utf8Json_Deser_U5,15,56680,16.979 μs,0.1372 μs,0.1283 μs,582.74 uj,4.42 uj,19.12 uj,51.1,0.8292,0,6.8 KB
Utf8Json_Deser_UE5,15,57498,16.867 μs,0.1401 μs,0.1310 μs,578.96 uj,4.36 uj,18.99 uj,51.07,0.8174,0,6.8 KB
Utf8Json_Deser_E10,15,60617,15.891 μs,0.1660 μs,0.1553 μs,545.48 uj,5.26 uj,17.87 uj,50.47,0.8249,0,6.8 KB
Utf8Json_Deser_U10,15,45336,21.462 μs,0.2509 μs,0.2347 μs,736.47 uj,7.85 uj,24.15 uj,50.4,0.8161,0,6.8 KB
Utf8Json_Deser_UE10,15,49503,19.471 μs,0.1739 μs,0.1627 μs,668.10 uj,5.48 uj,21.92 uj,50.73,0.8282,0,6.8 KB
Utf8Json_Deser_E25,15,44143,21.979 μs,0.2013 μs,0.1883 μs,754.67 uj,6.44 uj,24.76 uj,50.47,0.8155,0,6.8 KB
Utf8Json_Deser_U25,15,27183,35.591 μs,0.2754 μs,0.2576 μs,1221.31 uj,8.46 uj,39.94 uj,50.33,0.8093,0,6.8 KB
Utf8Json_Deser_UE25,15,28275,34.166 μs,0.3708 μs,0.3469 μs,1171.49 uj,11.75 uj,38.31 uj,50.5,0.8134,0,6.8 KB
Utf8Json_Deser_E50,15,27530,35.271 μs,0.3285 μs,0.3073 μs,1209.72 uj,10.30 uj,39.57 uj,50.03,0.7991,0,6.8 KB
Utf8Json_Deser_U50,15,14435,68.044 μs,0.5490 μs,0.5135 μs,2277.87 uj,16.25 uj,76.29 uj,49.97,0.8313,0,6.8 KB
Utf8Json_Deser_UE50,15,14716,67.184 μs,0.4906 μs,0.4589 μs,2253.04 uj,19.00 uj,75.33 uj,50.17,0.8154,0,6.8 KB
Utf8Json_Deser_E100,29,6577,50.347 μs,0.9925 μs,1.4548 μs,1724.26 uj,49.13 uj,56.67 uj,50.16,0.7602,0,6.8 KB
Utf8Json_Deser_U100,15,14353,69.324 μs,0.5600 μs,0.5238 μs,2316.08 uj,17.55 uj,77.82 uj,49.53,0.7664,0,6.8 KB
Utf8Json_Deser_UE100,15,14424,68.759 μs,0.5429 μs,0.5078 μs,2294.58 uj,17.04 uj,77.10 uj,49.97,0.8319,0,6.8 KB
Utf8Json_Ser_A0,15,146371,6.816 μs,0.0999 μs,0.0934 μs,233.61 uj,3.28 uj,7.67 uj,50.67,0.3621,0,3.01 KB
