LibA,LibB,comparison,Operation,DimLabel,Variant,delta,delta_abs,magnitude
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,A0,Unicode,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,A0,Unicode,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,A0,Unicode,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,A0,Unicode,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,A0,Unicode,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,A0,Unicode,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,A0,Unicode,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,A0,Unicode,0.55,0.55,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,A0,Unicode,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,A0,Unicode,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,U5,Unicode,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,U5,Unicode,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,U5,Unicode,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,U5,Unicode,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,U5,Unicode,0.9022222222222223,0.9022222222222223,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,U5,Unicode,0.6711111111111111,0.6711111111111111,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,U5,Unicode,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,U5,Unicode,-0.8311111111111111,0.8311111111111111,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,U5,Unicode,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,U5,Unicode,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,U10,Unicode,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,U10,Unicode,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,U10,Unicode,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,U10,Unicode,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,U10,Unicode,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,U10,Unicode,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,U10,Unicode,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,U10,Unicode,-0.9022222222222223,0.9022222222222223,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,U10,Unicode,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,U10,Unicode,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,U25,Unicode,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,U25,Unicode,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,U25,Unicode,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,U25,Unicode,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,U25,Unicode,0.8133333333333334,0.8133333333333334,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,U25,Unicode,-0.92,0.92,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,U25,Unicode,-1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,U25,Unicode,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,U25,Unicode,-1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,U25,Unicode,-1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,U50,Unicode,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,U50,Unicode,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,U50,Unicode,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,U50,Unicode,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,U50,Unicode,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,U50,Unicode,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,U50,Unicode,-1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,U50,Unicode,0.24444444444444444,0.24444444444444444,S
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,U50,Unicode,-1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,U50,Unicode,-1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,U100,Unicode,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,U100,Unicode,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,U100,Unicode,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,U100,Unicode,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,U100,Unicode,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,U100,Unicode,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,U100,Unicode,-1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,U100,Unicode,1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,U100,Unicode,-1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,U100,Unicode,-1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,A0,Escape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,A0,Escape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,A0,Escape,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,A0,Escape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,A0,Escape,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,A0,Escape,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,A0,Escape,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,A0,Escape,0.55,0.55,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,A0,Escape,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,A0,Escape,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,E5,Escape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,E5,Escape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,E5,Escape,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,E5,Escape,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,E5,Escape,-0.5555555555555556,0.5555555555555556,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,E5,Escape,0.6711111111111111,0.6711111111111111,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,E5,Escape,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,E5,Escape,0.7688888888888888,0.7688888888888888,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,E5,Escape,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,E5,Escape,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,E10,Escape,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,E10,Escape,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,E10,Escape,1,1,L
