Variant,DimLabel,Operation,n_obs,n_libs,kw_chi,kw_df,kw_p,Dimension,significant
Unicode,A0,Deserialize,76,5,69.34867458679095,4,3.115175825696199e-14,string_composition,TRUE
Unicode,A0,Serialize,75,5,71.05465304845086,4,1.3592396058785693e-14,string_composition,TRUE
Unicode,U5,Deserialize,75,5,66.62431682717617,4,1.1699342602319838e-13,string_composition,TRUE
Unicode,U5,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,string_composition,TRUE
Unicode,U10,Deserialize,75,5,70.39586510375176,4,1.8724743825133578e-14,string_composition,TRUE
Unicode,U10,Serialize,75,5,67.71420713723481,4,6.891885343856542e-14,string_composition,TRUE
Unicode,U25,Deserialize,75,5,69.25136842105258,4,3.2660259359183845e-14,string_composition,TRUE
Unicode,U25,Serialize,75,5,67.81598220932493,4,6.559510437444954e-14,string_composition,TRUE
Unicode,U50,Deserialize,75,5,67.71228070175437,4,6.898336298965519e-14,string_composition,TRUE
Unicode,U50,Serialize,75,5,71.05364229932144,4,1.3599078893157954e-14,string_composition,TRUE
Unicode,U100,Deserialize,75,5,71.05263157894734,4,1.3605764820343018e-14,string_composition,TRUE
Unicode,U100,Serialize,75,5,71.05667463298052,4,1.3579039663125745e-14,string_composition,TRUE
Escape,A0,Deserialize,76,5,69.34867458679095,4,3.115175825696199e-14,string_composition,TRUE
Escape,A0,Serialize,75,5,71.05465304845086,4,1.3592396058785693e-14,string_composition,TRUE
Escape,E5,Deserialize,75,5,63.6678397845332,4,4.90938382845644e-13,string_composition,TRUE
Escape,E5,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,string_composition,TRUE
Escape,E10,Deserialize,75,5,70.28101700380286,4,1.980000615203344e-14,string_composition,TRUE
Escape,E10,Serialize,75,5,71.0556638263368,4,1.3585716315887764e-14,string_composition,TRUE
Escape,E25,Deserialize,75,5,70.28101700380286,4,1.980000615203344e-14,string_composition,TRUE
Escape,E25,Serialize,75,5,67.06835087719298,4,9.430652510888389e-14,string_composition,TRUE
Escape,E50,Deserialize,75,5,71.05364229932144,4,1.3599078893157954e-14,string_composition,TRUE
Escape,E50,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,string_composition,TRUE
Escape,E100,Deserialize,89,5,82.69083645443197,4,4.685106186626846e-17,string_composition,TRUE
Escape,E100,Serialize,75,5,69.5042807017544,4,2.88827976634507e-14,string_composition,TRUE
UnicodeEscape,A0,Deserialize,76,5,69.34867458679095,4,3.115175825696199e-14,string_composition,TRUE
UnicodeEscape,A0,Serialize,75,5,71.05465304845086,4,1.3592396058785693e-14,string_composition,TRUE
UnicodeEscape,UE5,Deserialize,75,5,68.16196491228067,4,5.5448414055484874e-14,string_composition,TRUE
UnicodeEscape,UE5,Serialize,75,5,71.05364229932144,4,1.3599078893157954e-14,string_composition,TRUE
UnicodeEscape,UE10,Deserialize,75,5,69.10301909517239,4,3.510169659462526e-14,string_composition,TRUE
UnicodeEscape,UE10,Serialize,75,5,68.06070038172462,4,5.824399739320814e-14,string_composition,TRUE
UnicodeEscape,UE25,Deserialize,160,5,110.45205000043944,4,5.828804193117086e-23,string_composition,TRUE
UnicodeEscape,UE25,Serialize,160,5,107.26577510056644,4,2.78603805070463e-22,string_composition,TRUE
UnicodeEscape,UE50,Deserialize,75,5,67.69712280701754,4,6.949305698518084e-14,string_composition,TRUE
UnicodeEscape,UE50,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,string_composition,TRUE
UnicodeEscape,UE100,Deserialize,75,5,70.98975438596494,4,1.4028221216450564e-14,string_composition,TRUE
UnicodeEscape,UE100,Serialize,75,5,71.0556638263368,4,1.3585716315887764e-14,string_composition,TRUE
