Library,Variant,Operation,DimLabel,n,sw_stat,sw_p_value,normal,Dimension
SpanJson,Unicode,Deserialize,A0,15,0.7611801806409725,0.0012175964006851654,FALSE,string_composition
SpanJson,Unicode,Deserialize,U5,15,0.7910095054482049,0.002825224649885392,FALSE,string_composition
SpanJson,Unicode,Deserialize,U10,15,0.46226825037114727,1.7714832509487552e-6,FALSE,string_composition
SpanJson,Unicode,Deserialize,U25,15,0.6109114410090855,3.212616978297217e-5,FALSE,string_composition
SpanJson,Unicode,Deserialize,U50,15,0.8866962735534379,0.05978478583200811,TRUE,string_composition
SpanJson,Unicode,Deserialize,U100,15,0.7364873475887345,6.279375574968204e-4,FALSE,string_composition
SpanJson,Unicode,Serialize,A0,15,0.8804245650568173,0.048142632836286205,FALSE,string_composition
SpanJson,Unicode,Serialize,U5,15,0.890271888370932,0.06769729071095576,TRUE,string_composition
SpanJson,Unicode,Serialize,U10,15,0.8524338823572856,0.018803279905373043,FALSE,string_composition
SpanJson,Unicode,Serialize,U25,15,0.6462897109869967,7.00234491239626e-5,FALSE,string_composition
SpanJson,Unicode,Serialize,U50,15,0.6347514051480255,5.4067898175907295e-5,FALSE,string_composition
SpanJson,Unicode,Serialize,U100,15,0.814252101309495,0.005634745128489962,FALSE,string_composition
SpanJson,Escape,Deserialize,A0,15,0.7611801806409725,0.0012175964006851654,FALSE,string_composition
SpanJson,Escape,Deserialize,E5,15,0.8941224568433415,0.07743881469527529,TRUE,string_composition
SpanJson,Escape,Deserialize,E10,15,0.7026594809604573,2.653675853270507e-4,FALSE,string_composition
SpanJson,Escape,Deserialize,E25,15,0.7386306651444914,6.6431164822164e-4,FALSE,string_composition
SpanJson,Escape,Deserialize,E50,15,0.7112453141104291,3.2865235077930287e-4,FALSE,string_composition
SpanJson,Escape,Deserialize,E100,15,0.6899864672162783,1.9460604515706166e-4,FALSE,string_composition
SpanJson,Escape,Serialize,A0,15,0.8804245650568173,0.048142632836286205,FALSE,string_composition
SpanJson,Escape,Serialize,E5,15,0.9676892673757258,0.8224826847724092,TRUE,string_composition
SpanJson,Escape,Serialize,E10,15,0.7446476909410894,7.789892875482253e-4,FALSE,string_composition
SpanJson,Escape,Serialize,E25,15,0.895115967904299,0.08017938270105415,TRUE,string_composition
SpanJson,Escape,Serialize,E50,15,0.5754761550160556,1.5296399630204624e-5,FALSE,string_composition
SpanJson,Escape,Serialize,E100,15,0.6817683118588674,1.5969802212093825e-4,FALSE,string_composition
SpanJson,UnicodeEscape,Deserialize,A0,15,0.7611801806409725,0.0012175964006851654,FALSE,string_composition
SpanJson,UnicodeEscape,Deserialize,UE5,15,0.7655369962125234,0.0013728260755096673,FALSE,string_composition
SpanJson,UnicodeEscape,Deserialize,UE10,15,0.45452209522673315,1.5444148731015885e-6,FALSE,string_composition
SpanJson,UnicodeEscape,Deserialize,UE25,15,0.7512734332897231,9.301742788153357e-4,FALSE,string_composition
SpanJson,UnicodeEscape,Deserialize,UE50,15,0.6932285295906786,2.105451399802981e-4,FALSE,string_composition
SpanJson,UnicodeEscape,Deserialize,UE100,15,0.875375945873218,0.0404989831692386,FALSE,string_composition
SpanJson,UnicodeEscape,Serialize,A0,15,0.8804245650568173,0.048142632836286205,FALSE,string_composition
SpanJson,UnicodeEscape,Serialize,UE5,15,0.7943365485031114,0.003112703715102957,FALSE,string_composition
SpanJson,UnicodeEscape,Serialize,UE10,15,0.7988429761461707,0.003552860319935001,FALSE,string_composition
SpanJson,UnicodeEscape,Serialize,UE25,15,0.7370935651776059,6.380048047666265e-4,FALSE,string_composition
SpanJson,UnicodeEscape,Serialize,UE50,15,0.6940233644429522,2.146619020276076e-4,FALSE,string_composition
SpanJson,UnicodeEscape,Serialize,UE100,15,0.6694939000421223,1.1944381885793311e-4,FALSE,string_composition
Utf8Json,Unicode,Deserialize,A0,15,0.5626412174361589,1.1793218631599597e-5,FALSE,string_composition
Utf8Json,Unicode,Deserialize,U5,15,0.6031961771583003,2.7248044157984517e-5,FALSE,string_composition
Utf8Json,Unicode,Deserialize,U10,15,0.6701795255044403,1.21379298568427e-4,FALSE,string_composition
Utf8Json,Unicode,Deserialize,U25,15,0.6957325657911628,2.238085279347715e-4,FALSE,string_composition
Utf8Json,Unicode,Deserialize,U50,15,0.6166013158796104,3.6317088568227566e-5,FALSE,string_composition
Utf8Json,Unicode,Deserialize,U100,15,0.6295970935969932,4.823827425379334e-5,FALSE,string_composition
Utf8Json,Unicode,Serialize,A0,15,0.707608123739039,3.0006943131500826e-4,FALSE,string_composition
Utf8Json,Unicode,Serialize,U5,15,0.9570343393697572,0.6410252872236332,TRUE,string_composition
Utf8Json,Unicode,Serialize,U10,15,0.7974004107330049,0.003405145349534807,FALSE,string_composition
Utf8Json,Unicode,Serialize,U25,15,0.8894693771469105,0.06583169161404838,TRUE,string_composition
Utf8Json,Unicode,Serialize,U50,15,0.908373449302141,0.1278523638665923,TRUE,string_composition
Utf8Json,Unicode,Serialize,U100,15,0.8728972332471038,0.037221946941878276,FALSE,string_composition
Utf8Json,Escape,Deserialize,A0,15,0.5626412174361589,1.1793218631599597e-5,FALSE,string_composition
Utf8Json,Escape,Deserialize,E5,15,0.5391870252040797,7.413841329015552e-6,FALSE,string_composition
Utf8Json,Escape,Deserialize,E10,15,0.417308511680308,8.119683236534973e-7,FALSE,string_composition
Utf8Json,Escape,Deserialize,E25,15,0.4617777586129693,1.756100868497881e-6,FALSE,string_composition
