Library,Variant,Operation,from_level,to_level,from_label,to_label,from_E,to_E,from_per_element,to_per_element,W_ratio,E_ratio
SpanJson,All,Deserialize,5,20,L5,L20,207.066,268.6813333333333,41.4132,13.434066666666666,4,1.297563739741596
SpanJson,All,Deserialize,20,50,L20,L50,268.6813333333333,421.4406666666667,13.434066666666666,8.428813333333334,2.5,1.568552088967848
SpanJson,All,Deserialize,50,200,L50,L200,421.4406666666667,871.2373333333334,8.428813333333334,4.356186666666667,4,2.067283492654561
SpanJson,All,Deserialize,200,500,L200,L500,871.2373333333334,1735.0339999999999,4.356186666666667,3.470068,2.5,1.9914596558457853
SpanJson,All,Deserialize,500,2000,L500,L2000,1735.0339999999999,8344.344000000001,3.470068,4.172172000000001,4,4.809325926754174
SpanJson,All,Deserialize,2000,10000,L2000,L10000,8344.344000000001,41155.762972972974,4.172172000000001,4.115576297297298,5,4.932174772872855
SpanJson,All,Serialize,5,20,L5,L20,98.55066666666667,251.602,19.710133333333335,12.5801,4,2.553021795895174
SpanJson,All,Serialize,20,50,L20,L50,251.602,767.4906666666667,12.5801,15.349813333333334,2.5,3.0504156034795695
SpanJson,All,Serialize,50,200,L50,L200,767.4906666666667,4389.872666666666,15.349813333333334,21.94936333333333,4,5.719773356635824
SpanJson,All,Serialize,200,500,L200,L500,4389.872666666666,11060.477333333332,21.94936333333333,22.120954666666666,2.5,2.519543998922368
SpanJson,All,Serialize,500,2000,L500,L2000,11060.477333333332,36245.27733333333,22.120954666666666,18.122638666666667,4,3.2770084184431822
SpanJson,All,Serialize,2000,10000,L2000,L10000,36245.27733333333,190046.64800000002,18.122638666666667,19.0046648,5,5.243349257676164
Utf8Json,All,Deserialize,5,20,L5,L20,266.856,400.216,53.3712,20.0108,4,1.4997451809215459
Utf8Json,All,Deserialize,20,50,L20,L50,400.216,747.7033333333334,20.0108,14.954066666666668,2.5,1.8682494786148813
Utf8Json,All,Deserialize,50,200,L50,L200,747.7033333333334,1967.5013333333334,14.954066666666668,9.837506666666666,4,2.6313930212963252
Utf8Json,All,Deserialize,200,500,L200,L500,1967.5013333333334,4422.0886666666665,9.837506666666666,8.844177333333333,2.5,2.2475657788626657
Utf8Json,All,Deserialize,500,2000,L500,L2000,4422.0886666666665,15010.32,8.844177333333333,7.50516,4,3.3943959815067783
Utf8Json,All,Deserialize,2000,10000,L2000,L10000,15010.32,74330.52205882352,7.50516,7.433052205882352,5,4.951961187957587
Utf8Json,All,Serialize,5,20,L5,L20,111.036,247.558,22.2072,12.3779,4,2.229529161713318
Utf8Json,All,Serialize,20,50,L20,L50,247.558,762.6673333333333,12.3779,15.253346666666665,2.5,3.080762218685453
Utf8Json,All,Serialize,50,200,L50,L200,762.6673333333333,3564.46,15.253346666666665,17.8223,4,4.673675984548964
Utf8Json,All,Serialize,200,500,L200,L500,3564.46,9020.164,17.8223,18.040328000000002,2.5,2.530583594709998
Utf8Json,All,Serialize,500,2000,L500,L2000,9020.164,42488.57315789474,18.040328000000002,21.24428657894737,4,4.7103991854133405
Utf8Json,All,Serialize,2000,10000,L2000,L10000,42488.57315789474,206957.76086956522,21.24428657894737,20.69577608695652,5,4.870903998128511
STJRefGen,All,Deserialize,5,20,L5,L20,350.78933333333333,359.346,70.15786666666666,17.9673,4,1.0243926079090204
STJRefGen,All,Deserialize,20,50,L20,L50,359.346,417.89866666666666,17.9673,8.357973333333334,2.5,1.1629423081561132
STJRefGen,All,Deserialize,50,200,L50,L200,417.89866666666666,526.9833333333333,8.357973333333334,2.634916666666667,4,1.2610313824084947
STJRefGen,All,Deserialize,200,500,L200,L500,526.9833333333333,711.212,2.634916666666667,1.422424,2.5,1.349591068661248
STJRefGen,All,Deserialize,500,2000,L500,L2000,711.212,1852.273181818182,1.422424,0.926136590909091,4,2.604389664148217
STJRefGen,All,Deserialize,2000,10000,L2000,L10000,1852.273181818182,7971.791333333334,0.926136590909091,0.7971791333333333,5,4.303788129949743
STJRefGen,All,Serialize,5,20,L5,L20,161.27133333333333,175.84799999999998,32.254266666666666,8.792399999999999,4,1.09038597477543
STJRefGen,All,Serialize,20,50,L20,L50,175.84799999999998,207.61533333333333,8.792399999999999,4.152306666666666,2.5,1.1806522299561744
STJRefGen,All,Serialize,50,200,L50,L200,207.61533333333333,339.93266666666665,4.152306666666666,1.6996633333333333,4,1.6373196584709542
STJRefGen,All,Serialize,200,500,L200,L500,339.93266666666665,520.0693333333334,1.6996633333333333,1.0401386666666668,2.5,1.5299186701680139
STJRefGen,All,Serialize,500,2000,L500,L2000,520.0693333333334,3890.029111111111,1.0401386666666668,1.9450145555555556,4,7.479827903288108
STJRefGen,All,Serialize,2000,10000,L2000,L10000,3890.029111111111,16049.476969696969,1.9450145555555556,1.604947696969697,5,4.125798679463545
STJSrcGen,All,Deserialize,5,20,L5,L20,332.7973333333333,366.4401515151515,66.55946666666667,18.322007575757574,4,1.1010910088877461
STJSrcGen,All,Deserialize,20,50,L20,L50,366.4401515151515,416.18333333333334,18.322007575757574,8.323666666666666,2.5,1.1357470834255046
STJSrcGen,All,Deserialize,50,200,L50,L200,416.18333333333334,524.5033333333333,8.323666666666666,2.622516666666667,4,1.260269913099195
STJSrcGen,All,Deserialize,200,500,L200,L500,524.5033333333333,711.2933333333333,2.622516666666667,1.4225866666666667,2.5,1.3561273840013726
