Method,Iters,Ops,Mean,Error,StdDev,Pkg (μJ/op),StdDev (μJ/op),DRAM (μJ/op),Temp (°C),Gen0,Gen1,Allocated
SpanJson_Deser_L5,15,176525,5.689 μs,0.0424 μs,0.0397 μs,200.62 uj,1.39 uj,6.44 uj,50.7,0.4645,0.0057,3.83 KB
SpanJson_Deser_L20,15,135990,7.384 μs,0.0478 μs,0.0447 μs,260.31 uj,1.52 uj,8.37 uj,50.7,0.8309,0.0147,6.8 KB
SpanJson_Deser_L50,15,85532,11.678 μs,0.1233 μs,0.1153 μs,408.15 uj,4.44 uj,13.29 uj,50.53,1.555,0.0585,12.73 KB
SpanJson_Deser_L200,15,41047,24.499 μs,0.1606 μs,0.1503 μs,843.75 uj,5.18 uj,27.48 uj,50.4,4.8968,0.5603,40.2 KB
SpanJson_Deser_L500,15,20112,48.913 μs,0.4915 μs,0.4597 μs,1680.04 uj,16.10 uj,55.00 uj,50.3,11.7343,2.4364,95.86 KB
SpanJson_Deser_L2000,15,4218,234.740 μs,2.0756 μs,1.9416 μs,8075.05 uj,65.32 uj,269.29 uj,49.93,45.7563,16.5955,374.18 KB
SpanJson_Deser_L10000,37,486,"1,156.502 μs",22.6938 μs,38.5358 μs,39798.18 uj,1363.63 uj,1357.59 uj,50.19,226.3374,135.8025,1858.55 KB
SpanJson_Ser_L5,15,358610,2.706 μs,0.0251 μs,0.0234 μs,95.49 uj,0.79 uj,3.06 uj,51.4,0.1952,0,1.6 KB
SpanJson_Ser_L20,15,144379,6.944 μs,0.0567 μs,0.0530 μs,243.81 uj,2.08 uj,7.79 uj,50.83,0.3602,0,2.99 KB
SpanJson_Ser_L50,15,44730,21.662 μs,0.1843 μs,0.1724 μs,743.17 uj,6.01 uj,24.32 uj,49.67,0.693,0,5.77 KB
SpanJson_Ser_L200,15,8108,123.918 μs,0.9358 μs,0.8754 μs,4250.98 uj,30.56 uj,138.89 uj,49.1,2.3434,0,19.69 KB
SpanJson_Ser_L500,15,3098,312.254 μs,2.7705 μs,2.5915 μs,10709.90 uj,88.98 uj,350.57 uj,48.93,5.4874,0,47.52 KB
SpanJson_Ser_L2000,15,992,"1,031.391 μs",19.2505 μs,18.0070 μs,35089.90 uj,579.13 uj,1155.38 uj,49.3,43.3468,43.3468,186.73 KB
SpanJson_Ser_L10000,15,178,"5,426.689 μs",77.6622 μs,72.6452 μs,183923.74 uj,2238.46 uj,6122.91 uj,49.13,168.5393,168.5393,929.08 KB
Utf8Json_Deser_L5,15,133906,7.329 μs,0.0680 μs,0.0636 μs,258.62 uj,2.21 uj,8.24 uj,51.03,0.463,0,3.83 KB
Utf8Json_Deser_L20,15,91417,10.997 μs,0.0488 μs,0.0457 μs,387.87 uj,1.62 uj,12.34 uj,51.4,0.8314,0.0109,6.8 KB
Utf8Json_Deser_L50,15,48864,20.542 μs,0.1009 μs,0.0944 μs,724.45 uj,3.30 uj,23.25 uj,50.7,1.5553,0.0205,12.73 KB
Utf8Json_Deser_L200,15,18559,54.053 μs,0.3295 μs,0.3082 μs,1906.73 uj,10.36 uj,60.77 uj,50.87,4.9033,0.3233,40.2 KB
Utf8Json_Deser_L500,15,7934,121.468 μs,0.9876 μs,0.9238 μs,4284.61 uj,32.31 uj,137.48 uj,51.27,11.7217,1.7646,95.86 KB
Utf8Json_Deser_L2000,15,2417,411.298 μs,3.2627 μs,3.0519 μs,14545.59 uj,99.85 uj,464.73 uj,51.33,45.511,16.1357,374.18 KB
Utf8Json_Deser_L10000,34,295,"2,038.287 μs",39.8426 μs,64.3384 μs,71956.91 uj,2232.56 uj,2373.61 uj,51.38,227.1186,179.661,1858.55 KB
Utf8Json_Ser_L5,15,319092,3.055 μs,0.0346 μs,0.0324 μs,107.61 uj,1.15 uj,3.43 uj,50.6,0.1943,0,1.61 KB
Utf8Json_Ser_L20,15,142604,6.837 μs,0.0618 μs,0.0578 μs,239.87 uj,1.62 uj,7.69 uj,50.7,0.3646,0,3.01 KB
Utf8Json_Ser_L50,15,46545,21.514 μs,0.2251 μs,0.2105 μs,738.55 uj,7.07 uj,24.12 uj,49.33,0.6875,0,5.79 KB
Utf8Json_Ser_L200,15,9703,100.186 μs,0.8647 μs,0.8089 μs,3451.89 uj,28.86 uj,112.57 uj,49.83,2.3704,0,19.7 KB
Utf8Json_Ser_L500,15,3861,254.788 μs,1.9277 μs,1.8031 μs,8734.67 uj,62.48 uj,285.50 uj,49.23,5.698,0,47.54 KB
Utf8Json_Ser_L2000,19,833,"1,215.914 μs",23.6683 μs,26.3072 μs,41113.53 uj,867.62 uj,1375.04 uj,49.08,96.0384,96.0384,570.83 KB
Utf8Json_Ser_L10000,23,166,"5,884.040 μs",114.8055 μs,145.1922 μs,200160.41 uj,4564.03 uj,6797.35 uj,49.46,433.7349,433.7349,2849.37 KB
STJRefGen_Deser_L5,15,103120,9.629 μs,0.0519 μs,0.0485 μs,339.91 uj,1.73 uj,10.88 uj,50.73,0.5237,0,4.29 KB
STJRefGen_Deser_L20,15,100688,9.849 μs,0.0621 μs,0.0581 μs,348.12 uj,1.92 uj,11.23 uj,51.2,0.8839,0.0199,7.26 KB
STJRefGen_Deser_L50,15,86208,11.467 μs,0.0874 μs,0.0818 μs,404.92 uj,2.76 uj,12.98 uj,51.03,1.6124,0.0696,13.2 KB
STJRefGen_Deser_L200,15,69696,14.418 μs,0.0861 μs,0.0806 μs,509.98 uj,2.94 uj,17.00 uj,50.87,4.9644,0.5883,40.66 KB
STJRefGen_Deser_L500,15,52080,19.467 μs,0.1262 μs,0.1181 μs,687.46 uj,4.10 uj,23.75 uj,50.63,11.7896,2.3425,96.32 KB
STJRefGen_Deser_L2000,66,7168,50.542 μs,0.9964 μs,2.3485 μs,1792.82 uj,81.88 uj,59.45 uj,50.24,45.7589,17.8571,374.64 KB
STJRefGen_Deser_L10000,15,4752,215.770 μs,3.0763 μs,2.8776 μs,7682.61 uj,108.28 uj,289.18 uj,49.97,227.0623,136.1532,1859.02 KB
STJRefGen_Ser_L5,15,225856,4.423 μs,0.0250 μs,0.0234 μs,156.29 uj,0.84 uj,4.98 uj,51.3,0.2302,0,1.91 KB
STJRefGen_Ser_L20,15,210528,4.730 μs,0.0317 μs,0.0297 μs,170.46 uj,1.00 uj,5.39 uj,51.43,0.4037,0,3.31 KB
STJRefGen_Ser_L50,15,175568,5.634 μs,0.0326 μs,0.0305 μs,201.29 uj,1.34 uj,6.33 uj,51.33,0.7405,0,6.09 KB
STJRefGen_Ser_L200,15,109968,9.170 μs,0.0525 μs,0.0491 μs,329.25 uj,2.02 uj,10.68 uj,51.13,2.4371,0,20.01 KB
STJRefGen_Ser_L500,15,71968,13.974 μs,0.0849 μs,0.0794 μs,504.03 uj,2.88 uj,16.04 uj,50.37,5.8359,0,47.84 KB
STJRefGen_Ser_L2000,45,8416,108.380 μs,2.1362 μs,4.0644 μs,3745.11 uj,134.75 uj,144.92 uj,48.64,12.8327,12.8327,187.06 KB
STJRefGen_Ser_L10000,66,944,447.367 μs,8.8871 μs,20.9479 μs,15398.52 uj,705.99 uj,650.96 uj,48.73,56.1441,56.1441,929.58 KB
STJSrcGen_Deser_L5,15,109344,9.123 μs,0.0591 μs,0.0553 μs,322.46 uj,2.00 uj,10.34 uj,50.87,0.5213,0,4.29 KB
STJSrcGen_Deser_L20,66,41056,10.060 μs,0.1986 μs,0.4682 μs,355.08 uj,16.41 uj,11.36 uj,51.39,0.8769,0,7.26 KB
STJSrcGen_Deser_L50,15,87488,11.415 μs,0.0739 μs,0.0691 μs,403.07 uj,2.53 uj,13.11 uj,50.8,1.6116,0.0686,13.2 KB
STJSrcGen_Deser_L200,15,70000,14.379 μs,0.0866 μs,0.0810 μs,507.66 uj,3.15 uj,16.84 uj,50.83,4.9714,0.6,40.66 KB
STJSrcGen_Deser_L500,15,52272,19.386 μs,0.1282 μs,0.1199 μs,687.60 uj,4.61 uj,23.69 uj,50.67,11.7845,2.3531,96.32 KB
STJSrcGen_Deser_L2000,15,20416,49.835 μs,0.3894 μs,0.3642 μs,1785.28 uj,14.03 uj,64.08 uj,50.17,45.8464,17.8781,374.64 KB
STJSrcGen_Deser_L10000,72,1680,215.984 μs,4.2847 μs,10.5907 μs,7696.81 uj,371.59 uj,291.40 uj,49.97,226.7857,135.7143,1859.02 KB
STJSrcGen_Ser_L5,15,301120,3.316 μs,0.0217 μs,0.0203 μs,117.12 uj,0.72 uj,3.75 uj,51.33,0.1959,0,1.61 KB
STJSrcGen_Ser_L20,15,273808,3.642 μs,0.0240 μs,0.0225 μs,129.39 uj,0.82 uj,4.10 uj,51.53,0.3652,0,3.01 KB
STJSrcGen_Ser_L50,15,242864,4.132 μs,0.0249 μs,0.0233 μs,147.01 uj,0.71 uj,4.67 uj,51.5,0.7082,0,5.79 KB
STJSrcGen_Ser_L200,15,150128,6.715 μs,0.0491 μs,0.0459 μs,242.98 uj,1.56 uj,7.74 uj,51.13,2.398,0,19.7 KB
STJSrcGen_Ser_L500,15,86064,11.626 μs,0.1010 μs,0.0945 μs,417.56 uj,3.28 uj,13.53 uj,50.27,5.7748,0,47.54 KB
STJSrcGen_Ser_L2000,41,10928,98.108 μs,1.9576 μs,3.5299 μs,3386.69 uj,117.41 uj,134.52 uj,48.33,10.7064,10.7064,186.7 KB
STJSrcGen_Ser_L10000,23,2272,427.831 μs,8.4063 μs,10.6312 μs,14808.51 uj,351.54 uj,629.11 uj,48.7,56.7782,56.7782,928.93 KB
Newtonsoft_Deser_L5,15,62736,15.933 μs,0.0970 μs,0.0907 μs,562.23 uj,3.19 uj,18.00 uj,50.57,1.1795,0.0159,9.7 KB
Newtonsoft_Deser_L20,15,50496,19.887 μs,0.1586 μs,0.1484 μs,701.27 uj,5.41 uj,22.63 uj,50.87,1.8813,0.0396,15.45 KB
Newtonsoft_Deser_L50,15,38560,24.861 μs,0.1462 μs,0.1368 μs,877.16 uj,4.88 uj,28.63 uj,50.67,3.2936,0.2593,26.95 KB
Newtonsoft_Deser_L200,15,18064,55.560 μs,0.2390 μs,0.2236 μs,1953.23 uj,5.90 uj,64.41 uj,50.43,10.5182,1.3286,86.27 KB
Newtonsoft_Deser_L500,15,5088,167.191 μs,0.9974 μs,0.9330 μs,5675.50 uj,36.69 uj,191.34 uj,49.03,38.7186,25.5503,221.69 KB
Newtonsoft_Deser_L2000,15,1714,583.412 μs,2.4924 μs,2.3314 μs,19760.63 uj,85.23 uj,678.98 uj,49.2,129.5216,98.5998,754.42 KB
Newtonsoft_Deser_L10000,15,310,"3,230.050 μs",27.7344 μs,25.9427 μs,109470.66 uj,872.16 uj,4124.18 uj,48.93,490.3226,441.9355,3843.84 KB
Newtonsoft_Ser_L5,15,128608,7.743 μs,0.0428 μs,0.0400 μs,273.41 uj,1.43 uj,8.88 uj,50.93,1.2208,0.0156,10.02 KB
Newtonsoft_Ser_L20,15,85856,11.573 μs,0.0678 μs,0.0634 μs,408.37 uj,2.25 uj,13.36 uj,50.73,2.2247,0.0699,18.27 KB
Newtonsoft_Ser_L50,15,59952,15.875 μs,0.1439 μs,0.1346 μs,560.54 uj,5.04 uj,18.09 uj,51.07,4.2367,0.1334,34.69 KB
Newtonsoft_Ser_L200,15,25792,38.935 μs,0.2275 μs,0.2128 μs,1379.13 uj,7.10 uj,45.24 uj,50.87,13.1436,1.6284,107.82 KB
Newtonsoft_Ser_L500,15,5360,179.656 μs,1.9875 μs,1.8591 μs,6121.72 uj,63.83 uj,211.54 uj,49.07,43.2836,27.6119,254.13 KB
Newtonsoft_Ser_L2000,15,1392,691.293 μs,3.4823 μs,3.2573 μs,23425.70 uj,119.05 uj,793.61 uj,48.73,161.6379,135.0575,938.82 KB
Newtonsoft_Ser_L10000,15,304,"2,670.778 μs",14.6863 μs,13.7376 μs,89739.61 uj,573.77 uj,3602.82 uj,48.43,730.2632,667.7632,4665.65 KB
