LibA,LibB,comparison,Operation,DimLabel,Variant,delta,delta_abs,magnitude
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,L5,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,L5,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,L5,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,L5,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,L5,All,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,L5,All,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,L5,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,L5,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,L5,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,L5,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,L20,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,L20,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,L20,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,L20,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,L20,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,L20,All,-0.9393939393939394,0.9393939393939394,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,L20,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,L20,All,0.8808080808080808,0.8808080808080808,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,L20,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,L20,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,L50,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,L50,All,-0.6088888888888889,0.6088888888888889,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,L50,All,-0.7866666666666666,0.7866666666666666,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,L50,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,L50,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,L50,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,L50,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,L50,All,-0.5555555555555556,0.5555555555555556,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,L50,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,L50,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,L200,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,L200,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,L200,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,L200,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,L200,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,L200,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,L200,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,L200,All,-0.5911111111111111,0.5911111111111111,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,L200,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,L200,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,L500,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,L500,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,L500,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,L500,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,L500,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,L500,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,L500,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,L500,All,-0.04,0.04,N
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,L500,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,L500,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,L2000,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,L2000,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,L2000,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,L2000,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,L2000,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,L2000,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,L2000,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,L2000,All,0.4303030303030303,0.4303030303030303,M
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,L2000,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,L2000,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Deserialize,L10000,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Deserialize,L10000,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Deserialize,L10000,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Deserialize,L10000,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Deserialize,L10000,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Deserialize,L10000,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Deserialize,L10000,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Deserialize,L10000,All,-0.4444444444444444,0.4444444444444444,M
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Deserialize,L10000,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Deserialize,L10000,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,L5,All,1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,L5,All,1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,L5,All,1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,L5,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,L5,All,1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,L5,All,1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,L5,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,L5,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,L5,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,L5,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,L20,All,-0.8755555555555555,0.8755555555555555,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,L20,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,L20,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,L20,All,1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,L20,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,L20,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,L20,All,1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,L20,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,L20,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,L20,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,L50,All,-0.7244444444444444,0.7244444444444444,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,L50,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,L50,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,L50,All,-1,1,L
Utf8Json,STJRefGen,Utf8Json vs STJRefGen,Serialize,L50,All,-1,1,L
Utf8Json,STJSrcGen,Utf8Json vs STJSrcGen,Serialize,L50,All,-1,1,L
Utf8Json,Newtonsoft,Utf8Json vs Newtonsoft,Serialize,L50,All,-1,1,L
STJRefGen,STJSrcGen,STJRefGen vs STJSrcGen,Serialize,L50,All,-1,1,L
STJRefGen,Newtonsoft,STJRefGen vs Newtonsoft,Serialize,L50,All,1,1,L
STJSrcGen,Newtonsoft,STJSrcGen vs Newtonsoft,Serialize,L50,All,1,1,L
SpanJson,Utf8Json,SpanJson vs Utf8Json,Serialize,L200,All,-1,1,L
SpanJson,STJRefGen,SpanJson vs STJRefGen,Serialize,L200,All,-1,1,L
SpanJson,STJSrcGen,SpanJson vs STJSrcGen,Serialize,L200,All,-1,1,L
SpanJson,Newtonsoft,SpanJson vs Newtonsoft,Serialize,L200,All,-1,1,L
