Variant,DimLabel,Operation,n_obs,n_libs,kw_chi,kw_df,kw_p,Dimension,significant
All,L5,Deserialize,75,5,71.06375108480698,4,1.3532389505307788e-14,string_length,TRUE
All,L5,Serialize,75,5,71.07386274705101,4,1.3466008062904981e-14,string_length,TRUE
All,L20,Deserialize,126,5,101.0262370340635,4,5.947702077870806e-21,string_length,TRUE
All,L20,Serialize,75,5,70.22443752163379,4,2.0352197920817457e-14,string_length,TRUE
All,L50,Deserialize,75,5,63.50680701754385,4,5.307970616555043e-13,string_length,TRUE
All,L50,Serialize,75,5,69.36449122807016,4,3.091322309425882e-14,string_length,TRUE
All,L200,Deserialize,75,5,68.74231117559756,4,4.182597178728682e-14,string_length,TRUE
All,L200,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,string_length,TRUE
All,L500,Deserialize,75,5,67.50568421052634,4,7.626359125080051e-14,string_length,TRUE
All,L500,Serialize,75,5,71.05263157894734,4,1.3605764820343018e-14,string_length,TRUE
All,L2000,Deserialize,126,5,93.94788833214028,4,1.907570865492844e-19,string_length,TRUE
All,L2000,Serialize,135,5,122.34939865738522,4,1.6818193433879455e-25,string_length,TRUE
All,L10000,Deserialize,173,5,148.8795557420022,4,3.5384709743540666e-31,string_length,TRUE
All,L10000,Serialize,142,5,112.12704475283113,4,2.5602370130406665e-23,string_length,TRUE
