Library,Variant,Operation,DimLabel,n,sw_stat,sw_p_value,normal,Dimension
SpanJson,All,Deserialize,L5,15,0.5564563525278651,1.0420271410039976e-5,FALSE,string_length
SpanJson,All,Deserialize,L20,15,0.6698399114994406,1.204164378775515e-4,FALSE,string_length
SpanJson,All,Deserialize,L50,15,0.7316930131438897,5.540507845792794e-4,FALSE,string_length
SpanJson,All,Deserialize,L200,15,0.7508020653891819,9.184452351718034e-4,FALSE,string_length
SpanJson,All,Deserialize,L500,15,0.42990462694723464,1.0064530702841264e-6,FALSE,string_length
SpanJson,All,Deserialize,L2000,15,0.6458887468110706,6.939179210360294e-5,FALSE,string_length
SpanJson,All,Deserialize,L10000,37,0.34139099982076093,1.0303557187904373e-11,FALSE,string_length
SpanJson,All,Serialize,L5,15,0.4082013297837567,6.964453452665178e-7,FALSE,string_length
SpanJson,All,Serialize,L20,15,0.9608213842192258,0.7066724354263372,TRUE,string_length
SpanJson,All,Serialize,L50,15,0.5378139932558137,7.218191400487374e-6,FALSE,string_length
SpanJson,All,Serialize,L200,15,0.6846207867837331,1.70989752744508e-4,FALSE,string_length
SpanJson,All,Serialize,L500,15,0.5047916070385376,3.845585626998807e-6,FALSE,string_length
SpanJson,All,Serialize,L2000,15,0.9723030086686707,0.8905753602298315,TRUE,string_length
SpanJson,All,Serialize,L10000,15,0.939811186217982,0.38000194577078,TRUE,string_length
Utf8Json,All,Deserialize,L5,15,0.5636114829740679,1.2025539830165296e-5,FALSE,string_length
Utf8Json,All,Deserialize,L20,15,0.7807218161491998,0.002101953777361893,FALSE,string_length
Utf8Json,All,Deserialize,L50,15,0.7499134541708796,8.967613007636165e-4,FALSE,string_length
Utf8Json,All,Deserialize,L200,15,0.6310447495664371,4.9804646635526896e-5,FALSE,string_length
Utf8Json,All,Deserialize,L500,15,0.5986704027308658,2.4759354501661846e-5,FALSE,string_length
Utf8Json,All,Deserialize,L2000,15,0.5852803772490588,1.8715002718022076e-5,FALSE,string_length
Utf8Json,All,Deserialize,L10000,34,0.3199999648401155,2.0576896167418057e-11,FALSE,string_length
Utf8Json,All,Serialize,L5,15,0.5501850157267394,9.200542718901414e-6,FALSE,string_length
Utf8Json,All,Serialize,L20,15,0.829326835562862,0.008970553925468548,FALSE,string_length
Utf8Json,All,Serialize,L50,15,0.5990799001287276,2.4974233200593505e-5,FALSE,string_length
Utf8Json,All,Serialize,L200,15,0.6797298151517721,1.5211755318751997e-4,FALSE,string_length
Utf8Json,All,Serialize,L500,15,0.5034724442981757,3.7520200789996675e-6,FALSE,string_length
Utf8Json,All,Serialize,L2000,19,0.933608568868235,0.20176891568268548,TRUE,string_length
Utf8Json,All,Serialize,L10000,23,0.9283922160962145,0.10096165226644915,TRUE,string_length
STJRefGen,All,Deserialize,L5,15,0.5849865020588185,1.8601466052685814e-5,FALSE,string_length
STJRefGen,All,Deserialize,L20,15,0.7959297880930476,0.0032612790220758734,FALSE,string_length
STJRefGen,All,Deserialize,L50,15,0.5636596635898301,1.203720257643458e-5,FALSE,string_length
STJRefGen,All,Deserialize,L200,15,0.8385424653737683,0.012002509169022903,FALSE,string_length
STJRefGen,All,Deserialize,L500,15,0.709840278715075,3.172804216281723e-4,FALSE,string_length
STJRefGen,All,Deserialize,L2000,66,0.4032120656869478,6.434947621038136e-15,FALSE,string_length
STJRefGen,All,Deserialize,L10000,15,0.7359746461697902,6.19555702658211e-4,FALSE,string_length
STJRefGen,All,Serialize,L5,15,0.7427819290291502,7.413208230095834e-4,FALSE,string_length
STJRefGen,All,Serialize,L20,15,0.8390482708991629,0.012197730491731831,FALSE,string_length
STJRefGen,All,Serialize,L50,15,0.8729291183266837,0.03726228880554321,FALSE,string_length
STJRefGen,All,Serialize,L200,15,0.9565312735916709,0.6323856276501361,TRUE,string_length
STJRefGen,All,Serialize,L500,15,0.7924104298637472,0.0029426629113694647,FALSE,string_length
STJRefGen,All,Serialize,L2000,45,0.9796972028357777,0.6075305465107227,TRUE,string_length
STJRefGen,All,Serialize,L10000,66,0.9602280706943024,0.03309586483815548,FALSE,string_length
STJSrcGen,All,Deserialize,L5,15,0.6948655385041318,2.1911779485409927e-4,FALSE,string_length
STJSrcGen,All,Deserialize,L20,66,0.22122134765221935,5.956465551755202e-17,FALSE,string_length
STJSrcGen,All,Deserialize,L50,15,0.6942484144013963,2.1584307504341404e-4,FALSE,string_length
STJSrcGen,All,Deserialize,L200,15,0.7488794579573442,8.722158044003951e-4,FALSE,string_length
STJSrcGen,All,Deserialize,L500,15,0.8859679499932884,0.05829422910264649,TRUE,string_length
STJSrcGen,All,Deserialize,L2000,15,0.9140141638451535,0.1560231560696405,TRUE,string_length
STJSrcGen,All,Deserialize,L10000,72,0.50157586991799,3.0299066961793414e-14,FALSE,string_length
STJSrcGen,All,Serialize,L5,15,0.5717704013417138,1.4183320767020609e-5,FALSE,string_length
STJSrcGen,All,Serialize,L20,15,0.8274156243781507,0.008450475879852863,FALSE,string_length
STJSrcGen,All,Serialize,L50,15,0.5586501484612372,1.0886691227280065e-5,FALSE,string_length
STJSrcGen,All,Serialize,L200,15,0.9305177142189566,0.2777783608003125,TRUE,string_length
