Library,Variant,Operation,from_level,to_level,from_label,to_label,from_E,to_E,from_per_element,to_per_element,W_ratio,E_ratio
SpanJson,All,Deserialize,2,5,W2,W5,18.141333333333332,56.72533333333333,9.070666666666666,11.345066666666666,2.5,3.1268557989122447
SpanJson,All,Deserialize,5,10,W5,W10,56.72533333333333,128.52466666666666,11.345066666666666,12.852466666666666,2,2.265736649116209
SpanJson,All,Deserialize,10,20,W10,W20,128.52466666666666,259.94466666666665,12.852466666666666,12.997233333333332,2,2.0225274525771963
SpanJson,All,Deserialize,20,50,W20,W50,259.94466666666665,686.3333333333334,12.997233333333332,13.726666666666667,2.5,2.6403055009142973
SpanJson,All,Deserialize,50,100,W50,W100,686.3333333333334,2005.6013333333333,13.726666666666667,20.056013333333333,2,2.922197183098591
SpanJson,All,Deserialize,100,200,W100,W200,2005.6013333333333,4498.086666666667,20.056013333333333,22.490433333333335,2,2.242762104266651
SpanJson,All,Serialize,2,5,W2,W5,12.896,50.60466666666667,6.448,10.120933333333333,2.5,3.924059139784946
SpanJson,All,Serialize,5,10,W5,W10,50.60466666666667,110.64533333333334,10.120933333333333,11.064533333333333,2,2.1864650164016495
SpanJson,All,Serialize,10,20,W10,W20,110.64533333333334,254.56866666666667,11.064533333333333,12.728433333333333,2,2.300762797647739
SpanJson,All,Serialize,20,50,W20,W50,254.56866666666667,865.8526666666667,12.728433333333333,17.317053333333334,2.5,3.4012538856575696
SpanJson,All,Serialize,50,100,W50,W100,865.8526666666667,2200.0266666666666,17.317053333333334,22.000266666666665,2,2.540878779222639
SpanJson,All,Serialize,100,200,W100,W200,2200.0266666666666,4810.079333333333,22.000266666666665,24.050396666666664,2,2.1863731954764183
Utf8Json,All,Deserialize,2,5,W2,W5,27.472666666666665,84.79,13.736333333333333,16.958000000000002,2.5,3.0863403625421637
Utf8Json,All,Deserialize,5,10,W5,W10,84.79,189.966,16.958000000000002,18.9966,2,2.240429295907536
Utf8Json,All,Deserialize,10,20,W10,W20,189.966,405.444,18.9966,20.2722,2,2.134297716433467
Utf8Json,All,Deserialize,20,50,W20,W50,405.444,967.7246666666667,20.2722,19.354493333333334,2.5,2.3868269518519614
Utf8Json,All,Deserialize,50,100,W50,W100,967.7246666666667,2224.3673333333336,19.354493333333334,22.243673333333337,2,2.2985539275289737
Utf8Json,All,Deserialize,100,200,W100,W200,2224.3673333333336,4073.635333333333,22.243673333333337,20.368176666666667,2,1.8313680803919974
Utf8Json,All,Serialize,2,5,W2,W5,16.413999999999998,53.892,8.206999999999999,10.778400000000001,2.5,3.2832947483855253
Utf8Json,All,Serialize,5,10,W5,W10,53.892,114.238,10.778400000000001,11.4238,2,2.1197580345876936
Utf8Json,All,Serialize,10,20,W10,W20,114.238,236.46666666666667,11.4238,11.823333333333334,2,2.069947536429793
Utf8Json,All,Serialize,20,50,W20,W50,236.46666666666667,888.4126666666667,11.823333333333334,17.768253333333334,2.5,3.7570312940513113
Utf8Json,All,Serialize,50,100,W50,W100,888.4126666666667,2095.748,17.768253333333334,20.95748,2,2.3589803237084266
Utf8Json,All,Serialize,100,200,W100,W200,2095.748,4798.024,20.95748,23.99012,2,2.289408841139297
STJRefGen,All,Deserialize,2,5,W2,W5,42.072,96.38133333333333,21.036,19.276266666666665,2.5,2.2908664511630854
STJRefGen,All,Deserialize,5,10,W5,W10,96.38133333333333,183.02133333333333,19.276266666666665,18.302133333333334,2,1.8989292532440583
STJRefGen,All,Deserialize,10,20,W10,W20,183.02133333333333,356.64929824561403,18.302133333333334,17.832464912280702,2,1.9486761010316505
STJRefGen,All,Deserialize,20,50,W20,W50,356.64929824561403,912.17,17.832464912280702,18.243399999999998,2.5,2.557610528008988
STJRefGen,All,Deserialize,50,100,W50,W100,912.17,3241.313333333333,18.243399999999998,32.41313333333333,2,3.5534092694709685
STJRefGen,All,Deserialize,100,200,W100,W200,3241.313333333333,9156.073333333334,32.41313333333333,45.780366666666666,2,2.824803526142696
STJRefGen,All,Serialize,2,5,W2,W5,24.174,49.77733333333333,12.087,9.955466666666666,2.5,2.059126885634704
STJRefGen,All,Serialize,5,10,W5,W10,49.77733333333333,87.48733333333332,9.955466666666666,8.748733333333332,2,1.75757372833686
STJRefGen,All,Serialize,10,20,W10,W20,87.48733333333332,168.94400000000002,8.748733333333332,8.4472,2,1.9310681165273453
STJRefGen,All,Serialize,20,50,W20,W50,168.94400000000002,452.4306666666667,8.4472,9.048613333333334,2.5,2.6779919184266188
STJRefGen,All,Serialize,50,100,W50,W100,452.4306666666667,910.9873333333334,9.048613333333334,9.109873333333333,2,2.0135401962142265
STJRefGen,All,Serialize,100,200,W100,W200,910.9873333333334,2874.838666666667,9.109873333333333,14.374193333333334,2,3.15573945045705
STJSrcGen,All,Deserialize,2,5,W2,W5,40.888666666666666,91.724,20.444333333333333,18.3448,2.5,2.243262191642346
STJSrcGen,All,Deserialize,5,10,W5,W10,91.724,179.89266666666666,18.3448,17.989266666666666,2,1.9612387888302587
STJSrcGen,All,Deserialize,10,20,W10,W20,179.89266666666666,354.3906666666667,17.989266666666666,17.719533333333334,2,1.9700117477458783
STJSrcGen,All,Deserialize,20,50,W20,W50,354.3906666666667,884.5413333333333,17.719533333333334,17.690826666666666,2.5,2.4959498557147857
STJSrcGen,All,Deserialize,50,100,W50,W100,884.5413333333333,2899.424666666667,17.690826666666666,28.99424666666667,2,3.2778848849724
STJSrcGen,All,Deserialize,100,200,W100,W200,2899.424666666667,8854.887333333334,28.99424666666667,44.274436666666674,2,3.0540153138427235
STJSrcGen,All,Serialize,2,5,W2,W5,13.177333333333333,33.01533333333333,6.588666666666667,6.603066666666666,2.5,2.505463927957098
STJSrcGen,All,Serialize,5,10,W5,W10,33.01533333333333,65.296,6.603066666666666,6.5296,2,1.9777477131837735
STJSrcGen,All,Serialize,10,20,W10,W20,65.296,131.284,6.5296,6.5642,2,2.010597892673364
STJSrcGen,All,Serialize,20,50,W20,W50,131.284,324.66066666666666,6.5642,6.493213333333333,2.5,2.4729644638087405
STJSrcGen,All,Serialize,50,100,W50,W100,324.66066666666666,667.166,6.493213333333333,6.67166,2,2.054964054777193
STJSrcGen,All,Serialize,100,200,W100,W200,667.166,1369.5433333333333,6.67166,6.847716666666667,2,2.0527774696752132
Newtonsoft,All,Deserialize,2,5,W2,W5,73.12533333333333,167.83733333333333,36.562666666666665,33.56746666666667,2.5,2.2952009335569983
Newtonsoft,All,Deserialize,5,10,W5,W10,167.83733333333333,353.024,33.56746666666667,35.3024,2,2.1033699296143884
Newtonsoft,All,Deserialize,10,20,W10,W20,353.024,656.328,35.3024,32.8164,2,1.8591597171863667
Newtonsoft,All,Deserialize,20,50,W20,W50,656.328,1792.468,32.8164,35.849360000000004,2.5,2.7310552041052647
Newtonsoft,All,Deserialize,50,100,W50,W100,1792.468,3728.406,35.849360000000004,37.28406,2,2.080040480499512
Newtonsoft,All,Deserialize,100,200,W100,W200,3728.406,7608.085333333333,37.28406,38.04042666666667,2,2.040573192225668
Newtonsoft,All,Serialize,2,5,W2,W5,46.36666666666667,107.67333333333333,23.183333333333334,21.534666666666666,2.5,2.322214234363767
Newtonsoft,All,Serialize,5,10,W5,W10,107.67333333333333,212.28799999999998,21.534666666666666,21.2288,2,1.9715930902111323
Newtonsoft,All,Serialize,10,20,W10,W20,212.28799999999998,419.57866666666666,21.2288,20.978933333333334,2,1.9764596522962519
Newtonsoft,All,Serialize,20,50,W20,W50,419.57866666666666,1048.8673333333334,20.978933333333334,20.977346666666666,2.5,2.499810921432294
Newtonsoft,All,Serialize,50,100,W50,W100,1048.8673333333334,2173.3713333333335,20.977346666666666,21.733713333333334,2,2.0721127107908788
Newtonsoft,All,Serialize,100,200,W100,W200,2173.3713333333335,4749.272666666667,21.733713333333334,23.746363333333335,2,2.185209951850535
