Variant,DimLabel,Operation,n_obs,n_libs,kw_chi,kw_df,kw_p,Dimension,significant
All,W2,Deserialize,75,5,71.10927623711632,4,1.3236078917855619e-14,width,TRUE
All,W2,Serialize,75,5,70.8510907690991,4,1.5006768537192957e-14,width,TRUE
All,W5,Deserialize,75,5,71.11940085998232,4,1.3171066836764209e-14,width,TRUE
All,W5,Serialize,75,5,70.66100085831215,4,1.6460006438942136e-14,width,TRUE
All,W10,Deserialize,75,5,70.34916768631025,4,1.9154723060240594e-14,width,TRUE
All,W10,Serialize,75,5,71.06375108480698,4,1.3532389505307788e-14,width,TRUE
All,W20,Deserialize,117,5,87.0625768790737,4,5.536902824406581e-18,width,TRUE
All,W20,Serialize,75,5,71.05768546838321,4,1.3572366099162224e-14,width,TRUE
All,W50,Deserialize,75,5,71.05263157894734,4,1.3605764820343018e-14,width,TRUE
All,W50,Serialize,75,5,70.28101700380286,4,1.980000615203344e-14,width,TRUE
All,W100,Deserialize,75,5,71.05263157894734,4,1.3605764820343018e-14,width,TRUE
All,W100,Serialize,75,5,70.22543647519608,4,2.034231636436895e-14,width,TRUE
All,W200,Deserialize,75,5,71.05263157894734,4,1.3605764820343018e-14,width,TRUE
All,W200,Serialize,75,5,64.17038596491221,4,3.847790420689758e-13,width,TRUE
