Library,Operation,Group,MeanRank
SpanJson,Deserialize,Clean,1
SpanJson,Deserialize,0%,1
SpanJson,Deserialize,25%,1
SpanJson,Deserialize,50%,1
SpanJson,Deserialize,75%,1
SpanJson,Deserialize,100%,1
SpanJson,Serialize,Clean,3.857142857142857
SpanJson,Serialize,0%,3.857142857142857
SpanJson,Serialize,25%,3.857142857142857
SpanJson,Serialize,50%,3.7142857142857144
SpanJson,Serialize,75%,3.4285714285714284
SpanJson,Serialize,100%,3.2857142857142856
Utf8Json,Deserialize,Clean,4
Utf8Json,Deserialize,0%,4
Utf8Json,Deserialize,25%,4
Utf8Json,Deserialize,50%,4
Utf8Json,Deserialize,75%,4
Utf8Json,Deserialize,100%,4
Utf8Json,Serialize,Clean,3.5714285714285716
Utf8Json,Serialize,0%,3.5714285714285716
Utf8Json,Serialize,25%,3.5714285714285716
Utf8Json,Serialize,50%,3.7142857142857144
Utf8Json,Serialize,75%,3.5714285714285716
Utf8Json,Serialize,100%,3.7142857142857144
STJRefGen,Deserialize,Clean,2.5714285714285716
STJRefGen,Deserialize,0%,2.857142857142857
STJRefGen,Deserialize,25%,3
STJRefGen,Deserialize,50%,2.857142857142857
STJRefGen,Deserialize,75%,2.7142857142857144
STJRefGen,Deserialize,100%,2.5714285714285716
STJRefGen,Serialize,Clean,2
STJRefGen,Serialize,0%,2
STJRefGen,Serialize,25%,2
STJRefGen,Serialize,50%,2
STJRefGen,Serialize,75%,2
STJRefGen,Serialize,100%,2
STJSrcGen,Deserialize,Clean,2.4285714285714284
STJSrcGen,Deserialize,0%,2.142857142857143
STJSrcGen,Deserialize,25%,2
STJSrcGen,Deserialize,50%,2.142857142857143
STJSrcGen,Deserialize,75%,2.2857142857142856
STJSrcGen,Deserialize,100%,2.4285714285714284
STJSrcGen,Serialize,Clean,1
STJSrcGen,Serialize,0%,1
STJSrcGen,Serialize,25%,1
STJSrcGen,Serialize,50%,1
STJSrcGen,Serialize,75%,1
STJSrcGen,Serialize,100%,1
Newtonsoft,Deserialize,Clean,5
Newtonsoft,Deserialize,0%,5
Newtonsoft,Deserialize,25%,5
Newtonsoft,Deserialize,50%,5
Newtonsoft,Deserialize,75%,5
Newtonsoft,Deserialize,100%,5
Newtonsoft,Serialize,Clean,4.571428571428571
Newtonsoft,Serialize,0%,4.571428571428571
Newtonsoft,Serialize,25%,4.571428571428571
Newtonsoft,Serialize,50%,4.571428571428571
Newtonsoft,Serialize,75%,5
Newtonsoft,Serialize,100%,5
