Factor,SumSq,Df,Fvalue,Pvalue,EtaSq
Library,1102762401.251802,4,167914.28036946003,0,0.067160361966707
Depth,3371122917.0198765,3,684414.1923419759,0,0.205307902304532
Width,5533232870.171595,3,1123371.4103864094,0,0.33698457798793957
Content,333570758.95305884,2,101583.6119880696,0,0.020315104039969185
Library:Depth,590291595.5296456,12,29960.635932390167,0,0.03594989924998698
Library:Width,950147563.5135338,12,48225.36090308757,0,0.05786582333140585
Depth:Width,3085613516.5126376,9,208816.44235133944,0,0.1879198279004743
Library:Content,101530353.1383899,8,7729.8591988343915,0,0.0061833947726558924
Depth:Content,187390117.264242,6,19022.215878389186,0,0.011412420381910076
Width:Content,259573384.32914314,6,26349.63372177395,0,0.015808520882358037
Library:Depth:Width,508068780.23232293,36,8595.78772504574,0,0.030942370854911628
Library:Depth:Content,58558367.65333135,24,1486.0841212573232,0,0.0035663177882315506
Library:Width:Content,116794161.99842164,24,2963.9820329167906,0,0.00711299023843047
Depth:Width:Content,147819916.58514792,18,5001.79768541922,0,0.009002518668098947
Library:Depth:Width:Content,67845078.07547796,72,573.9202171203018,0,0.0041318964049157645
Residuals,5518268.6404816015,3361,NA,NA,3.360732274727315e-4
