Factor,SumSq,Df,Fvalue,Pvalue,EtaSq
Library,347463790.325581,4,197532.78784413132,0,0.05201477477455356
Depth,1199948674.1083863,3,909559.3592429572,0,0.1796304011024793
Width,1502090528.5205066,3,1138582.4478377816,0,0.22486055441568154
Content,386148373.38295346,2,439049.8626883578,0,0.05780579510818686
Library:Depth,194034400.46711802,12,36769.44872060879,0,0.029046640023570915
Library:Width,241607278.9160943,12,45784.49198309368,0,0.036168223989434124
Depth:Width,1168683527.4768367,9,295286.8077738064,0,0.1749500585585566
Library:Content,37634197.242884345,8,10697.500152025998,0,0.005633779253877079
Depth:Content,382192431.34694177,6,144850.65505894824,0,0.057213596900046876
Width:Content,432308217.552052,6,163844.50178432898,0,0.06471585009790067
Library:Depth:Width,149111858.9552562,36,9418.881116425326,0,0.022321807266607815
Library:Depth:Content,28364547.77980635,24,2687.535773455775,0,0.004246127525881853
Library:Width:Content,32894395.543335725,24,3116.738029994516,0,0.004924238505337341
Depth:Width:Content,548925756.14879,18,69347.48818953116,0,0.08217330947572048
Library:Depth:Width:Content,27210197.781108685,72,859.387106600245,0,0.004073323173701722
Residuals,1479774.151934946,3365,NA,NA,2.215198284632179e-4
